local_time,site_name,probe_measure,soil_value,unit
2024-01-02 11:00:00+00:00,8th Green,Soil Moisture 10cm #0,64.41,%VWC
2024-01-04 15:00:00+00:00,8th Green,Soil Moisture 30cm #0,59.33,%VWC
2024-01-09 11:00:00+00:00,8th Green,Soil Moisture 20cm #0 (Sandy Loam),31.23,%VWC
2024-01-09 11:00:00+00:00,8th Green,Soil Moisture 10cm #0 (Sandy Loam),30.1,%VWC
2024-01-09 13:00:00+00:00,8th Green,Soil Salinity 10cm #0,0.29,µS/cm
2024-01-09 13:00:00+00:00,8th Green,Soil Moisture 20cm #0 (Sandy Loam),31.21,%VWC
2024-01-09 17:00:00+00:00,8th Green,Soil Temperature 10cm #0,23.66,ºC
2024-01-09 17:00:00+00:00,8th Green,Soil Moisture 10cm #0 (Sandy Loam),29.88,%VWC
2024-01-10 11:00:00+00:00,8th Green,Soil Salinity 30cm #0,0.87,µS/cm
2024-01-10 11:00:00+00:00,8th Green,Soil Moisture 40cm #0,84.89,%VWC
2024-01-10 11:00:00+00:00,8th Green,Soil Moisture 40cm #0 (Clay),46.51,%VWC
2024-01-10 11:00:00+00:00,8th Green,Soil Salinity 40 cm #0,1.45,µS/cm
2024-01-10 13:00:00+00:00,8th Green,Soil Temperature 10cm #0,20.0,ºC
2024-01-10 15:00:00+00:00,8th Green,Soil Temperature 10cm #0,21.95,ºC
2024-01-10 15:00:00+00:00,8th Green,Soil Salinity 10cm #0,0.3,µS/cm
2024-01-10 15:00:00+00:00,8th Green,Soil Temperature 30cm #0,19.94,ºC
2024-01-10 17:00:00+00:00,8th Green,Soil Moisture 20cm #0,69.18,%VWC
2024-01-10 17:00:00+00:00,8th Green,Soil Moisture 40cm #0,84.39,%VWC
2024-01-13 11:00:00+00:00,8th Green,Soil Temperature 10cm #0,18.25,ºC
2024-01-13 13:00:00+00:00,8th Green,Soil Moisture 30cm #0 (Clay),42.56,%VWC
2024-01-13 15:00:00+00:00,8th Green,Soil Moisture 30cm #0,63.05,%VWC
2024-01-13 17:00:00+00:00,8th Green,Soil Temperature 30cm #0,19.52,ºC
2024-01-14 11:00:00+00:00,8th Green,Soil Moisture 40cm #0,81.46,%VWC
2024-01-15 13:00:00+00:00,8th Green,Soil Salinity 20cm #0,0.95,µS/cm
2024-01-15 13:00:00+00:00,8th Green,Soil Temperature 10cm #0,20.83,ºC
2024-01-15 13:00:00+00:00,8th Green,Soil Moisture 40cm #0 (Clay),45.83,%VWC
2024-01-15 13:00:00+00:00,8th Green,Soil Moisture 30cm #0,62.61,%VWC
