date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2016-05-05,21.1,27.43,15.87,76.15,2.08,1.41,21.99
2016-05-06,19.66,24.13,16.82,79.94,3.68,0.93,16.93
2016-05-07,19.97,26.86,14.5,74.55,1.61,1.07,17.24
2016-05-08,19.62,26.99,13.84,66.68,0.24,1.61,20.46
2016-05-09,20.35,29.03,12.69,65.03,0.17,1.53,23.82
2016-05-10,20.24,27.1,14.74,73.99,2.68,1.46,18.56
2016-05-11,20.36,27.01,14.17,70.97,1.41,1.23,20.43
2016-05-12,20.86,27.75,15.29,72.89,1.36,0.99,20.85
2016-05-13,20.15,26.3,15.98,77.06,4.52,1.3,20.5
2016-05-14,21.2,28.68,15.66,70.28,0.27,1.72,23.89
2016-05-15,20.69,28.78,14.5,63.49,0.15,1.88,24.11
2016-05-16,20.15,28.47,13.1,60.87,0.29,1.61,23.42
2016-05-17,20.93,28.74,14.19,66.87,2.15,1.58,21.86
2016-05-18,20.68,27.02,16.33,76.68,8.22,1.16,19.5
2016-05-19,19.98,25.82,16.12,78.52,9.91,0.8,15.75
2016-05-20,19.76,24.5,16.71,79.5,4.61,0.65,18.02
2016-05-21,20.48,27.58,14.89,72.1,0.32,1.38,20.6
2016-05-22,20.03,28.17,13.21,70.21,0.05,1.56,22.27
2016-05-23,20.26,28.23,13.67,70.61,0.15,2.04,22.48
2016-05-24,20.41,28.1,13.54,69.23,0.07,1.9,23.14
2016-05-25,20.42,28.29,13.41,66.49,0.1,1.44,23.66
2016-05-26,20.8,28.7,14.07,67.75,0.27,1.81,22.41
2016-05-27,20.5,28.76,13.88,66.54,0.06,1.62,23.62
2016-05-28,20.05,28.27,13.02,64.13,0.0,1.79,23.82
2016-05-29,19.98,27.19,13.87,61.03,0.0,1.8,24.24
2016-05-30,20.37,28.63,13.58,61.27,0.0,1.77,25.04
2016-05-31,19.9,28.49,12.38,60.13,0.0,1.66,25.37
2016-06-01,20.28,28.66,12.72,64.47,0.0,1.68,25.06
2016-06-02,20.96,29.88,12.93,59.3,0.0,1.56,24.74
2016-06-03,20.69,29.36,13.32,61.57,0.0,1.74,23.25
2016-06-04,20.47,29.0,13.25,62.58,0.0,2.0,22.27
2016-06-05,20.52,29.08,13.66,62.44,0.01,2.05,23.8
2016-06-06,20.82,29.29,12.8,64.13,0.02,1.67,24.49
2016-06-07,21.53,29.0,14.62,60.45,0.01,1.5,23.7
2016-06-08,21.66,30.54,14.23,56.9,0.02,1.99,23.5
2016-06-09,20.81,30.07,13.22,56.48,0.01,2.05,22.26
2016-06-10,20.48,28.29,13.51,57.31,0.05,2.01,23.61
2016-06-11,19.77,26.28,14.47,63.92,0.33,1.53,21.3
2016-06-12,20.68,29.23,14.12,62.4,0.02,1.67,23.35
2016-06-13,20.83,29.61,13.13,60.89,0.06,1.77,23.26
2016-06-14,21.28,29.97,14.11,57.06,0.04,1.92,22.83
2016-06-15,20.88,28.31,14.12,57.19,0.03,1.55,20.67
2016-06-16,20.34,27.76,14.39,66.55,1.65,1.49,19.57
2016-06-17,19.41,24.82,16.08,76.05,7.13,1.0,18.24
2016-06-18,17.46,21.38,15.35,80.83,9.0,1.2,12.59
2016-06-19,18.72,24.26,14.54,72.65,0.85,0.9,18.99
2016-06-20,19.11,25.21,14.47,73.7,1.55,0.99,17.18
2016-06-21,19.46,26.65,13.99,74.76,2.42,1.25,16.03
2016-06-22,17.96,22.66,15.01,79.7,4.41,1.14,15.27
2016-06-23,17.59,23.04,13.54,79.32,6.95,1.23,17.8
2016-06-24,17.47,22.56,14.54,81.02,7.16,0.99,15.41
2016-06-25,18.78,25.84,12.73,66.88,0.29,1.64,19.11
2016-06-26,19.27,27.5,12.18,64.75,0.03,1.8,21.57
2016-06-27,19.92,28.01,12.45,67.21,0.34,1.16,21.34
2016-06-28,19.96,27.03,14.43,72.4,1.48,1.43,20.71
2016-06-29,19.56,26.57,14.56,73.77,2.98,1.04,19.28
2016-06-30,19.33,25.74,14.59,74.09,0.5,1.01,19.61
2016-07-01,20.38,26.91,14.14,68.71,0.34,1.04,21.59
2016-07-02,20.53,27.98,14.03,70.67,0.61,1.27,22.17
2016-07-03,19.17,24.75,15.03,73.48,1.79,1.62,20.1
2016-07-04,19.77,28.52,14.1,73.07,2.69,1.58,19.96
2016-07-05,18.31,24.53,14.05,72.76,0.56,1.28,17.44
2016-07-06,18.98,25.28,12.54,71.25,0.87,1.12,18.35
