date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2018-10-23,19.51,23.52,16.26,70.87,0.5,5.27,18.1
2018-10-24,19.77,24.47,16.02,69.44,1.45,4.9,18.83
2018-10-25,19.02,23.0,15.47,72.43,0.42,4.41,15.63
2018-10-26,19.16,23.05,15.92,75.09,0.82,4.2,17.06
2018-10-27,19.32,22.84,16.27,75.64,2.65,2.9,12.37
2018-10-28,21.0,24.89,18.14,68.91,2.22,2.21,19.61
2018-10-29,21.09,24.87,18.26,69.37,3.48,1.73,16.46
2018-10-30,19.57,21.96,17.76,79.0,21.74,1.36,15.14
2018-10-31,18.67,21.08,17.34,82.37,12.11,2.3,14.5
2018-11-01,20.1,24.28,16.57,71.06,6.15,1.03,16.99
2018-11-02,19.03,20.73,17.27,80.45,2.35,1.93,13.38
2018-11-03,19.28,22.91,16.84,76.5,4.54,2.09,7.49
2018-11-04,19.5,23.31,16.63,76.36,5.67,2.39,14.37
2018-11-05,20.37,24.5,17.32,70.89,0.25,2.34,20.6
2018-11-06,21.01,25.04,18.21,69.47,0.31,2.09,21.85
2018-11-07,21.13,25.08,18.08,68.14,1.4,2.18,13.96
2018-11-08,21.59,25.49,18.46,65.24,0.75,1.78,18.73
2018-11-09,21.08,24.42,18.62,67.44,0.85,2.04,17.22
2018-11-10,20.55,24.0,18.11,71.86,2.04,1.98,19.25
2018-11-11,19.94,23.48,17.23,77.42,15.47,1.44,19.08
2018-11-12,21.0,25.19,18.12,71.75,1.49,2.12,23.08
2018-11-13,20.08,23.09,18.47,77.0,3.54,1.3,13.74
2018-11-14,19.61,22.01,17.34,77.12,2.42,1.63,20.64
2018-11-15,19.29,21.37,17.39,79.66,2.85,1.56,19.52
2018-11-16,19.52,22.71,17.08,77.47,2.74,2.15,16.08
2018-11-17,20.51,24.54,17.36,71.23,2.83,2.31,19.36
2018-11-18,20.41,23.94,17.99,73.07,9.87,1.43,11.63
2018-11-19,20.93,24.25,18.21,70.8,2.58,1.41,22.71
2018-11-20,20.32,24.05,18.05,75.28,1.63,1.72,16.36
2018-11-21,20.52,24.81,17.49,74.67,4.01,1.48,19.59
2018-11-22,20.2,23.43,18.1,74.21,8.11,1.61,17.78
2018-11-23,20.56,24.6,17.9,73.5,2.72,1.73,10.57
2018-11-24,19.27,21.05,17.9,79.76,1.53,2.04,12.59
2018-11-25,20.02,24.15,17.01,75.81,2.09,2.62,20.45
2018-11-26,19.6,22.96,17.04,76.59,3.43,2.61,17.92
2018-11-27,20.21,23.58,17.34,73.17,1.4,2.56,12.19
2018-11-28,19.93,22.54,18.46,72.04,1.8,1.92,15.09
2018-11-29,20.01,22.92,17.39,73.15,0.44,2.1,19.84
2018-11-30,19.15,21.5,17.34,74.58,2.67,2.66,17.61
2018-12-01,20.2,24.15,17.32,69.33,0.64,2.13,14.82
2018-12-02,20.2,23.74,17.85,72.57,2.74,1.51,20.49
2018-12-03,20.31,24.47,17.01,73.38,1.54,1.74,14.63
2018-12-04,19.85,23.17,17.72,77.49,3.86,1.43,15.27
2018-12-05,19.72,23.18,17.5,78.04,1.62,1.67,13.94
2018-12-06,19.79,23.85,16.89,74.65,0.31,1.9,19.62
2018-12-07,20.38,24.02,17.45,69.48,0.98,1.55,18.25
2018-12-08,18.76,21.0,17.01,83.94,25.36,1.95,9.27
2018-12-09,18.46,21.94,15.6,80.33,5.52,3.12,8.88
2018-12-10,18.32,20.75,16.53,80.46,3.72,2.4,10.98
2018-12-11,18.46,20.88,16.4,75.41,4.56,1.15,8.65
2018-12-12,19.21,22.21,17.0,74.88,5.92,0.87,15.79
2018-12-13,18.78,21.84,16.89,82.07,8.18,1.13,12.74
2018-12-14,19.79,23.5,16.87,74.27,2.51,1.81,18.82
2018-12-15,20.42,23.84,17.57,73.25,2.9,1.41,16.35
2018-12-16,20.23,23.81,17.18,75.88,5.23,1.39,18.97
2018-12-17,19.06,21.04,17.56,83.05,10.79,1.33,19.98
2018-12-18,20.12,23.68,17.23,77.17,2.82,1.59,17.39
2018-12-19,19.95,23.75,17.17,79.51,8.1,1.84,13.47
2018-12-20,18.53,20.53,16.87,84.29,6.75,0.96,13.66
2018-12-21,19.33,22.38,17.04,78.61,9.57,1.2,13.09
2018-12-22,19.48,22.82,17.11,79.48,4.25,1.58,13.69
2018-12-23,19.83,23.62,16.7,78.39,3.02,1.53,12.81
2018-12-24,19.59,22.98,17.17,80.65,6.87,2.05,12.37
2018-12-25,20.06,23.84,17.37,72.33,0.94,2.08,17.24
