date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2016-05-05,27.31,29.52,25.81,80.0,17.9,6.11,13.01
2016-05-06,26.13,28.39,24.41,75.79,2.1,5.85,21.45
2016-05-07,26.27,28.66,23.99,71.52,0.5,5.7,23.01
2016-05-08,26.03,27.68,24.95,76.01,0.66,5.79,20.21
2016-05-09,25.45,27.83,23.28,75.9,4.85,5.83,15.8
2016-05-10,24.98,27.12,23.23,83.45,45.63,5.57,9.34
2016-05-11,25.97,28.36,24.67,84.01,3.24,5.64,14.2
2016-05-12,26.5,28.84,24.89,79.24,0.84,5.45,16.25
2016-05-13,26.53,28.65,25.2,74.27,0.11,5.32,20.61
2016-05-14,26.15,28.69,24.42,73.0,0.04,4.77,23.26
2016-05-15,26.07,29.03,23.42,72.8,0.03,4.6,22.48
2016-05-16,26.5,29.63,23.46,76.32,0.26,4.23,22.69
2016-05-17,26.99,29.44,25.16,79.3,0.74,5.03,21.65
2016-05-18,27.06,29.42,25.55,74.99,0.36,5.8,20.65
2016-05-19,26.42,28.47,24.88,72.04,0.12,6.09,22.26
2016-05-20,26.08,28.37,23.96,69.66,0.07,5.7,22.51
2016-05-21,25.93,28.0,23.96,77.09,1.08,5.91,14.14
2016-05-22,25.72,28.14,23.94,78.29,3.09,6.44,13.13
2016-05-23,25.69,27.86,24.21,72.85,0.54,6.15,16.88
2016-05-24,25.65,28.37,23.51,69.55,0.75,5.62,21.4
2016-05-25,25.71,28.25,24.09,73.04,0.54,5.43,20.9
2016-05-26,25.77,28.11,23.98,72.18,0.03,5.53,20.43
2016-05-27,25.93,28.38,24.1,69.72,0.01,4.99,22.04
2016-05-28,26.09,28.83,23.82,69.17,0.0,4.75,21.68
2016-05-29,26.36,29.03,24.44,70.51,0.01,5.24,21.14
2016-05-30,26.41,29.05,24.75,70.96,0.01,4.94,18.7
2016-05-31,26.57,29.25,24.72,71.94,0.03,4.59,18.73
2016-06-01,26.48,29.06,24.57,72.99,0.02,4.82,20.34
2016-06-02,26.36,28.85,24.7,74.3,0.03,5.19,19.24
2016-06-03,26.58,29.5,24.49,71.73,0.04,4.94,18.54
2016-06-04,26.65,29.42,24.45,74.06,0.03,4.62,20.5
2016-06-05,26.54,29.24,24.35,77.1,1.78,4.79,18.68
2016-06-06,26.55,29.12,24.76,75.89,2.01,5.7,19.32
2016-06-07,26.38,28.6,24.88,73.76,1.6,6.11,20.07
2016-06-08,25.86,28.04,23.87,71.52,0.48,6.5,20.03
2016-06-09,25.24,27.69,22.62,71.78,1.36,6.02,18.54
2016-06-10,25.34,27.57,23.93,75.43,0.63,5.7,15.85
2016-06-11,25.58,27.93,24.04,73.76,0.34,5.25,14.48
2016-06-12,25.8,27.99,24.14,71.79,0.2,6.07,17.65
2016-06-13,25.57,27.95,23.46,66.54,0.08,5.87,21.0
2016-06-14,25.25,28.05,22.55,66.78,0.02,6.06,20.37
2016-06-15,25.17,26.82,23.45,70.88,0.95,6.03,16.17
2016-06-16,25.38,28.07,23.28,74.71,1.38,4.9,20.23
2016-06-17,25.57,28.16,23.75,79.17,1.88,4.89,19.4
2016-06-18,25.78,28.27,24.29,80.75,4.93,4.85,16.02
2016-06-19,25.72,28.29,24.03,81.47,5.76,4.42,13.18
2016-06-20,25.5,28.23,23.89,80.6,4.62,4.65,12.36
2016-06-21,25.24,27.47,23.64,77.47,1.68,5.29,15.68
2016-06-22,25.37,27.84,23.84,73.8,0.49,5.61,11.81
2016-06-23,25.36,27.7,23.7,72.85,0.46,6.19,18.47
2016-06-24,25.01,27.47,23.04,74.6,3.41,6.13,14.5
2016-06-25,24.73,26.98,22.87,77.87,4.86,5.5,11.41
2016-06-26,25.1,27.49,23.63,78.66,2.11,4.96,14.82
2016-06-27,25.09,27.73,23.41,76.65,1.39,5.14,19.09
2016-06-28,25.03,27.76,23.29,74.92,1.08,5.21,20.59
2016-06-29,24.83,27.44,22.74,71.97,0.26,5.25,21.04
2016-06-30,24.92,27.82,22.48,71.04,0.08,5.42,17.15
2016-07-01,24.89,27.91,22.5,77.59,0.15,5.03,16.19
