date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2016-05-05,24.86,31.63,20.78,76.12,9.96,0.82,17.45
2016-05-06,23.81,31.68,18.19,66.82,0.43,0.81,21.69
2016-05-07,23.95,32.43,18.22,62.53,0.1,0.6,21.35
2016-05-08,22.98,30.68,17.68,65.81,0.1,0.67,19.68
2016-05-09,23.5,31.42,16.8,68.68,5.98,0.63,17.39
2016-05-10,21.34,25.83,18.11,79.12,10.54,0.73,14.35
2016-05-11,23.25,31.07,18.09,73.31,0.68,0.74,19.13
2016-05-12,23.64,31.34,18.39,70.42,0.18,0.74,20.39
2016-05-13,23.45,31.29,18.08,70.74,0.1,0.67,17.54
2016-05-14,23.01,31.57,17.77,66.44,0.06,0.63,17.16
2016-05-15,22.58,32.27,16.11,61.79,0.01,0.6,22.35
2016-05-16,23.13,32.87,15.72,62.84,0.06,0.57,21.43
2016-05-17,24.11,32.71,17.51,68.78,1.2,0.59,21.25
2016-05-18,24.24,32.16,18.98,68.62,1.37,0.67,14.12
2016-05-19,23.47,31.7,17.75,66.54,0.61,0.75,13.97
2016-05-20,22.93,31.3,16.76,63.5,0.2,0.71,21.16
2016-05-21,23.14,31.46,16.48,62.6,0.06,0.75,16.84
2016-05-22,23.48,30.97,18.14,67.43,0.26,0.79,17.32
2016-05-23,22.99,29.55,18.33,67.18,0.28,0.81,14.33
2016-05-24,22.62,31.42,16.61,62.28,0.05,0.72,14.45
2016-05-25,22.42,30.89,15.4,66.97,0.13,0.7,14.48
2016-05-26,23.3,31.06,17.84,64.74,0.05,0.74,18.81
2016-05-27,22.7,29.74,17.61,63.51,0.02,0.67,17.89
2016-05-28,22.65,30.29,16.64,63.99,0.0,0.62,19.3
2016-05-29,23.07,31.84,16.43,61.0,0.01,0.72,21.58
2016-05-30,23.42,31.86,17.78,63.7,0.01,0.65,20.34
2016-05-31,23.76,31.8,17.69,66.43,0.02,0.63,19.22
2016-06-01,23.96,32.29,18.13,63.7,0.01,0.68,18.81
2016-06-02,23.82,32.36,16.87,63.97,0.01,0.73,20.43
2016-06-03,23.53,30.84,18.48,64.4,0.04,0.69,18.15
2016-06-04,23.73,31.88,17.07,62.92,0.0,0.75,18.74
2016-06-05,24.11,31.85,17.75,64.56,0.15,0.79,19.07
2016-06-06,24.13,31.18,19.23,65.79,0.51,0.92,17.75
2016-06-07,24.08,31.84,18.6,62.76,0.22,0.96,22.45
2016-06-08,23.1,31.2,17.28,59.51,0.2,1.03,22.73
