date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-05-05,19.85,23.97,17.35,81.79,1.5,4.03,15.81
2019-05-06,20.03,24.27,16.9,79.2,2.72,3.99,19.2
2019-05-07,19.99,23.48,17.82,80.85,6.08,4.06,14.02
2019-05-08,19.5,23.0,17.02,80.15,3.56,2.87,17.13
2019-05-09,19.57,23.51,16.42,80.4,6.45,2.44,18.54
2019-05-10,19.27,21.84,17.5,83.56,2.59,2.62,11.84
2019-05-11,18.89,22.19,16.59,79.54,1.32,4.66,16.21
2019-05-12,19.24,23.72,15.21,75.52,0.22,3.81,15.45
2019-05-13,19.68,23.74,16.58,78.87,1.11,3.44,13.74
2019-05-14,19.81,23.57,17.12,79.61,1.44,3.53,17.92
2019-05-15,18.8,21.89,16.8,83.3,2.63,2.77,14.79
2019-05-16,19.58,23.63,16.27,78.08,3.66,2.82,18.02
2019-05-17,20.1,24.35,16.37,76.72,1.17,2.84,18.01
2019-05-18,20.59,24.31,17.31,74.35,2.14,2.14,18.8
2019-05-19,19.26,22.51,17.27,81.01,8.95,2.44,13.4
2019-05-20,19.67,23.34,17.16,75.97,12.57,1.58,16.83
2019-05-21,19.26,22.18,17.07,82.22,7.84,2.07,18.17
2019-05-22,19.55,23.32,16.61,76.45,0.94,2.99,16.83
2019-05-23,19.47,23.37,16.42,78.83,5.49,3.25,12.71
2019-05-24,19.15,23.2,16.6,80.24,3.68,3.89,16.51
2019-05-25,18.93,22.96,15.93,80.15,5.64,3.69,15.46
2019-05-26,18.95,22.89,16.24,80.77,4.64,3.66,14.48
2019-05-27,19.37,23.35,16.37,79.1,1.3,3.06,14.87
2019-05-28,19.35,23.23,16.45,78.43,1.0,3.12,16.86
2019-05-29,19.55,23.66,16.12,76.66,0.66,2.9,18.24
2019-05-30,19.83,23.79,16.44,77.49,0.57,2.66,16.5
2019-05-31,19.7,23.53,16.68,79.24,1.89,2.41,15.6
2019-06-01,18.95,21.23,17.0,80.83,3.9,1.67,16.45
2019-06-02,18.63,20.31,17.27,83.21,6.78,1.95,9.16
2019-06-03,19.64,23.37,17.0,77.61,5.04,1.58,15.7
2019-06-04,19.24,22.08,17.13,77.96,3.16,1.37,11.03
2019-06-05,19.33,22.56,16.67,75.49,2.81,1.0,17.22
2019-06-06,18.99,22.23,16.76,79.28,5.55,1.62,14.86
2019-06-07,18.13,20.86,16.23,81.16,6.9,2.42,6.89
2019-06-08,18.64,22.28,15.92,80.64,3.37,2.29,13.08
2019-06-09,18.21,21.71,15.83,81.07,4.88,2.45,14.4
2019-06-10,18.42,22.45,15.31,75.78,0.22,2.34,18.2
2019-06-11,18.21,21.64,15.2,72.58,0.03,2.27,15.53
2019-06-12,18.41,22.19,14.96,72.61,0.01,2.95,18.01
2019-06-13,19.02,23.3,15.59,73.92,0.04,3.23,19.11
2019-06-14,19.22,23.88,15.5,76.91,0.13,3.42,17.12
2019-06-15,19.03,22.97,15.93,74.69,0.75,2.78,18.85
2019-06-16,18.83,21.86,15.98,74.09,0.95,1.85,16.31
2019-06-17,18.89,22.96,15.55,70.76,0.05,2.77,17.85
2019-06-18,19.23,23.2,14.84,67.13,0.02,2.4,20.28
2019-06-19,19.81,23.7,16.08,68.2,0.14,2.02,19.63
2019-06-20,20.18,24.71,16.05,68.5,0.92,2.26,21.15
2019-06-21,19.35,22.98,16.42,75.74,27.01,1.99,17.36
2019-06-22,18.82,21.21,16.8,76.03,6.85,2.15,14.11
2019-06-23,19.6,23.4,16.63,69.98,2.02,1.53,13.69
2019-06-24,19.96,23.33,16.88,68.37,1.38,1.28,13.12
2019-06-25,18.54,21.46,16.52,78.29,3.86,1.92,11.49
2019-06-26,19.05,22.93,16.22,74.74,2.82,2.23,9.76
2019-06-27,18.13,20.83,16.06,82.27,8.54,2.3,11.06
2019-06-28,18.96,22.94,15.72,76.49,2.7,2.53,18.03
2019-06-29,19.48,23.47,15.7,70.36,2.7,2.01,19.27
2019-06-30,19.39,23.47,15.55,70.88,0.65,2.53,19.09
2019-07-01,19.5,24.08,14.77,65.95,0.0,2.84,22.68
2019-07-02,19.75,24.53,15.63,59.35,0.0,2.32,24.22
2019-07-03,19.41,23.92,14.78,64.23,0.06,2.7,22.61
2019-07-04,19.43,23.82,14.9,66.45,0.1,2.55,20.28
2019-07-05,19.96,23.87,16.01,63.99,0.34,1.92,21.22
2019-07-06,20.05,23.51,17.09,66.0,1.27,1.59,17.21
2019-07-07,18.74,21.67,16.91,77.21,1.79,2.66,10.82
2019-07-08,19.51,23.91,15.58,72.94,1.74,3.03,15.37
2019-07-09,18.75,22.07,16.58,78.93,3.83,3.1,12.9
2019-07-10,19.13,23.09,16.13,75.7,1.44,2.68,16.44
2019-07-11,19.48,23.67,16.37,70.92,0.24,3.5,17.77
2019-07-12,18.97,23.03,15.7,69.86,0.04,2.77,19.75
2019-07-13,18.29,21.91,15.6,74.84,0.27,2.46,13.11
2019-07-14,19.04,23.58,14.52,70.68,0.07,3.19,19.76
2019-07-15,19.3,23.89,15.18,66.77,0.0,3.22,21.19
2019-07-16,18.45,22.89,14.02,66.94,0.0,2.9,22.53
2019-07-17,18.81,23.27,14.76,65.73,0.0,3.16,19.98
2019-07-18,19.1,23.85,14.24,66.28,0.0,3.1,20.23
2019-07-19,19.7,23.74,14.54,63.98,0.0,1.78,19.68
2019-07-20,19.96,24.0,17.08,69.51,0.52,1.17,16.38
2019-07-21,18.36,20.91,16.43,79.13,0.54,2.24,16.47
2019-07-22,19.64,24.58,15.98,64.87,0.02,2.39,22.32
2019-07-23,19.2,24.45,13.76,60.35,0.05,2.09,20.64
2019-07-24,19.33,23.27,15.77,66.17,0.07,1.59,17.35
2019-07-25,20.58,24.46,16.78,61.46,0.0,1.33,19.29
2019-07-26,20.62,25.71,16.31,52.57,0.0,1.69,22.65
2019-07-27,19.97,25.21,15.74,52.41,0.0,1.93,22.91
2019-07-28,20.13,24.87,16.38,55.11,0.0,1.65,20.82
2019-07-29,19.96,24.27,16.09,63.14,0.0,1.75,18.66
2019-07-30,19.55,22.97,16.8,71.08,5.66,2.04,16.07
2019-07-31,19.71,23.63,16.44,67.96,3.34,1.53,10.6
2019-08-01,20.35,24.54,17.28,67.12,0.71,2.21,15.05
2019-08-02,19.71,23.67,16.59,73.44,1.93,3.42,12.24
2019-08-03,19.73,23.77,16.26,71.3,1.97,2.95,18.19
2019-08-04,20.23,25.22,15.58,61.78,0.63,3.55,24.2
2019-08-05,20.42,26.3,14.87,55.18,0.0,3.02,25.33
2019-08-06,21.13,26.13,15.66,53.42,0.04,2.05,24.7
2019-08-07,21.4,25.07,16.81,55.96,0.16,2.16,22.27
2019-08-08,21.02,25.23,17.84,61.32,0.92,2.6,17.53
2019-08-09,20.88,25.08,17.19,63.52,0.22,2.46,20.26
2019-08-10,20.22,24.4,16.77,66.47,0.43,2.85,16.28
2019-08-11,19.97,24.27,16.35,66.41,0.66,2.88,16.35
2019-08-12,20.24,24.18,16.39,61.43,0.18,2.46,21.02
2019-08-13,20.81,26.01,15.62,55.39,0.0,2.73,25.01
2019-08-14,19.95,25.92,14.11,51.81,0.0,3.26,26.2
2019-08-15,19.27,25.44,13.52,49.89,0.0,3.53,24.92
2019-08-16,19.06,24.58,13.1,56.6,0.04,3.34,24.59
2019-08-17,20.35,24.54,16.61,57.54,0.61,1.96,23.58
2019-08-18,20.98,25.86,16.61,58.83,0.66,2.86,21.53
2019-08-19,20.55,24.95,15.97,59.9,0.08,2.84,19.98
2019-08-20,20.7,25.02,16.64,56.93,0.04,2.66,21.78
2019-08-21,20.13,24.65,16.01,60.73,0.47,3.26,19.11
2019-08-22,19.81,24.67,15.59,64.43,0.74,3.21,20.97
2019-08-23,20.62,25.43,16.11,61.34,0.12,2.97,20.18
2019-08-24,20.77,26.08,15.46,59.19,0.05,2.78,22.47
2019-08-25,19.76,24.34,16.44,66.89,0.56,3.75,13.68
2019-08-26,20.28,24.96,16.28,64.68,0.2,3.75,16.76
2019-08-27,20.9,25.53,16.44,62.81,0.34,2.92,17.86
2019-08-28,21.37,25.83,17.42,63.61,0.67,1.94,20.81
2019-08-29,20.75,24.77,17.49,67.88,2.26,2.34,18.97
2019-08-30,20.78,24.38,18.13,66.28,2.04,1.78,13.86
2019-08-31,21.22,26.31,17.47,65.06,2.81,2.05,17.84
2019-09-01,20.68,23.75,18.1,68.86,2.7,1.4,15.33
2019-09-02,21.23,25.85,17.7,67.63,5.95,2.3,20.71
2019-09-03,20.69,24.89,18.0,71.56,5.61,3.3,15.33
2019-09-04,21.12,25.78,16.44,63.96,0.12,2.37,22.58
2019-09-05,21.4,25.49,17.3,61.36,0.06,2.37,23.26
2019-09-06,21.54,25.88,17.61,61.0,0.2,2.42,22.09
2019-09-07,21.13,25.23,17.9,61.47,0.16,3.5,15.77
2019-09-08,20.04,23.76,17.07,61.26,0.11,3.29,15.81
2019-09-09,20.79,25.55,15.85,55.91,0.03,2.87,19.89
2019-09-10,20.85,24.88,17.52,61.01,0.3,2.18,19.58
2019-09-11,21.26,25.81,17.17,64.8,0.89,2.33,17.32
2019-09-12,20.91,25.24,17.83,69.95,7.1,3.09,18.05
2019-09-13,21.14,25.07,17.65,68.05,4.05,2.05,17.86
2019-09-14,21.98,26.56,17.43,63.26,0.12,2.3,23.52
2019-09-15,22.14,26.32,18.88,61.66,0.61,2.19,23.75
2019-09-16,22.33,27.23,18.07,59.33,1.3,3.07,19.0
2019-09-17,21.69,26.32,18.01,60.1,0.1,3.74,20.72
2019-09-18,21.94,26.75,17.96,60.25,1.22,3.25,22.74
2019-09-19,22.0,27.0,17.59,59.6,0.71,2.9,23.74
2019-09-20,21.8,25.68,18.15,58.14,0.96,2.71,22.25
2019-09-21,22.47,27.17,17.6,55.27,2.33,2.03,21.08
2019-09-22,22.22,26.39,18.15,59.77,1.76,2.07,21.82
2019-09-23,22.65,26.92,19.15,58.46,1.14,1.87,23.05
2019-09-24,22.92,27.67,18.72,55.43,0.23,2.06,22.29
2019-09-25,21.2,25.31,18.25,65.16,4.64,2.23,18.38
