date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2018-10-19,16.9,23.37,12.77,85.84,5.45,0.39,12.04
2018-10-20,17.41,23.0,13.95,82.87,1.67,0.91,22.58
2018-10-21,17.71,23.34,13.41,77.65,0.77,1.14,22.81
2018-10-22,17.34,23.24,13.08,76.93,0.5,1.37,22.84
2018-10-23,16.77,22.17,13.78,81.69,1.53,1.42,18.1
2018-10-24,17.17,23.46,13.22,78.33,1.89,1.38,18.83
2018-10-25,16.65,22.12,12.72,82.3,1.42,1.21,15.63
2018-10-26,17.35,23.46,13.59,81.57,1.12,1.18,17.06
2018-10-27,16.64,19.66,13.86,84.85,3.69,0.91,12.37
2018-10-28,18.12,22.67,14.62,79.41,3.72,0.84,19.61
2018-10-29,18.09,23.32,14.27,79.87,2.67,0.76,16.46
2018-10-30,17.6,23.02,13.52,84.81,21.1,0.39,15.14
2018-10-31,17.26,21.44,14.22,87.3,23.98,0.45,14.5
2018-11-01,17.64,22.57,13.86,83.18,15.33,0.52,16.99
2018-11-02,17.29,21.91,13.56,87.19,2.98,0.4,13.38
2018-11-03,17.14,22.13,13.3,83.4,6.07,0.66,7.49
2018-11-04,16.04,21.01,12.66,89.04,7.66,0.78,14.37
2018-11-05,17.37,22.62,13.26,81.01,0.76,0.84,20.6
2018-11-06,18.18,23.84,13.35,75.11,0.3,0.83,21.85
2018-11-07,18.54,24.12,14.79,77.18,4.08,0.82,13.96
2018-11-08,18.36,24.03,14.24,77.04,2.89,0.84,18.73
2018-11-09,17.77,23.42,13.05,78.91,3.34,0.84,17.22
2018-11-10,17.49,23.08,12.56,83.56,6.19,0.75,19.25
2018-11-11,16.98,21.97,12.95,87.7,16.12,0.52,19.08
2018-11-12,18.3,23.98,13.92,78.14,0.47,0.84,23.08
2018-11-13,17.34,22.08,15.13,85.7,2.91,0.49,13.74
2018-11-14,18.29,24.26,13.93,80.94,0.95,0.58,20.64
2018-11-15,17.44,21.25,14.42,86.18,1.41,0.42,19.52
2018-11-16,16.75,20.24,14.01,86.96,0.67,0.69,16.08
2018-11-17,18.43,23.58,14.14,75.69,2.42,0.8,19.36
2018-11-18,17.75,22.82,13.67,82.16,9.07,0.69,11.63
2018-11-19,18.49,24.32,14.05,81.99,1.5,0.61,22.71
2018-11-20,17.79,22.36,14.85,84.2,1.42,0.66,16.36
2018-11-21,18.27,24.18,12.9,80.81,2.74,0.61,19.59
2018-11-22,17.78,23.18,13.52,81.36,4.02,0.66,17.78
2018-11-23,17.9,23.28,14.04,81.98,0.53,0.72,10.57
2018-11-24,17.01,21.55,14.4,86.08,5.13,0.73,12.59
2018-11-25,17.4,22.84,12.67,84.26,4.59,0.78,20.45
2018-11-26,17.03,22.25,12.34,83.75,3.42,0.85,17.92
2018-11-27,17.66,22.35,14.85,82.2,2.17,0.84,12.19
2018-11-28,17.78,23.44,14.96,79.67,1.39,0.76,15.09
2018-11-29,17.81,22.01,14.89,80.36,0.81,0.84,19.84
2018-11-30,16.99,20.33,13.48,79.37,6.93,0.9,17.61
2018-12-01,17.7,22.35,14.24,78.29,1.56,0.8,14.82
2018-12-02,17.31,22.3,12.83,82.75,2.34,0.74,20.49
2018-12-03,18.16,24.14,13.85,80.58,2.79,0.68,14.63
2018-12-04,18.01,25.18,13.26,84.72,2.63,0.55,15.27
2018-12-05,16.81,21.52,13.48,86.78,2.57,0.66,13.94
2018-12-06,17.05,23.01,11.54,82.84,0.97,0.69,19.62
2018-12-07,18.0,23.18,12.95,77.12,0.97,0.7,18.25
2018-12-08,16.51,20.14,13.38,90.33,15.39,0.56,9.27
2018-12-09,16.29,22.66,13.0,87.94,6.6,0.7,8.88
2018-12-10,15.84,19.34,13.34,91.46,5.43,0.48,10.98
2018-12-11,16.22,20.12,13.44,89.03,8.97,0.37,8.65
2018-12-12,17.07,21.84,13.01,84.74,5.68,0.53,15.79
2018-12-13,16.81,22.55,12.76,87.14,5.88,0.58,12.74
2018-12-14,16.8,22.19,12.41,82.43,1.98,0.56,18.82
2018-12-15,18.44,23.84,14.32,78.71,2.87,0.52,16.35
