date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-11-01,18.23,22.56,15.3,81.13,3.97,1.32,19.33
2019-11-02,18.51,23.38,15.08,77.89,0.73,1.52,20.81
2019-11-03,18.36,22.34,15.76,76.4,0.14,1.37,25.01
2019-11-04,19.07,23.89,15.68,74.42,0.38,1.27,21.68
2019-11-05,19.27,22.96,16.11,71.53,0.61,1.07,21.39
2019-11-06,18.58,21.53,16.29,78.47,1.14,1.01,12.29
2019-11-07,18.96,23.28,15.44,77.92,2.04,1.0,19.54
2019-11-08,18.37,21.66,15.23,85.1,5.18,1.02,16.76
2019-11-09,19.63,24.19,15.31,75.65,1.77,1.26,20.09
2019-11-10,18.7,22.97,16.17,83.1,1.92,1.4,17.94
2019-11-11,19.37,23.8,16.08,80.91,4.51,0.86,15.86
2019-11-12,18.66,22.69,15.87,86.81,20.12,0.88,6.87
2019-11-13,18.11,21.63,15.4,87.02,8.82,0.8,16.58
2019-11-14,18.69,23.14,14.83,81.88,10.19,0.92,10.38
2019-11-15,18.63,23.15,15.06,79.12,8.32,1.03,20.65
2019-11-16,19.8,25.31,16.18,79.71,10.46,0.82,19.09
2019-11-17,17.17,20.21,14.87,90.45,16.03,1.68,12.3
2019-11-18,17.87,23.29,13.85,82.2,6.47,0.77,15.59
2019-11-19,18.04,22.15,15.14,86.75,4.15,0.73,14.75
2019-11-20,18.8,23.24,14.81,81.9,3.9,0.96,15.13
2019-11-21,18.83,21.79,16.61,80.61,2.8,0.89,19.87
2019-11-22,19.34,23.89,16.25,78.44,19.58,0.64,14.89
2019-11-23,16.94,19.98,15.16,91.67,29.58,1.88,7.44
2019-11-24,15.97,19.22,13.18,90.8,7.31,1.09,16.49
2019-11-25,18.29,23.12,15.14,84.65,3.23,0.71,13.33
2019-11-26,17.2,19.86,15.43,91.03,6.5,0.95,16.76
2019-11-27,17.28,21.43,14.71,87.03,1.96,1.1,16.45
2019-11-28,18.02,22.89,14.58,84.45,5.21,0.86,14.83
2019-11-29,17.44,22.27,13.23,82.72,4.86,0.81,13.82
2019-11-30,18.44,23.3,15.62,84.28,7.35,0.8,17.54
2019-12-01,17.86,22.43,15.23,84.29,9.59,1.04,13.92
2019-12-02,17.36,21.09,14.55,86.58,3.88,0.84,14.91
2019-12-03,17.51,21.07,15.54,91.37,9.46,1.45,10.53
2019-12-04,17.25,20.99,14.78,87.99,12.13,0.95,12.32
2019-12-05,17.64,19.98,15.32,86.11,13.93,0.56,16.83
2019-12-06,18.29,23.06,15.38,84.38,13.04,0.95,11.72
2019-12-07,17.64,21.77,14.18,86.57,4.41,1.33,16.26
2019-12-08,16.92,20.61,14.99,90.44,2.83,1.48,8.7
2019-12-09,18.01,22.41,14.39,85.75,2.74,1.19,10.74
2019-12-10,16.89,20.33,14.92,88.67,5.56,1.2,13.0
2019-12-11,16.6,20.45,13.9,88.8,2.6,1.09,8.77
2019-12-12,17.52,21.63,13.98,84.96,8.03,0.76,16.91
2019-12-13,17.69,20.76,15.06,85.78,1.29,0.94,20.37
