date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-11-18,17.71,22.26,14.91,90.44,13.43,2.92,19.69
2019-11-19,17.09,20.12,15.15,91.64,8.59,3.0,19.91
2019-11-20,17.28,21.86,13.6,87.15,16.16,2.28,20.26
2019-11-21,17.88,22.73,14.33,85.58,7.38,1.43,20.63
2019-11-22,17.72,22.17,14.49,89.02,4.2,1.86,23.07
2019-11-23,16.55,19.09,14.62,94.36,6.05,2.24,14.55
2019-11-24,17.21,21.25,14.14,89.39,28.12,1.06,15.44
2019-11-25,17.34,20.75,15.18,90.96,35.68,1.74,17.07
2019-11-26,17.57,22.34,14.51,88.45,30.18,1.58,16.87
2019-11-27,17.52,21.55,14.75,91.19,22.37,2.47,21.68
2019-11-28,17.49,21.63,14.87,90.05,5.82,2.23,21.65
2019-11-29,17.75,22.37,14.75,89.72,7.76,1.71,22.83
2019-11-30,17.96,21.9,14.87,91.68,57.18,2.33,18.35
2019-12-01,17.37,21.03,14.95,91.79,9.05,2.73,17.24
2019-12-02,17.37,21.7,13.25,88.4,17.59,1.8,19.13
2019-12-03,17.3,21.46,14.49,90.23,13.6,1.97,19.57
2019-12-04,17.47,22.5,13.63,84.15,2.82,1.14,23.44
2019-12-05,17.42,22.05,13.67,87.22,4.28,1.38,19.37
2019-12-06,17.65,22.2,14.02,88.83,9.12,1.39,20.39
2019-12-07,18.08,21.59,15.29,91.19,6.99,1.35,19.7
2019-12-08,18.13,21.36,15.8,91.54,9.9,1.83,16.33
2019-12-09,17.78,20.87,15.97,93.15,6.98,1.49,12.13
2019-12-10,18.02,21.83,15.64,92.11,6.96,2.33,16.66
2019-12-11,17.11,20.71,14.61,91.54,1.32,2.48,21.6
2019-12-12,17.13,21.29,12.8,88.7,3.27,2.08,21.78
2019-12-13,16.85,20.6,14.16,91.18,2.35,1.73,24.51
2019-12-14,16.93,21.73,12.6,88.54,1.45,1.69,22.85
