date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-08-02,20.65,28.79,13.46,60.83,0.07,3.51,23.6
2019-08-03,20.39,28.35,14.44,60.8,0.07,3.54,24.86
2019-08-04,20.37,29.21,12.58,55.56,0.02,3.53,26.22
2019-08-05,21.38,30.34,13.06,53.82,0.0,2.33,25.73
2019-08-06,21.89,30.42,13.1,52.9,0.0,1.56,24.06
2019-08-07,22.07,28.71,15.46,59.87,0.39,1.62,22.55
2019-08-08,21.01,27.57,15.42,67.08,1.51,2.26,19.56
2019-08-09,21.52,28.39,15.13,58.05,0.27,2.37,20.35
2019-08-10,20.9,29.07,13.33,55.99,0.12,2.23,22.5
2019-08-11,20.52,27.69,13.38,65.51,1.59,1.61,18.28
2019-08-12,20.06,26.12,14.33,62.36,2.57,1.9,24.09
2019-08-13,21.07,29.18,13.17,56.17,0.14,2.24,22.2
2019-08-14,20.9,28.55,13.42,54.69,0.07,1.88,22.76
2019-08-15,20.06,27.99,12.93,52.36,0.17,2.92,22.97
2019-08-16,19.71,26.68,13.84,57.97,0.36,3.01,20.43
2019-08-17,21.16,28.61,13.65,58.08,1.22,1.47,20.83
2019-08-18,21.05,27.36,15.4,61.62,2.08,1.92,19.05
2019-08-19,21.79,29.29,15.22,60.24,0.7,1.68,20.06
2019-08-20,19.49,23.93,15.07,66.25,1.72,2.08,21.02
2019-08-21,20.28,27.54,15.29,62.94,0.8,2.7,20.3
2019-08-22,20.69,27.93,15.23,61.02,0.92,2.6,22.23
2019-08-23,20.58,27.88,13.79,60.48,1.57,2.19,23.18
2019-08-24,20.91,28.99,14.69,60.1,0.61,3.26,21.16
2019-08-25,21.14,29.24,14.13,56.46,0.05,3.13,23.75
2019-08-26,21.45,29.4,14.14,55.11,0.41,3.12,23.65
2019-08-27,21.68,28.99,14.15,59.99,1.11,2.06,23.03
2019-08-28,19.13,23.67,16.2,76.44,6.22,1.18,19.79
2019-08-29,20.73,26.56,14.97,70.08,5.95,1.04,20.32
2019-08-30,21.35,28.3,15.44,66.03,1.2,1.78,20.58
2019-08-31,18.9,22.5,16.36,83.01,23.9,1.18,17.18
2019-09-01,19.2,24.21,15.55,78.19,5.83,1.56,20.09
2019-09-02,20.07,25.63,15.35,75.13,8.52,0.89,22.34
2019-09-03,21.0,27.85,14.45,67.85,0.52,2.05,22.53
2019-09-04,21.39,28.9,14.48,66.44,0.5,1.98,24.26
2019-09-05,19.72,24.46,16.46,72.3,2.24,1.82,19.81
2019-09-06,20.93,26.71,15.39,67.74,2.06,1.67,19.49
2019-09-07,20.59,25.88,15.63,65.68,0.71,2.4,18.73
2019-09-08,20.02,26.35,15.06,62.47,0.32,2.85,20.25
2019-09-09,20.25,28.08,14.57,59.91,1.94,3.39,21.53
2019-09-10,21.14,29.07,13.98,65.42,0.4,2.53,25.02
2019-09-11,22.04,29.75,15.67,63.61,0.64,2.27,24.06
2019-09-12,21.37,29.27,13.92,61.99,0.57,2.31,24.78
2019-09-13,22.15,30.33,14.42,58.07,0.1,2.25,26.78
2019-09-14,22.6,31.36,14.48,56.53,0.09,2.45,26.03
2019-09-15,22.21,31.37,14.47,54.12,0.14,2.83,26.5
2019-09-16,21.93,30.52,14.18,53.12,0.04,3.54,27.56
2019-09-17,21.67,30.64,14.51,51.18,0.03,3.77,27.91
2019-09-18,21.87,30.71,13.47,52.58,0.03,2.81,25.61
2019-09-19,21.59,30.67,14.13,48.93,0.03,3.45,28.18
2019-09-20,21.54,30.16,13.21,50.02,0.02,3.51,26.61
2019-09-21,22.11,29.78,14.16,52.34,0.11,2.43,23.96
2019-09-22,22.48,29.24,16.39,58.31,2.29,1.48,21.38
2019-09-23,21.48,27.01,16.79,64.1,4.42,1.68,21.92
2019-09-24,22.2,29.8,14.87,61.35,0.67,2.04,23.25
2019-09-25,21.54,28.08,15.53,63.4,3.0,1.8,19.96
2019-09-26,20.42,26.04,15.86,70.13,6.29,2.54,21.23
2019-09-27,21.07,28.71,15.41,68.05,1.34,2.98,18.92
2019-09-28,21.47,28.08,15.7,66.99,1.48,1.75,24.17
2019-09-29,22.6,30.56,14.53,60.16,0.6,1.72,26.04
2019-09-30,22.91,31.66,15.13,55.34,0.42,2.17,26.61
2019-10-01,23.03,31.7,15.5,57.57,0.75,2.53,25.11
2019-10-02,22.65,30.71,15.7,60.96,2.56,2.61,22.93
2019-10-03,22.07,30.74,15.04,58.1,1.39,4.66,25.25
2019-10-04,21.49,29.96,14.86,54.95,0.54,4.39,26.01
2019-10-05,21.19,29.77,13.9,61.69,2.59,3.84,18.92
2019-10-06,21.23,29.37,14.94,63.24,1.07,3.64,20.19
2019-10-07,21.44,29.6,14.61,54.71,0.29,3.94,24.3
2019-10-08,22.15,30.7,14.47,54.8,0.37,3.59,26.47
2019-10-09,22.29,29.97,16.47,62.17,2.73,3.19,23.3
2019-10-10,21.85,29.55,15.75,64.93,2.68,3.73,21.92
2019-10-11,21.62,29.77,15.3,62.91,1.05,4.66,21.67
2019-10-12,21.18,28.7,15.5,64.9,2.86,4.18,20.58
2019-10-13,21.51,29.56,15.32,67.45,4.92,3.58,20.97
2019-10-14,21.84,29.58,15.83,67.64,1.27,2.89,19.82
2019-10-15,22.21,30.33,15.74,59.5,0.56,3.19,25.41
2019-10-16,21.57,28.53,14.48,58.01,0.44,3.16,24.05
2019-10-17,21.83,28.71,17.16,68.89,5.19,2.29,19.04
2019-10-18,20.41,26.24,17.1,75.08,18.82,1.79,16.75
2019-10-19,20.54,26.19,16.68,75.44,9.79,1.76,20.78
2019-10-20,21.06,27.06,16.32,72.52,1.7,1.75,23.81
2019-10-21,21.38,29.22,14.16,67.23,1.47,2.11,26.17
2019-10-22,21.87,29.41,14.86,67.87,0.86,2.13,24.92
2019-10-23,21.63,29.08,15.37,67.6,2.33,2.93,22.36
2019-10-24,21.09,28.69,15.39,64.15,0.91,4.22,23.52
2019-10-25,21.01,29.32,14.57,62.28,0.99,4.16,22.7
