date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2016-05-05,21.1,27.25,16.57,75.03,2.47,2.99,20.62
2016-05-06,20.25,26.26,15.8,72.69,1.96,2.53,16.87
2016-05-07,20.28,27.36,14.93,68.94,0.38,1.88,18.04
2016-05-08,19.44,27.87,13.73,62.4,0.02,2.19,12.08
2016-05-09,20.02,28.51,12.93,68.83,2.14,2.29,20.54
2016-05-10,19.19,24.79,15.62,78.68,9.01,2.38,13.43
2016-05-11,19.69,27.15,13.73,70.89,0.43,2.25,16.76
2016-05-12,20.09,27.47,14.28,71.27,0.67,2.4,19.1
2016-05-13,20.33,27.66,14.59,71.08,0.53,2.19,16.39
2016-05-14,20.47,28.9,14.57,67.32,0.16,2.53,19.91
2016-05-15,20.04,28.78,13.3,61.27,0.05,2.18,21.78
2016-05-16,19.95,28.65,11.66,61.9,0.01,1.45,20.33
2016-05-17,20.28,27.13,13.93,69.39,1.21,2.03,21.17
2016-05-18,19.8,25.24,16.34,78.03,4.22,1.7,17.22
2016-05-19,18.76,24.88,14.6,78.41,4.3,1.82,12.19
2016-05-20,18.66,24.32,14.24,77.8,4.84,1.79,11.97
2016-05-21,18.96,26.14,13.83,72.45,0.47,2.07,13.89
2016-05-22,19.39,26.41,14.11,71.62,0.2,2.55,17.33
2016-05-23,19.66,27.27,14.59,71.76,0.19,2.96,16.25
2016-05-24,19.71,27.49,13.74,67.75,0.17,2.22,16.18
2016-05-25,19.6,28.08,12.14,66.16,0.17,1.66,14.94
2016-05-26,19.62,26.54,14.57,72.14,0.38,1.88,20.99
2016-05-27,19.47,26.84,14.55,70.18,0.47,2.09,13.76
2016-05-28,19.58,27.62,13.45,66.8,0.07,2.33,18.66
2016-05-29,19.5,27.45,12.92,63.98,0.01,2.2,19.99
2016-05-30,19.81,27.94,13.25,63.41,0.04,2.43,22.77
2016-05-31,20.14,28.16,13.87,65.08,0.01,2.55,22.1
2016-06-01,20.52,28.73,14.32,63.99,0.01,2.44,23.06
2016-06-02,20.86,28.94,13.91,62.77,0.01,1.9,23.0
2016-06-03,20.73,28.58,14.81,63.61,0.01,2.52,20.66
2016-06-04,20.39,29.27,13.53,62.51,0.01,2.76,17.24
2016-06-05,20.36,28.02,14.23,65.13,0.02,2.85,18.38
2016-06-06,20.62,27.76,14.93,64.84,0.09,3.15,18.41
2016-06-07,20.46,27.5,15.31,61.69,0.06,2.84,19.56
2016-06-08,20.21,28.15,13.89,59.33,0.07,2.46,21.58
2016-06-09,19.56,27.83,13.03,59.25,0.02,2.37,15.75
2016-06-10,18.87,26.49,12.91,60.41,0.07,2.85,16.65
2016-06-11,18.85,25.6,13.4,67.55,0.21,2.15,15.4
2016-06-12,20.6,29.19,13.64,62.62,0.07,2.1,19.32
2016-06-13,20.9,28.94,14.3,59.13,0.09,1.59,16.66
2016-06-14,21.08,28.66,13.62,53.86,0.05,1.86,21.02
2016-06-15,20.66,28.92,13.12,54.52,0.02,2.01,18.97
2016-06-16,19.76,25.71,14.85,65.57,0.96,1.44,16.13
2016-06-17,18.41,23.74,15.12,75.19,3.61,1.48,17.13
2016-06-18,17.8,23.91,14.07,74.76,3.47,2.02,8.17
2016-06-19,18.67,24.58,14.43,72.63,1.1,2.76,16.14
2016-06-20,19.07,25.63,14.85,74.31,2.06,2.6,11.15
2016-06-21,17.08,21.21,14.38,80.34,6.91,2.07,7.23
2016-06-22,16.87,22.24,13.33,78.05,1.41,1.91,8.01
2016-06-23,17.27,23.93,11.74,74.24,0.73,1.73,8.62
2016-06-24,17.31,24.16,12.69,69.87,0.43,2.21,12.28
2016-06-25,17.23,24.34,11.42,67.75,0.07,2.16,11.01
2016-06-26,17.88,25.36,12.2,70.63,0.11,2.97,13.83
2016-06-27,18.43,26.08,12.14,68.26,0.13,1.94,16.33
2016-06-28,18.41,25.99,11.98,66.24,0.08,2.03,21.78
2016-06-29,17.82,24.65,12.53,69.11,0.29,1.85,16.7
2016-06-30,17.49,23.4,11.82,66.77,0.05,1.63,20.36
2016-07-01,18.24,25.38,11.37,61.59,0.01,1.72,22.1
2016-07-02,19.96,28.67,11.9,63.27,0.01,1.85,21.21
2016-07-03,20.3,27.36,14.16,64.11,0.11,1.73,14.5
2016-07-04,18.98,25.22,13.96,60.5,0.17,2.35,19.94
2016-07-05,18.8,26.14,11.5,51.33,0.0,2.02,20.64
2016-07-06,18.84,26.05,10.93,53.41,0.01,2.15,20.17
2016-07-07,19.63,26.43,12.02,58.68,0.04,2.07,20.4
2016-07-08,19.01,25.41,13.86,65.16,0.19,2.48,15.74
2016-07-09,18.22,24.95,12.88,62.45,0.07,2.08,15.5
2016-07-10,17.94,24.64,12.57,59.7,0.03,2.22,19.33
2016-07-11,17.35,22.86,12.44,59.04,0.05,2.51,15.28
2016-07-12,16.27,21.99,11.66,61.12,0.27,1.65,8.55
2016-07-13,17.7,27.19,10.11,53.9,0.2,2.14,11.49
2016-07-14,17.77,24.69,11.13,64.55,0.12,2.11,13.32
2016-07-15,18.31,25.35,11.73,60.15,0.05,2.23,19.7
2016-07-16,18.9,26.53,13.02,63.59,0.11,2.44,12.65
2016-07-17,18.58,26.03,12.62,64.91,0.28,2.01,17.28
2016-07-18,18.38,25.17,12.29,65.44,0.14,2.12,14.94
2016-07-19,19.72,27.78,12.88,57.66,0.02,2.67,21.5
2016-07-20,18.97,25.9,12.3,60.87,0.14,2.53,19.7
2016-07-21,19.3,27.17,12.71,62.44,0.2,2.12,17.4
2016-07-22,18.14,24.19,13.69,64.63,0.67,2.16,18.74
2016-07-23,19.33,26.72,12.57,59.47,0.08,2.23,19.96
2016-07-24,19.73,27.58,12.54,56.4,0.24,2.81,21.66
2016-07-25,19.54,28.2,13.49,60.42,0.12,3.29,20.15
2016-07-26,19.93,28.64,13.13,60.24,0.05,2.81,18.34
2016-07-27,20.5,28.04,13.29,56.32,0.03,2.54,22.56
2016-07-28,19.74,26.58,12.98,51.82,0.01,2.65,19.24
2016-07-29,20.07,27.95,13.67,57.82,0.08,2.45,20.86
2016-07-30,20.21,27.57,13.92,58.27,0.36,2.63,19.64
2016-07-31,21.23,29.04,13.21,51.29,0.02,2.72,22.1
