date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2020-01-17,20.5,23.41,18.15,87.34,2.79,1.1,13.23
2020-01-18,21.41,26.63,17.34,82.61,1.01,1.59,14.69
2020-01-19,21.01,26.23,17.66,79.57,0.05,1.96,16.49
2020-01-20,21.58,28.16,15.59,75.3,0.09,1.76,19.24
2020-01-21,21.66,28.41,15.05,73.98,0.02,1.96,23.99
2020-01-22,21.67,27.87,15.65,71.29,0.04,1.76,21.27
2020-01-23,21.55,27.25,16.25,76.06,0.25,1.72,21.49
2020-01-24,21.92,27.06,17.81,76.69,2.34,1.46,16.92
2020-01-25,21.5,26.42,16.85,75.9,2.68,1.66,17.59
2020-01-26,20.93,25.69,16.68,82.64,1.97,1.69,9.86
2020-01-27,21.8,25.95,18.3,83.2,1.49,1.59,10.03
2020-01-28,20.06,23.07,17.4,88.96,9.93,1.65,4.44
2020-01-29,19.67,23.03,17.37,87.97,3.47,1.57,10.84
2020-01-30,20.07,23.71,16.79,85.62,4.28,0.95,17.94
2020-01-31,20.03,23.87,16.31,85.69,1.03,0.88,14.19
2020-02-01,19.02,21.78,16.7,90.87,23.01,1.3,10.88
2020-02-02,20.53,25.35,15.77,79.82,1.0,1.2,18.76
2020-02-03,21.0,26.31,16.34,82.31,5.83,1.16,15.36
2020-02-04,21.08,24.72,17.69,82.44,2.83,0.83,16.82
2020-02-05,21.59,26.58,17.06,81.77,3.44,1.18,7.06
2020-02-06,20.35,22.72,17.86,87.26,1.63,0.82,12.35
2020-02-07,21.3,27.36,15.8,80.15,0.21,1.32,25.75
2020-02-08,22.07,28.33,16.81,74.39,0.02,1.62,26.0
2020-02-09,22.08,28.41,16.41,71.7,0.04,1.55,27.8
2020-02-10,22.5,28.99,16.51,65.94,0.0,1.56,27.32
2020-02-11,22.23,29.35,15.0,68.44,0.0,1.52,25.61
2020-02-12,23.12,29.48,16.37,68.22,0.1,1.21,23.51
2020-02-13,21.26,26.21,16.86,77.8,0.8,1.97,20.81
2020-02-14,20.48,24.54,17.06,85.02,0.84,1.61,15.15
2020-02-15,20.61,23.73,17.02,84.06,0.41,1.12,19.39
2020-02-16,20.81,26.1,15.53,79.75,0.12,1.02,24.11
2020-02-17,21.17,26.55,16.19,79.42,0.51,1.28,23.54
2020-02-18,22.09,27.88,17.22,80.56,0.36,1.25,21.33
2020-02-19,22.28,26.39,18.15,78.5,5.03,0.97,22.72
2020-02-20,21.74,26.74,17.22,81.81,12.93,1.15,20.54
2020-02-21,21.64,26.79,17.63,84.4,3.91,1.1,18.45
2020-02-22,22.62,27.35,17.4,79.76,0.27,0.96,21.24
2020-02-23,21.87,25.83,17.98,84.21,1.51,1.44,19.98
2020-02-24,22.25,27.92,18.22,83.68,7.77,1.15,17.26
2020-02-25,22.45,26.85,17.86,78.35,12.75,1.07,16.43
2020-02-26,22.09,26.87,17.44,78.99,1.96,1.32,19.01
2020-02-27,21.12,23.77,18.66,87.65,75.22,1.13,19.29
2020-02-28,20.76,24.14,18.33,87.61,58.68,0.92,4.82
2020-02-29,21.68,27.08,16.33,82.61,3.96,1.04,24.39
2020-03-01,21.55,26.83,17.34,85.93,15.95,1.14,14.32
2020-03-02,20.54,23.93,17.72,87.61,4.36,0.95,16.18
2020-03-03,21.2,26.28,16.79,83.57,4.43,1.18,21.76
2020-03-04,20.49,23.22,17.98,87.24,2.49,1.31,13.23
2020-03-05,20.55,25.42,16.75,85.16,0.63,1.26,22.75
2020-03-06,22.26,28.68,15.38,78.56,0.73,0.98,19.32
2020-03-07,21.75,26.88,16.89,82.77,2.89,1.47,22.02
2020-03-08,21.79,27.04,17.02,84.69,3.52,1.12,17.23
2020-03-09,21.26,24.89,17.97,88.55,6.98,0.99,13.88
2020-03-10,22.31,28.26,18.27,81.17,1.51,1.35,18.37
2020-03-11,21.34,25.58,17.3,85.86,9.37,1.35,7.46
2020-03-12,21.55,26.41,17.71,86.47,1.41,1.27,15.31
2020-03-13,21.33,24.8,18.12,85.58,7.61,1.03,10.35
2020-03-14,21.19,25.47,17.56,85.1,4.07,1.08,20.63
2020-03-15,20.81,25.06,17.04,89.34,10.52,1.17,16.09
2020-03-16,21.97,27.36,17.35,83.84,2.76,1.28,13.6
2020-03-17,21.38,24.96,16.94,79.92,3.44,1.04,22.3
2020-03-18,20.45,24.03,17.41,85.03,12.15,1.54,12.6
2020-03-19,20.7,26.23,17.04,84.16,8.77,1.2,16.42
2020-03-20,20.85,26.38,16.38,85.34,2.13,1.51,19.58
2020-03-21,20.99,25.07,17.66,88.3,24.58,1.88,18.21
2020-03-22,21.35,26.87,17.53,83.42,24.09,2.09,17.03
2020-03-23,21.0,26.54,16.24,82.75,2.23,1.53,18.6
2020-03-24,19.48,21.95,17.44,91.03,6.83,1.5,20.09
2020-03-25,19.16,22.78,16.21,92.39,34.1,1.41,12.43
2020-03-26,21.1,26.38,16.46,83.34,7.01,0.91,14.75
2020-03-27,20.73,25.25,17.75,87.36,6.96,0.68,7.38
2020-03-28,20.82,24.91,17.52,82.19,4.1,0.95,16.75
2020-03-29,20.47,24.95,15.98,80.72,6.05,1.03,16.81
2020-03-30,21.28,26.83,16.45,80.61,6.46,1.3,20.29
2020-03-31,20.18,23.33,17.3,87.29,2.56,1.24,21.45
2020-04-01,21.03,26.45,17.23,87.84,48.8,1.48,23.23
2020-04-02,20.83,25.07,17.47,88.75,6.38,1.31,24.88
2020-04-03,21.16,26.54,16.63,87.07,3.03,1.51,20.28
2020-04-04,20.78,25.21,17.89,88.73,4.31,1.63,21.47
2020-04-05,20.32,24.65,16.72,87.36,1.74,1.18,17.07
2020-04-06,20.23,25.51,15.89,85.5,3.83,1.32,20.49
2020-04-07,21.39,28.01,15.23,78.95,0.38,0.97,20.75
2020-04-08,21.37,26.65,17.04,83.83,0.58,1.7,23.22
2020-04-09,20.42,24.21,17.61,90.21,4.26,1.61,21.13
2020-04-10,20.58,24.31,17.42,88.04,2.29,1.96,12.24
2020-04-11,21.02,26.36,16.54,86.09,0.96,2.22,16.27
2020-04-12,21.38,25.47,17.78,85.64,2.28,1.93,18.63
2020-04-13,20.77,25.38,16.82,88.51,3.69,1.38,12.67
2020-04-14,21.55,25.91,17.18,84.18,2.79,0.91,12.13
2020-04-15,21.87,26.81,18.51,85.31,1.11,0.95,13.96
2020-04-16,21.17,25.34,17.79,88.08,4.91,1.14,21.03
2020-04-17,20.73,24.4,18.16,90.39,2.81,1.13,17.03
2020-04-18,20.76,24.84,17.39,88.34,34.66,1.21,5.88
2020-04-19,20.79,24.44,18.12,85.29,23.57,1.18,17.05
2020-04-20,20.11,24.45,17.03,88.54,6.96,1.05,8.97
2020-04-21,20.33,24.04,17.76,88.36,9.98,1.11,16.89
2020-04-22,20.82,25.9,16.52,83.64,35.68,0.92,12.95
2020-04-23,21.18,25.91,16.78,83.56,2.5,0.86,12.1
2020-04-24,21.11,25.37,17.46,85.29,2.74,0.97,19.32
2020-04-25,20.38,23.07,17.83,87.51,4.18,0.66,16.59
2020-04-26,20.72,25.84,16.42,85.54,1.32,1.36,19.18
2020-04-27,19.45,22.31,17.09,93.76,29.63,1.34,13.91
2020-04-28,20.31,25.18,16.94,86.12,11.99,1.5,17.81
2020-04-29,20.04,25.1,15.99,87.95,10.92,1.41,13.75
2020-04-30,19.62,23.3,16.74,89.02,30.79,1.68,19.49
2020-05-01,19.77,23.76,15.75,90.19,5.12,1.61,19.89
2020-05-02,20.58,24.95,17.23,86.8,3.62,2.11,5.38
2020-05-03,20.43,24.7,16.53,86.21,5.21,1.34,15.35
