date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-10-25,22.51,27.91,17.56,78.22,2.94,1.45,22.57
2019-10-26,22.63,28.16,17.07,76.34,5.08,1.42,20.34
2019-10-27,22.0,27.6,17.24,81.24,3.13,1.01,22.1
2019-10-28,20.49,24.14,17.85,86.99,25.09,1.5,20.22
2019-10-29,19.14,23.01,16.23,88.51,11.44,1.31,19.82
2019-10-30,21.52,26.77,17.23,82.02,5.12,0.94,18.23
2019-10-31,21.66,26.73,18.65,82.56,13.97,0.6,20.36
2019-11-01,20.73,25.09,17.47,83.09,8.68,1.21,22.66
2019-11-02,20.98,25.51,18.06,82.89,6.53,1.16,22.88
2019-11-03,20.6,24.85,16.46,83.12,1.71,1.41,21.48
2019-11-04,21.21,25.73,17.87,84.89,4.6,1.09,20.82
2019-11-05,21.18,25.05,18.27,84.64,6.79,1.15,21.96
2019-11-06,20.78,25.11,18.35,86.04,5.55,1.2,21.35
2019-11-07,19.87,22.44,17.83,90.95,2.39,1.13,20.53
2019-11-08,20.28,23.86,17.81,88.24,6.15,1.23,19.21
2019-11-09,21.5,26.37,16.51,82.37,0.61,1.42,22.95
2019-11-10,21.74,26.6,17.71,82.72,0.34,1.2,24.28
2019-11-11,21.16,23.4,18.94,85.54,2.96,1.33,19.81
2019-11-12,20.6,23.0,18.9,90.11,27.94,1.0,18.53
2019-11-13,22.28,27.54,17.73,81.72,3.49,1.0,21.25
2019-11-14,21.97,27.79,17.17,80.8,1.73,1.24,21.82
2019-11-15,22.04,28.0,16.02,78.31,2.12,1.09,24.83
2019-11-16,22.66,28.45,16.92,78.5,1.03,1.12,25.03
2019-11-17,22.6,28.49,17.33,77.52,3.32,1.55,23.32
2019-11-18,22.63,28.13,17.8,78.26,8.73,1.14,19.57
2019-11-19,22.34,27.95,17.81,78.66,8.3,1.58,22.32
2019-11-20,20.92,26.19,15.95,83.67,5.04,1.54,20.24
2019-11-21,21.67,27.28,16.99,80.42,7.76,1.04,20.76
2019-11-22,21.54,25.46,17.72,84.53,18.06,1.24,21.8
2019-11-23,20.7,24.75,18.76,90.08,30.0,1.43,9.94
2019-11-24,20.27,24.08,17.5,89.41,14.91,1.51,14.33
2019-11-25,19.09,21.06,17.18,92.38,16.1,1.72,14.65
2019-11-26,20.68,25.68,15.97,84.24,1.42,1.31,17.01
2019-11-27,20.98,25.71,16.76,80.39,7.4,1.77,23.55
2019-11-28,21.55,27.39,16.85,79.09,2.0,1.67,21.44
2019-11-29,21.29,25.81,17.12,83.48,4.66,1.35,18.84
2019-11-30,21.85,26.35,18.51,83.43,14.29,1.0,17.79
2019-12-01,20.19,22.67,18.37,87.14,17.35,1.17,14.82
2019-12-02,21.43,26.62,18.07,84.83,13.26,1.08,18.49
2019-12-03,21.67,26.97,17.7,85.04,22.53,1.29,8.69
2019-12-04,19.44,22.18,17.12,91.42,9.95,1.63,13.49
2019-12-05,19.33,23.15,17.04,88.28,40.41,1.05,15.99
2019-12-06,20.02,23.83,16.83,89.64,36.88,1.14,19.97
2019-12-07,21.3,25.28,17.83,84.27,14.32,0.96,17.75
2019-12-08,21.69,27.11,16.59,80.82,7.71,1.12,19.83
2019-12-09,21.04,26.07,17.03,84.55,3.19,1.38,18.28
2019-12-10,19.33,22.54,17.22,90.94,29.72,1.59,13.79
2019-12-11,20.92,25.87,17.7,85.42,5.22,0.92,20.8
2019-12-12,21.16,26.65,15.99,81.48,2.04,1.16,21.78
2019-12-13,20.52,25.28,16.12,83.13,2.05,1.27,20.74
2019-12-14,21.44,25.81,17.13,78.07,13.08,0.85,18.77
2019-12-15,21.19,27.0,15.38,77.76,7.9,1.11,20.13
2019-12-16,20.98,26.49,15.95,81.12,4.27,1.27,19.72
2019-12-17,21.7,27.21,16.43,77.96,0.36,1.11,22.47
2019-12-18,21.81,27.78,16.34,77.15,0.04,1.77,22.45
2019-12-19,20.02,26.77,14.81,70.95,0.0,3.1,26.28
2019-12-20,21.05,27.99,14.4,69.77,0.0,2.02,25.15
2019-12-21,21.91,27.25,16.16,77.77,0.1,1.06,22.1
2019-12-22,21.38,25.6,17.36,81.21,8.23,1.12,20.76
2019-12-23,20.46,24.31,17.72,85.17,8.03,1.0,15.47
2019-12-24,21.53,25.76,17.99,79.01,3.15,0.88,21.1
2019-12-25,21.98,27.14,17.26,80.47,14.17,0.98,18.25
2019-12-26,21.33,26.28,17.72,83.89,4.69,1.13,11.06
2019-12-27,22.11,27.57,17.6,80.72,3.57,1.15,18.75
2019-12-28,21.85,26.99,16.97,80.78,5.04,1.19,17.29
2019-12-29,21.8,27.16,16.61,79.23,2.71,1.31,20.83
2019-12-30,21.72,27.52,15.69,74.67,1.08,1.75,24.21
2019-12-31,21.54,27.75,15.94,75.53,0.58,2.15,25.34
2020-01-01,21.41,27.85,16.01,72.78,0.06,2.52,25.8
2020-01-02,21.43,27.52,16.25,76.57,0.73,2.76,23.18
2020-01-03,21.8,28.47,16.48,76.98,0.7,2.93,22.5
2020-01-04,21.33,27.25,16.29,77.35,0.01,2.69,23.06
2020-01-05,22.27,28.86,15.19,69.55,0.41,1.25,21.68
2020-01-06,22.72,28.1,16.8,71.84,0.85,1.48,18.13
2020-01-07,21.93,28.21,16.76,77.34,2.01,2.29,22.64
2020-01-08,21.53,28.14,16.52,78.68,5.98,2.22,18.29
2020-01-09,21.84,28.42,15.17,75.16,2.56,1.57,23.7
2020-01-10,22.03,28.32,15.88,72.51,0.39,1.47,23.6
2020-01-11,21.94,27.89,16.47,74.23,0.2,1.41,20.89
2020-01-12,20.94,25.99,16.69,80.08,2.48,1.22,16.96
2020-01-13,19.99,23.66,17.31,85.23,28.33,1.02,17.04
2020-01-14,21.83,28.11,16.38,79.12,28.8,1.11,24.07
2020-01-15,22.68,28.55,16.38,72.55,0.24,1.42,25.08
2020-01-16,22.52,28.26,17.44,76.71,3.11,1.41,21.27
2020-01-17,21.93,25.57,18.41,78.85,2.41,1.16,20.81
2020-01-18,22.88,28.6,17.71,71.15,0.0,1.41,19.92
2020-01-19,22.33,27.9,16.63,72.67,0.01,1.19,22.9
2020-01-20,22.43,28.86,15.47,67.96,0.0,1.39,24.62
2020-01-21,22.66,28.82,16.26,67.17,0.01,1.42,25.36
2020-01-22,22.87,28.92,16.16,67.63,0.01,1.18,24.17
2020-01-23,22.4,27.48,17.97,72.88,0.24,1.44,23.65
2020-01-24,22.75,28.48,17.94,74.38,0.2,1.57,19.32
2020-01-25,22.33,28.06,17.94,79.68,0.46,1.54,18.79
2020-01-26,22.64,27.04,19.46,79.29,3.55,1.47,15.74
2020-01-27,22.39,27.87,17.17,79.14,7.66,1.41,14.33
2020-01-28,20.7,25.27,17.9,85.06,29.18,1.5,13.96
2020-01-29,20.77,24.78,18.15,87.72,8.78,1.52,17.51
