date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2020-02-10,18.09,25.39,12.13,70.81,0.03,3.24,28.32
2020-02-11,19.34,25.97,12.18,63.49,0.0,1.08,27.66
2020-02-12,19.67,25.26,13.15,71.46,0.27,1.17,24.06
2020-02-13,19.45,25.17,14.69,79.42,2.43,3.19,19.86
2020-02-14,19.06,25.03,15.5,78.43,0.71,4.86,23.35
2020-02-15,18.79,24.8,14.63,79.87,1.1,4.63,25.97
2020-02-16,19.27,25.27,14.33,78.7,0.94,3.82,23.36
2020-02-17,19.89,25.94,14.63,77.23,0.44,2.63,25.04
2020-02-18,19.8,26.19,14.68,77.62,0.21,3.23,25.04
2020-02-19,19.82,26.1,14.94,76.42,0.22,3.87,23.33
2020-02-20,20.23,26.65,14.83,74.85,0.14,3.24,24.79
2020-02-21,20.09,26.44,14.51,73.22,0.08,3.04,23.8
2020-02-22,19.67,26.02,14.52,78.77,2.98,3.6,24.24
2020-02-23,19.48,25.62,14.78,79.3,0.47,4.04,24.4
2020-02-24,19.98,26.21,14.26,71.99,0.02,3.18,26.85
2020-02-25,19.71,25.97,14.09,78.09,10.2,1.55,20.95
2020-02-26,19.95,25.15,15.02,78.22,5.01,1.85,20.65
2020-02-27,19.75,25.24,16.17,79.74,7.39,3.04,18.53
2020-02-28,20.3,26.39,14.68,74.92,0.41,2.46,20.72
2020-02-29,20.43,26.41,14.48,73.14,0.62,0.93,22.87
2020-03-01,20.11,25.62,14.94,79.79,6.9,1.45,18.79
2020-03-02,19.62,24.45,15.33,81.28,1.9,1.2,16.06
2020-03-03,19.97,25.49,14.83,80.18,3.32,1.27,20.63
2020-03-04,19.57,24.51,15.79,83.06,11.63,1.11,13.89
2020-03-05,19.93,24.71,15.35,78.62,7.63,0.55,24.05
2020-03-06,20.33,26.28,14.06,75.19,3.27,0.87,25.9
2020-03-07,20.56,25.88,15.3,77.06,5.53,1.06,24.51
2020-03-08,20.36,25.45,16.27,82.45,32.71,1.6,20.69
2020-03-09,19.6,23.64,16.66,86.5,36.67,1.17,14.74
2020-03-10,20.07,25.57,14.78,79.99,0.21,1.28,22.55
2020-03-11,20.27,26.59,14.52,78.08,0.37,1.5,23.87
2020-03-12,20.14,26.06,16.47,81.21,10.15,2.53,21.66
2020-03-13,20.13,25.83,15.39,80.12,9.51,2.16,21.79
2020-03-14,20.33,25.97,15.2,79.34,2.6,1.6,23.51
2020-03-15,20.44,26.65,14.74,75.86,0.36,1.66,24.55
2020-03-16,21.04,26.81,15.42,78.11,5.27,1.36,16.72
2020-03-17,19.88,25.05,16.22,82.41,9.88,1.89,19.53
2020-03-18,19.58,25.47,14.02,78.87,5.44,2.07,22.45
2020-03-19,19.4,25.03,14.38,80.96,3.76,1.57,19.87
2020-03-20,19.62,25.35,14.77,80.49,3.83,2.55,24.81
2020-03-21,20.11,26.42,14.42,75.55,0.35,3.07,23.47
2020-03-22,19.97,26.45,13.58,71.78,7.16,2.66,26.52
2020-03-23,19.81,24.94,14.74,79.32,6.74,1.52,23.42
2020-03-24,20.09,26.14,13.98,77.66,17.4,1.53,25.26
2020-03-25,19.58,24.62,15.56,84.93,31.73,1.13,21.95
2020-03-26,16.9,20.83,14.59,89.01,49.94,1.5,16.64
2020-03-27,17.43,20.67,14.59,87.69,14.41,1.14,18.39
2020-03-28,18.84,23.41,14.13,81.63,6.19,1.39,14.79
2020-03-29,18.75,23.21,15.08,82.13,15.26,1.37,17.31
2020-03-30,19.38,25.12,13.3,78.05,1.25,1.81,25.5
2020-03-31,19.63,25.3,14.81,79.27,0.67,2.49,23.56
2020-04-01,19.58,26.36,15.1,80.06,1.77,3.65,25.28
2020-04-02,19.52,25.82,14.67,77.7,0.19,3.3,26.93
2020-04-03,19.96,26.15,15.04,78.6,0.33,3.32,25.62
2020-04-04,19.78,26.32,15.2,76.81,2.4,2.42,24.41
2020-04-05,19.58,25.94,14.33,77.48,0.45,2.83,23.37
2020-04-06,19.72,25.55,14.83,79.01,15.67,1.89,22.03
2020-04-07,19.61,24.57,15.53,81.08,2.01,2.48,25.25
2020-04-08,20.0,26.21,14.67,75.67,0.16,2.3,25.94
2020-04-09,20.24,25.88,15.06,77.79,1.29,2.38,23.03
2020-04-10,20.54,26.07,15.67,76.96,0.98,1.58,21.88
2020-04-11,20.79,26.11,15.4,75.83,0.8,1.05,23.43
2020-04-12,20.78,26.27,15.33,79.73,2.18,0.9,19.91
2020-04-13,18.86,22.89,16.97,88.58,9.13,1.24,16.21
2020-04-14,19.52,23.58,16.41,83.87,6.32,0.76,18.64
2020-04-15,18.43,21.39,16.3,89.69,11.92,1.17,23.75
2020-04-16,19.12,23.83,15.09,82.25,14.83,1.2,24.37
2020-04-17,18.82,23.67,15.17,85.4,34.9,0.73,22.77
2020-04-18,18.22,22.03,15.84,90.08,68.65,1.07,16.64
2020-04-19,17.28,21.09,15.24,90.29,13.99,1.46,17.65
2020-04-20,17.69,21.83,14.91,87.96,14.68,1.16,16.56
2020-04-21,18.55,23.32,14.47,86.07,14.08,1.24,16.06
2020-04-22,18.12,22.05,15.24,87.7,7.5,0.97,18.94
2020-04-23,18.19,22.93,14.99,87.26,20.25,1.21,12.21
2020-04-24,18.04,21.38,15.72,88.86,12.31,0.52,18.55
2020-04-25,18.18,22.24,15.74,87.31,6.35,1.45,20.77
2020-04-26,18.9,23.87,14.52,82.79,11.24,1.14,21.32
2020-04-27,19.16,23.95,14.91,84.77,21.13,1.24,18.64
2020-04-28,19.11,24.04,14.69,83.06,39.53,1.05,19.96
2020-04-29,19.08,23.87,14.82,83.63,25.71,0.85,20.68
2020-04-30,17.92,20.62,15.9,90.27,32.2,0.64,22.04
2020-05-01,18.67,23.21,15.63,87.08,17.4,1.11,22.86
2020-05-02,18.09,21.01,16.0,88.93,51.62,0.73,16.12
2020-05-03,18.35,22.4,15.38,88.5,29.75,0.97,20.16
2020-05-04,18.49,22.65,15.65,88.84,48.37,0.72,20.82
2020-05-05,18.62,22.44,16.07,90.32,37.78,1.14,16.51
2020-05-06,18.28,21.94,15.49,90.06,23.12,0.85,21.16
2020-05-07,18.9,23.37,15.3,86.72,11.34,1.17,22.97
2020-05-08,18.6,22.3,15.88,87.53,8.07,1.25,19.13
2020-05-09,19.08,23.55,14.82,85.81,14.94,0.97,20.59
2020-05-10,18.88,22.84,16.27,88.93,18.13,1.03,18.16
2020-05-11,19.16,23.49,16.37,86.4,6.89,1.79,22.09
2020-05-12,19.35,24.01,15.06,83.21,2.64,1.06,20.7
2020-05-13,19.08,23.85,14.71,84.31,1.25,1.2,24.0
2020-05-14,19.02,24.63,13.52,79.77,0.42,1.2,24.63
2020-05-15,19.15,24.89,13.23,79.35,2.47,1.29,18.55
2020-05-16,17.72,21.87,14.78,89.93,19.03,1.08,20.58
2020-05-17,18.7,23.62,14.33,82.44,14.4,0.51,20.15
2020-05-18,18.9,23.37,15.1,81.6,8.65,0.94,20.44
2020-05-19,18.97,24.01,13.2,78.97,1.63,0.82,21.06
2020-05-20,19.54,24.44,14.63,79.69,8.88,0.62,22.81
2020-05-21,19.15,23.66,16.02,83.97,7.34,0.82,22.31
2020-05-22,17.2,19.47,15.79,92.92,12.54,1.2,15.09
2020-05-23,18.3,22.42,15.23,88.85,8.77,0.72,21.96
2020-05-24,18.41,22.58,15.27,85.38,11.35,0.53,21.82
2020-05-25,19.25,24.59,14.42,78.51,0.49,1.02,23.78
2020-05-26,19.42,24.55,13.91,78.69,0.51,0.92,22.53
2020-05-27,19.35,24.2,14.35,80.92,2.2,0.89,23.53
2020-05-28,19.42,24.3,14.41,80.2,2.17,0.86,23.26
2020-05-29,19.02,23.94,14.58,84.2,2.48,1.08,20.42
2020-05-30,18.33,21.65,15.4,86.21,5.22,0.39,22.08
2020-05-31,19.28,24.55,13.19,76.77,0.32,1.01,21.39
2020-06-01,19.65,24.45,15.22,75.66,1.28,0.37,22.34
2020-06-02,18.87,23.43,14.63,84.24,1.85,0.95,21.6
2020-06-03,19.11,24.24,13.92,80.2,5.81,0.87,20.45
2020-06-04,18.56,23.11,15.08,86.16,4.61,0.96,19.03
2020-06-05,18.18,22.7,14.81,84.44,3.09,0.72,20.26
2020-06-06,17.77,20.98,15.22,89.15,27.48,0.91,17.43
2020-06-07,17.47,20.92,15.15,90.65,13.28,1.26,20.49
2020-06-08,17.05,20.39,14.89,89.13,13.89,1.15,8.77
2020-06-09,17.58,22.26,14.19,88.29,16.35,0.73,20.06
2020-06-10,17.74,22.5,13.97,86.66,13.57,1.0,13.32
2020-06-11,17.76,22.46,13.37,85.74,5.14,0.95,19.76
2020-06-12,17.35,21.34,14.66,90.44,13.9,1.26,16.06
2020-06-13,16.71,19.88,14.15,90.8,12.75,0.92,17.57
2020-06-14,17.28,21.52,14.1,89.79,12.54,1.39,18.44
2020-06-15,17.2,20.92,14.18,88.51,13.81,1.06,14.94
2020-06-16,17.55,21.9,14.09,88.78,6.67,1.32,19.7
2020-06-17,17.2,21.18,14.49,88.94,11.57,1.34,19.23
2020-06-18,17.63,21.79,14.79,88.41,21.23,0.41,17.73
2020-06-19,17.94,22.32,14.48,86.17,3.31,0.77,16.21
2020-06-20,17.72,21.99,14.45,87.54,10.2,0.99,18.46
2020-06-21,16.41,18.25,15.03,93.77,34.65,1.39,13.26
2020-06-22,17.41,21.35,14.37,88.8,32.37,0.98,16.67
2020-06-23,17.59,21.29,14.72,88.88,34.53,0.69,18.45
2020-06-24,18.05,22.21,15.08,86.63,26.8,0.22,19.74
2020-06-25,18.11,21.84,15.11,85.93,34.25,0.83,21.99
2020-06-26,17.22,19.92,15.28,90.13,24.89,0.58,18.33
2020-06-27,17.72,22.09,14.7,87.96,23.88,0.76,20.19
2020-06-28,17.97,22.28,14.64,84.79,24.23,0.59,19.7
2020-06-29,18.1,22.24,14.58,83.19,3.8,0.83,21.59
2020-06-30,18.59,22.99,14.83,78.16,0.57,0.57,21.19
2020-07-01,17.54,21.77,13.73,86.07,1.27,0.74,17.05
2020-07-02,17.56,21.89,14.69,89.37,7.46,0.63,17.39
2020-07-03,17.81,22.14,14.43,87.89,6.52,1.0,19.18
2020-07-04,17.92,22.34,14.63,87.94,3.61,0.84,15.76
2020-07-05,17.5,21.71,14.36,88.54,3.32,0.92,18.76
2020-07-06,17.07,20.6,14.45,88.88,3.28,1.03,11.98
2020-07-07,17.03,20.89,13.69,87.54,13.97,1.04,13.55
2020-07-08,17.57,21.54,14.72,88.26,19.63,0.74,11.16
2020-07-09,18.38,22.88,14.36,80.87,6.66,1.19,21.65
2020-07-10,18.24,22.62,14.97,82.5,14.45,0.69,18.42
2020-07-11,17.23,21.0,14.13,87.55,21.68,0.66,14.64
2020-07-12,17.96,22.53,13.35,82.67,2.39,0.89,21.46
2020-07-13,17.93,22.38,15.1,86.91,34.12,0.64,15.54
2020-07-14,16.67,20.19,14.34,91.83,30.22,0.92,14.87
2020-07-15,17.31,21.21,14.24,88.53,7.67,0.55,18.51
2020-07-16,16.74,19.88,14.11,89.16,11.33,1.21,12.12
2020-07-17,15.61,18.95,12.86,88.56,17.05,1.05,12.12
2020-07-18,15.76,19.96,12.43,88.38,6.31,1.28,14.17
2020-07-19,16.21,21.06,12.48,86.74,5.49,1.22,19.18
2020-07-20,17.17,21.83,13.56,86.59,8.63,0.54,20.08
2020-07-21,16.38,19.48,14.47,92.38,16.25,1.64,13.04
2020-07-22,16.34,20.52,13.61,90.04,4.37,1.77,10.8
2020-07-23,16.21,20.12,13.2,88.64,1.25,1.61,16.2
2020-07-24,16.17,20.61,12.63,89.25,1.29,1.57,17.45
2020-07-25,16.34,20.78,13.05,88.3,1.24,1.34,18.3
2020-07-26,16.86,21.81,12.32,84.27,0.53,0.96,19.73
2020-07-27,16.64,21.32,12.24,84.07,1.98,1.0,18.91
2020-07-28,17.07,21.51,13.64,84.17,16.37,0.69,11.53
2020-07-29,16.93,20.54,14.05,87.34,8.49,0.6,15.16
2020-07-30,17.53,21.63,14.46,85.38,10.9,1.03,19.71
2020-07-31,18.56,23.33,13.7,77.25,1.95,0.8,23.64
2020-08-01,18.41,22.83,14.23,80.89,8.01,0.98,23.57
2020-08-02,17.39,21.29,14.33,85.68,20.04,1.05,22.24
2020-08-03,16.65,20.45,13.01,83.49,10.02,1.09,17.43
2020-08-04,17.05,21.76,11.86,80.72,8.58,0.87,15.22
2020-08-05,17.63,21.74,13.89,85.15,5.72,1.22,20.76
2020-08-06,17.85,22.18,14.47,85.03,4.04,0.79,21.94
2020-08-07,16.73,19.55,14.52,91.89,22.71,1.17,17.01
2020-08-08,16.05,19.04,14.13,90.6,4.8,1.3,20.31
2020-08-09,16.65,21.3,12.41,83.69,1.41,1.34,12.76
2020-08-10,17.04,21.51,13.17,85.52,4.03,1.39,21.5
2020-08-11,17.46,21.99,13.07,84.86,9.58,1.3,18.68
2020-08-12,17.45,21.82,14.34,89.33,17.27,1.42,18.79
2020-08-13,17.68,22.22,13.55,86.35,11.12,1.37,19.54
2020-08-14,17.54,21.33,14.57,90.57,8.05,1.69,16.25
2020-08-15,17.07,20.75,14.36,91.76,17.25,1.92,17.23
2020-08-16,17.46,20.29,14.89,88.26,8.96,0.79,17.39
2020-08-17,17.52,20.78,15.4,89.69,7.51,0.85,18.23
2020-08-18,17.83,22.33,15.46,87.69,14.87,0.9,18.82
2020-08-19,18.11,22.44,14.14,85.98,12.77,0.82,19.29
2020-08-20,18.0,22.21,15.01,88.5,16.85,0.7,20.58
2020-08-21,18.77,23.11,15.61,84.51,6.75,0.58,18.84
2020-08-22,18.23,22.92,14.43,86.09,35.79,1.1,22.46
2020-08-23,17.61,21.68,14.08,87.1,9.97,1.08,18.38
2020-08-24,18.02,22.22,15.19,87.71,27.1,0.52,18.23
2020-08-25,17.88,22.45,14.85,88.25,25.02,0.66,19.87
2020-08-26,18.29,22.86,14.78,84.93,23.67,0.64,22.87
2020-08-27,18.76,23.09,14.38,78.32,3.7,0.72,23.47
2020-08-28,18.03,22.16,13.72,82.69,9.43,1.03,20.89
2020-08-29,17.22,20.92,14.46,90.26,24.9,1.11,17.25
