date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-08-22,21.79,26.11,18.89,76.09,1.66,2.22,16.95
2019-08-23,21.61,26.4,18.28,77.18,5.27,1.61,14.3
2019-08-24,22.41,27.13,17.42,73.09,2.24,1.16,23.08
2019-08-25,22.48,27.08,19.48,72.63,2.96,1.35,17.72
2019-08-26,22.23,26.83,18.87,73.41,2.11,1.49,12.45
2019-08-27,22.65,26.85,18.95,72.38,4.24,1.15,19.89
2019-08-28,21.93,25.71,17.92,77.42,2.57,1.34,22.66
2019-08-29,22.47,27.75,16.83,74.86,2.55,1.05,20.02
2019-08-30,22.92,27.71,17.01,71.27,0.88,0.77,15.91
2019-08-31,22.2,27.2,18.38,78.83,17.9,1.84,11.53
2019-09-01,20.87,23.57,18.6,81.68,1.36,1.37,20.14
2019-09-02,22.48,28.22,17.2,73.53,1.34,0.97,22.21
2019-09-03,22.24,27.24,18.21,76.22,1.35,1.49,20.64
2019-09-04,21.36,25.04,18.76,80.34,1.58,1.44,17.97
2019-09-05,22.47,28.18,18.55,71.39,0.73,1.46,20.04
2019-09-06,22.24,27.13,18.54,73.31,0.39,1.22,19.12
2019-09-07,22.44,27.3,18.67,72.33,0.81,1.49,19.46
2019-09-08,21.99,26.65,18.23,76.37,4.19,1.43,14.47
2019-09-09,22.02,25.97,18.17,75.6,8.88,1.14,18.5
2019-09-10,21.02,24.94,17.74,81.86,2.14,0.98,16.42
2019-09-11,21.82,27.31,17.07,74.98,1.95,0.83,18.08
2019-09-12,21.28,25.63,17.42,80.36,2.12,1.1,12.13
2019-09-13,22.17,28.28,16.42,75.91,2.08,1.08,24.0
2019-09-14,23.17,28.33,19.43,73.83,3.85,1.12,9.09
2019-09-15,23.28,28.22,17.93,73.99,3.23,1.34,24.25
2019-09-16,23.39,28.17,19.41,70.79,1.81,1.33,22.2
2019-09-17,23.99,29.15,19.19,65.58,0.25,1.56,23.17
2019-09-18,23.72,29.29,18.33,66.59,1.65,1.03,22.72
2019-09-19,23.59,28.63,19.69,69.46,2.08,1.38,24.21
2019-09-20,23.39,27.91,19.6,71.39,17.78,1.14,17.66
2019-09-21,23.1,27.84,19.46,74.62,5.73,0.97,20.92
2019-09-22,23.64,28.56,18.06,70.03,2.1,0.77,20.04
2019-09-23,22.79,27.73,18.0,75.63,1.25,1.2,23.19
2019-09-24,23.44,29.26,17.94,71.81,1.25,1.06,23.6
2019-09-25,22.86,28.75,17.87,75.6,0.93,1.2,23.93
2019-09-26,22.07,26.95,18.72,78.46,7.4,1.62,19.1
2019-09-27,19.6,22.17,18.02,91.18,27.74,1.37,14.85
2019-09-28,21.82,26.9,16.95,79.74,4.19,1.44,25.63
2019-09-29,21.57,24.65,18.78,82.3,9.02,1.0,18.4
2019-09-30,20.53,25.16,17.76,85.01,7.83,1.29,17.49
2019-10-01,21.92,27.08,17.16,80.84,2.49,1.2,22.78
2019-10-02,21.61,25.82,17.36,82.57,7.76,0.93,18.88
2019-10-03,21.17,25.44,18.09,84.43,25.08,1.33,25.37
2019-10-04,22.35,27.36,18.32,76.25,2.05,2.03,18.99
2019-10-05,22.44,26.84,19.15,72.77,5.12,1.65,16.85
2019-10-06,20.24,22.49,18.22,82.43,6.69,1.15,14.79
2019-10-07,20.37,24.43,17.75,82.96,24.54,1.25,18.41
2019-10-08,21.44,26.14,17.54,79.99,8.6,0.76,17.4
2019-10-09,22.07,26.73,17.69,81.88,3.36,1.29,21.37
2019-10-10,21.39,25.48,18.45,83.98,23.33,1.1,18.93
2019-10-11,21.37,25.31,18.16,84.22,12.6,1.0,19.7
2019-10-12,20.15,23.47,18.08,90.03,45.99,1.71,8.74
2019-10-13,19.66,21.6,17.92,92.45,23.26,1.7,19.1
2019-10-14,19.82,22.77,17.96,88.74,25.9,1.22,14.58
2019-10-15,21.39,25.43,17.42,80.41,8.3,0.69,23.57
2019-10-16,20.67,24.97,17.6,83.37,18.79,1.15,13.47
2019-10-17,20.73,24.74,17.66,85.6,10.5,0.89,19.19
2019-10-18,20.72,25.46,17.12,85.47,2.1,1.45,18.44
2019-10-19,21.12,24.83,17.65,86.43,2.85,0.95,16.82
2019-10-20,21.99,26.82,18.56,82.07,1.08,1.05,18.36
2019-10-21,21.94,25.23,18.54,78.55,4.58,0.76,16.18
2019-10-22,21.32,24.6,17.29,80.74,1.52,0.7,17.44
2019-10-23,20.12,22.62,18.23,89.44,28.98,1.34,21.22
2019-10-24,20.22,23.63,17.57,87.29,17.81,1.19,20.39
2019-10-25,22.34,26.44,18.14,81.18,19.01,0.91,21.42
2019-10-26,20.79,23.8,18.36,90.31,16.51,1.43,15.01
2019-10-27,19.9,23.42,17.76,88.0,13.42,1.66,19.83
2019-10-28,19.99,23.37,17.44,85.8,7.23,0.93,16.4
2019-10-29,19.4,23.0,16.82,87.81,6.0,0.83,15.25
2019-10-30,21.36,26.97,16.18,80.77,16.44,1.0,19.03
2019-10-31,21.56,26.26,17.96,81.43,15.28,1.08,17.12
2019-11-01,21.66,26.36,18.36,81.67,6.17,1.03,22.22
2019-11-02,20.98,24.65,18.72,80.14,5.58,1.28,21.92
2019-11-03,21.25,25.26,17.69,79.41,4.27,1.18,20.38
2019-11-04,20.84,24.05,18.45,85.55,4.25,1.25,16.41
2019-11-05,21.29,25.62,17.93,75.68,2.0,1.35,18.25
2019-11-06,20.89,24.32,17.77,78.19,1.06,0.93,15.45
2019-11-07,20.63,24.66,17.21,81.79,1.66,1.22,17.1
2019-11-08,20.26,23.45,17.16,83.41,4.43,0.64,16.42
2019-11-09,21.3,25.16,18.4,82.42,3.93,0.69,22.21
2019-11-10,19.99,22.19,18.14,88.76,8.16,1.26,22.53
2019-11-11,19.33,21.78,17.08,91.01,7.84,1.37,15.01
2019-11-12,20.72,25.4,17.12,87.2,6.27,0.9,16.95
2019-11-13,21.32,25.49,18.05,87.36,1.81,1.01,18.77
2019-11-14,20.7,23.94,18.4,90.89,1.91,1.51,18.43
2019-11-15,22.46,26.9,18.14,81.23,5.36,1.02,20.86
2019-11-16,22.71,27.36,17.7,80.83,0.53,1.53,24.6
2019-11-17,22.85,26.92,18.8,80.94,13.27,1.45,22.11
2019-11-18,22.24,26.54,19.38,81.46,5.55,1.33,13.76
2019-11-19,20.83,24.49,18.64,88.53,5.58,1.24,16.82
2019-11-20,20.86,24.07,18.63,88.31,7.18,1.58,15.91
2019-11-21,22.44,27.04,18.21,78.87,2.18,0.73,21.72
2019-11-22,22.0,25.93,19.08,85.09,17.41,1.11,18.59
2019-11-23,20.51,24.27,18.82,90.8,7.05,2.97,12.25
2019-11-24,20.39,24.44,17.85,89.03,9.08,1.84,15.11
2019-11-25,20.16,22.14,18.03,89.78,16.69,0.88,16.05
2019-11-26,21.6,26.61,17.09,80.69,0.62,0.75,17.66
2019-11-27,21.27,24.44,17.55,80.38,1.02,1.5,22.05
2019-11-28,21.77,26.66,17.49,81.55,2.68,1.47,17.34
2019-11-29,22.23,25.8,19.39,77.77,0.81,0.89,15.57
2019-11-30,21.54,24.45,19.36,84.59,2.69,0.87,11.26
2019-12-01,21.67,25.93,18.47,87.12,4.53,0.79,13.67
2019-12-02,21.87,25.97,18.82,85.33,7.84,1.09,16.6
2019-12-03,20.56,23.02,18.68,92.72,7.71,1.86,11.28
2019-12-04,19.28,20.9,17.48,91.61,4.1,1.99,14.61
2019-12-05,20.1,24.93,16.07,86.42,4.15,1.73,15.05
2019-12-06,20.02,24.39,16.09,86.54,21.66,1.07,19.63
2019-12-07,20.8,25.02,17.8,89.2,9.87,1.65,14.32
2019-12-08,20.93,24.38,18.42,88.79,8.84,1.87,13.83
2019-12-09,21.38,25.24,17.62,83.63,3.03,1.28,14.22
2019-12-10,19.16,21.71,17.16,92.36,6.49,1.46,9.71
2019-12-11,20.47,25.28,16.86,80.6,11.38,1.06,19.41
2019-12-12,21.53,25.65,17.43,81.04,7.7,1.07,18.79
2019-12-13,21.49,25.3,18.43,81.3,2.43,1.07,20.8
2019-12-14,21.64,24.92,18.21,80.02,15.4,0.83,17.73
2019-12-15,22.13,26.16,17.48,79.13,27.11,1.06,18.17
2019-12-16,22.22,26.16,17.06,77.98,5.68,1.13,16.47
2019-12-17,22.24,25.65,17.76,78.56,0.27,1.33,19.67
2019-12-18,22.79,27.21,17.49,76.89,0.07,1.48,17.8
2019-12-19,22.01,26.99,17.25,73.68,0.03,1.86,25.48
2019-12-20,21.93,27.49,15.43,72.64,0.01,1.53,25.1
2019-12-21,21.61,26.7,16.23,80.88,0.15,1.85,22.9
2019-12-22,21.92,26.01,18.29,83.11,1.66,1.84,22.59
2019-12-23,20.88,23.35,17.98,85.68,4.67,1.12,14.18
2019-12-24,22.39,26.43,18.34,78.82,1.84,1.13,17.95
2019-12-25,22.16,25.94,17.46,80.82,9.53,1.43,16.01
2019-12-26,20.8,23.94,18.37,89.39,4.82,1.38,7.71
2019-12-27,20.87,25.75,17.82,83.07,0.83,1.48,19.76
2019-12-28,20.91,26.53,16.32,78.28,2.39,2.09,20.77
2019-12-29,20.67,26.36,16.4,80.62,3.11,2.04,22.16
2019-12-30,21.92,27.34,15.91,77.42,1.29,1.82,24.29
2019-12-31,22.53,27.35,16.9,75.48,0.57,1.46,24.27
2020-01-01,22.55,27.77,16.53,72.31,1.05,1.58,24.83
2020-01-02,23.35,28.1,17.69,69.7,0.2,1.37,24.34
2020-01-03,23.37,28.01,17.8,70.67,0.49,1.13,23.08
2020-01-04,23.34,27.46,20.26,73.94,0.26,1.34,21.42
2020-01-05,23.32,27.23,19.04,74.0,0.37,1.21,19.49
2020-01-06,22.48,26.54,17.8,76.27,0.55,1.96,17.68
2020-01-07,22.88,27.57,18.72,78.33,1.5,1.81,19.02
2020-01-08,22.77,27.19,18.38,78.88,3.13,1.62,17.88
2020-01-09,23.02,27.08,18.53,75.58,4.38,0.92,21.5
2020-01-10,21.8,26.76,17.71,79.06,1.45,1.96,23.21
2020-01-11,21.55,26.81,17.0,73.08,0.25,2.38,21.42
2020-01-12,21.54,26.28,16.73,67.97,0.36,1.59,17.4
2020-01-13,22.12,26.31,17.74,68.35,10.59,1.1,13.82
2020-01-14,22.64,27.63,16.94,72.52,0.67,1.42,24.95
2020-01-15,23.47,28.2,17.35,70.84,0.26,1.39,24.74
2020-01-16,23.21,27.94,17.82,75.6,1.83,1.52,21.37
