date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2018-11-22,19.24,23.23,16.43,77.95,10.69,1.26,15.81
2018-11-23,19.54,23.75,16.68,79.45,9.5,1.42,15.36
2018-11-24,17.94,20.21,16.16,86.47,2.49,1.69,5.86
2018-11-25,18.62,23.7,14.73,83.35,4.47,2.2,20.42
2018-11-26,18.36,23.06,14.97,84.66,4.34,2.12,18.84
2018-11-27,18.63,23.29,15.6,82.86,1.8,2.14,16.49
2018-11-28,18.17,21.4,15.83,82.44,4.61,1.76,19.38
2018-11-29,17.95,20.84,14.84,83.86,0.73,1.56,18.4
2018-11-30,17.6,21.37,14.75,83.91,2.61,2.26,17.93
2018-12-01,18.5,23.71,15.2,80.43,1.03,1.87,12.29
2018-12-02,18.51,22.91,15.65,79.97,3.16,1.46,21.11
2018-12-03,18.79,23.62,14.88,79.56,1.38,1.38,16.24
2018-12-04,18.95,24.15,15.15,79.97,4.25,0.85,16.17
2018-12-05,19.01,23.91,15.68,81.2,2.6,1.47,15.11
2018-12-06,18.37,23.85,15.15,80.93,0.58,1.61,19.37
2018-12-07,18.49,22.63,14.62,78.18,1.61,1.38,17.8
2018-12-08,17.47,21.22,14.63,87.71,32.52,1.18,10.68
2018-12-09,17.66,22.48,13.49,83.84,6.24,2.13,10.81
2018-12-10,17.72,21.53,15.12,84.12,7.49,1.79,10.97
2018-12-11,17.54,20.77,14.74,81.66,7.66,0.94,10.86
2018-12-12,18.36,22.34,15.25,79.73,7.56,0.71,15.01
2018-12-13,17.76,20.66,15.86,86.39,7.19,0.95,13.08
2018-12-14,18.68,23.41,14.68,81.68,2.26,1.49,21.86
2018-12-15,19.27,23.94,15.57,82.06,2.62,1.5,14.62
2018-12-16,19.36,23.83,14.77,79.75,3.28,1.14,21.21
2018-12-17,18.22,20.69,16.6,85.69,16.0,1.12,19.85
2018-12-18,19.25,23.19,15.71,80.36,4.02,1.11,19.15
2018-12-19,19.25,23.67,15.99,82.66,13.41,1.38,15.01
2018-12-20,17.65,20.41,15.54,86.13,4.62,0.98,14.71
2018-12-21,18.71,22.46,15.65,81.54,6.45,1.02,15.06
2018-12-22,18.74,22.34,16.21,83.09,3.67,0.8,14.01
2018-12-23,19.3,23.88,15.69,81.82,2.76,1.03,13.84
2018-12-24,19.14,23.44,15.9,83.07,4.81,1.51,12.0
2018-12-25,18.91,23.83,15.01,79.78,1.93,1.74,17.63
2018-12-26,18.93,24.81,13.89,76.4,0.09,2.01,23.43
2018-12-27,19.16,24.77,13.96,77.27,1.14,1.69,23.0
2018-12-28,19.2,24.49,15.14,76.96,1.38,1.66,15.94
2018-12-29,19.02,24.42,14.0,77.11,1.18,1.89,19.95
2018-12-30,18.18,23.17,14.39,85.4,3.42,1.71,18.89
2018-12-31,18.52,23.47,15.09,79.36,1.72,1.71,14.96
2019-01-01,18.13,21.9,15.3,82.78,5.42,1.46,19.36
2019-01-02,19.91,25.9,14.44,75.19,0.44,1.78,25.25
2019-01-03,19.93,25.48,15.14,76.97,0.78,1.98,19.98
2019-01-04,19.82,24.99,15.12,79.13,1.35,1.68,19.22
2019-01-05,19.26,22.81,16.77,84.27,4.3,1.71,19.93
2019-01-06,19.16,23.72,15.36,79.73,0.9,1.55,19.7
2019-01-07,19.45,23.64,14.95,69.43,0.96,1.41,14.79
2019-01-08,19.26,24.3,15.2,72.49,1.82,1.73,18.97
2019-01-09,19.24,25.05,14.25,72.7,0.47,1.59,22.92
2019-01-10,19.67,25.32,14.69,67.5,0.15,1.37,19.5
2019-01-11,20.28,25.75,15.52,71.16,0.69,1.65,18.17
2019-01-12,19.54,24.03,16.32,74.67,0.37,1.4,16.87
2019-01-13,20.25,25.72,15.42,72.13,0.14,1.34,22.64
2019-01-14,20.2,25.2,16.14,72.63,0.34,1.04,19.73
