date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-11-01,21.69,28.8,15.07,67.22,3.27,1.82,21.95
2019-11-02,22.52,29.42,16.45,65.54,1.75,1.88,25.21
2019-11-03,21.85,28.21,16.14,67.08,2.56,2.05,23.06
2019-11-04,21.56,27.23,16.97,70.57,4.16,2.61,22.85
2019-11-05,22.36,28.78,16.69,68.07,2.5,2.0,22.7
2019-11-06,22.48,28.96,16.87,66.56,2.01,1.64,23.44
2019-11-07,22.22,28.21,17.53,69.58,3.23,1.97,20.38
2019-11-08,22.54,29.47,17.15,65.15,1.02,2.22,18.02
2019-11-09,22.61,30.17,16.41,63.37,1.24,2.65,20.15
2019-11-10,22.66,30.27,16.32,66.48,2.31,2.65,22.31
2019-11-11,22.13,28.74,18.33,74.46,18.98,2.91,18.24
2019-11-12,21.3,27.02,17.87,77.36,5.76,2.92,13.29
2019-11-13,21.69,27.75,17.33,73.86,0.98,3.04,20.39
2019-11-14,21.25,27.27,16.83,72.58,0.65,3.43,19.22
2019-11-15,21.89,28.83,16.46,68.53,0.4,2.65,23.89
2019-11-16,21.97,28.61,17.1,69.95,0.66,3.11,23.76
2019-11-17,20.92,26.52,16.27,73.32,2.32,3.04,21.73
2019-11-18,21.47,28.04,16.63,71.59,2.47,3.02,20.34
2019-11-19,21.21,28.47,16.25,68.87,3.66,3.55,22.78
2019-11-20,21.63,29.18,15.74,67.3,1.26,2.54,21.93
2019-11-21,22.29,29.93,16.67,65.86,2.73,2.05,21.96
2019-11-22,21.74,27.96,17.38,72.67,11.14,2.08,20.14
2019-11-23,20.47,26.43,16.64,76.49,9.31,2.91,9.7
2019-11-24,20.55,26.31,16.14,76.42,5.22,2.31,13.61
2019-11-25,20.09,25.41,16.29,75.36,8.12,2.12,13.26
2019-11-26,20.11,25.77,16.43,76.56,4.91,1.78,15.92
2019-11-27,20.1,26.06,16.53,76.0,3.44,2.16,21.82
2019-11-28,21.18,28.03,16.17,68.8,1.18,2.48,24.05
2019-11-29,21.31,27.49,16.2,70.34,4.55,1.87,21.62
2019-11-30,21.29,27.0,17.3,75.38,12.31,1.97,16.97
2019-12-01,21.01,26.7,17.08,76.87,13.5,2.5,16.65
2019-12-02,20.55,25.62,16.8,77.46,12.8,2.41,19.25
2019-12-03,21.48,27.27,17.35,76.35,24.81,2.28,14.79
2019-12-04,21.35,26.14,17.44,77.82,12.56,1.72,17.72
2019-12-05,20.99,25.98,17.64,80.29,16.23,1.82,15.14
2019-12-06,20.93,25.42,17.59,80.59,7.84,2.53,19.99
2019-12-07,20.77,26.0,16.92,79.65,7.66,2.18,18.82
2019-12-08,20.8,25.95,15.82,75.34,1.2,2.0,18.2
2019-12-09,20.92,26.7,16.1,78.16,9.51,2.11,18.55
2019-12-10,20.67,26.15,16.75,80.28,15.73,2.81,13.92
2019-12-11,20.22,25.86,16.05,77.42,0.64,2.91,21.31
2019-12-12,20.45,26.46,15.97,75.49,1.02,2.46,22.22
2019-12-13,20.18,26.45,14.85,76.04,1.33,2.31,19.01
2019-12-14,20.04,24.9,16.62,78.27,3.19,2.57,19.08
2019-12-15,19.95,25.87,15.1,75.81,5.16,2.36,19.43
2019-12-16,20.49,26.72,15.42,74.28,1.35,2.16,24.33
2019-12-17,21.13,27.42,16.03,72.15,0.17,2.26,22.93
2019-12-18,20.56,27.07,15.79,71.93,0.12,2.89,23.41
2019-12-19,19.38,27.06,13.18,65.72,0.01,2.97,26.6
2019-12-20,20.49,28.21,13.03,68.43,0.07,1.92,23.29
2019-12-21,20.87,25.87,17.04,75.04,0.76,2.48,19.64
2019-12-22,20.82,26.4,17.02,74.91,2.64,2.43,19.22
2019-12-23,20.85,26.58,16.14,75.73,4.03,1.89,20.4
2019-12-24,21.36,27.67,16.81,74.45,7.36,2.11,20.78
2019-12-25,21.14,27.08,17.12,76.26,10.06,2.02,21.48
2019-12-26,21.16,26.34,17.32,75.57,2.97,1.74,16.54
2019-12-27,22.0,28.44,16.41,69.48,0.27,1.78,21.78
2019-12-28,21.73,27.25,17.12,72.51,1.42,1.76,19.01
2019-12-29,20.64,25.69,16.3,75.07,1.78,2.31,20.26
2019-12-30,20.58,28.1,14.63,70.58,0.19,2.89,23.41
2019-12-31,20.43,27.38,15.49,72.71,1.9,2.68,22.86
2020-01-01,20.57,28.46,13.9,67.33,0.09,2.74,25.8
2020-01-02,20.4,27.42,14.84,74.07,1.66,3.17,21.23
2020-01-03,20.72,27.66,15.83,73.31,1.09,3.3,20.46
2020-01-04,20.07,27.02,15.35,70.94,0.02,3.47,22.81
2020-01-05,20.55,27.19,14.26,66.93,1.44,2.57,22.01
2020-01-06,21.44,28.34,15.77,64.33,1.86,2.37,21.37
2020-01-07,20.64,26.26,15.59,73.04,0.96,3.37,21.85
2020-01-08,20.74,27.64,16.38,72.46,1.24,3.68,18.72
2020-01-09,20.81,27.42,15.37,71.85,1.0,2.61,23.64
2020-01-10,21.57,29.3,15.2,63.61,0.07,2.31,24.76
2020-01-11,21.88,29.4,14.89,60.93,0.08,2.33,23.78
2020-01-12,21.44,27.95,15.13,64.54,0.53,1.58,20.58
2020-01-13,20.75,27.04,16.36,72.11,11.33,1.98,14.93
2020-01-14,20.86,26.64,15.86,73.04,4.27,2.04,21.72
2020-01-15,21.43,28.77,15.5,69.57,0.96,2.77,23.78
2020-01-16,21.76,28.37,16.18,68.06,1.69,2.25,22.1
2020-01-17,21.22,26.44,16.88,67.58,0.99,2.02,24.56
2020-01-18,22.18,29.52,16.17,58.39,0.02,2.07,25.17
2020-01-19,22.3,29.94,15.41,54.53,0.01,2.1,26.12
2020-01-20,22.23,29.97,15.48,55.6,0.01,2.09,24.79
2020-01-21,22.63,30.27,14.9,54.97,0.0,2.01,24.88
2020-01-22,22.57,29.54,15.75,56.06,0.02,1.88,23.5
2020-01-23,21.35,26.29,16.8,62.49,0.21,1.98,19.79
2020-01-24,22.4,28.58,17.6,64.14,0.34,2.16,14.68
2020-01-25,21.38,26.56,17.52,74.53,2.11,2.55,17.32
2020-01-26,20.02,23.33,17.72,81.33,6.35,1.88,13.31
2020-01-27,21.34,28.07,16.41,72.37,7.53,3.08,15.63
2020-01-28,21.08,27.93,16.16,73.92,8.83,3.28,16.1
2020-01-29,20.56,25.98,16.76,76.57,11.33,2.38,17.12
2020-01-30,21.43,27.47,16.6,73.39,7.44,2.42,18.3
2020-01-31,21.19,25.94,16.97,74.93,11.71,1.23,20.62
2020-02-01,19.61,23.26,17.55,81.36,22.67,1.47,20.73
2020-02-02,20.38,25.8,16.38,78.35,5.31,1.65,20.73
2020-02-03,21.68,28.58,17.23,71.42,1.38,2.28,24.32
2020-02-04,20.38,26.4,15.99,74.17,0.46,2.52,23.7
2020-02-05,21.14,28.56,15.63,70.73,2.74,2.64,23.9
2020-02-06,19.96,26.06,15.38,71.62,1.25,2.77,26.11
2020-02-07,20.79,29.59,13.7,63.24,0.03,3.15,27.53
2020-02-08,20.83,29.31,14.07,63.04,0.03,3.34,27.21
2020-02-09,20.62,28.89,13.94,67.54,0.28,3.14,28.11
2020-02-10,21.29,30.38,13.4,57.39,0.05,2.94,27.98
2020-02-11,22.67,30.77,13.81,50.55,0.0,1.41,28.38
2020-02-12,23.57,30.63,16.28,55.37,0.09,1.77,23.85
2020-02-13,22.48,29.19,17.98,67.65,3.81,3.63,21.35
2020-02-14,21.67,28.81,16.33,67.59,1.06,4.07,22.63
2020-02-15,21.05,27.94,16.13,72.17,4.37,3.8,20.0
2020-02-16,21.45,28.79,14.91,69.96,1.34,3.4,18.06
2020-02-17,22.4,30.29,15.74,66.69,0.31,3.04,25.95
2020-02-18,22.55,30.79,15.85,65.86,0.31,3.15,25.36
2020-02-19,22.63,30.57,16.26,65.63,0.42,3.22,23.96
2020-02-20,23.51,32.02,16.76,60.25,0.15,3.12,25.62
2020-02-21,23.18,31.5,15.9,58.51,0.02,3.48,25.54
2020-02-22,22.09,29.6,16.36,67.89,0.61,3.46,23.26
2020-02-23,22.2,29.4,16.57,67.36,0.46,3.7,21.71
2020-02-24,22.52,30.7,15.02,60.58,0.08,3.3,26.84
2020-02-25,23.35,30.9,15.9,60.31,0.79,2.02,20.05
2020-02-26,22.66,29.56,16.92,65.28,1.53,2.74,19.1
2020-02-27,23.11,30.88,18.62,65.87,1.54,2.95,19.87
2020-02-28,23.3,31.49,16.2,58.46,0.14,3.05,25.41
2020-02-29,23.88,31.86,15.53,56.91,0.54,2.23,26.79
2020-03-01,24.56,31.68,17.92,58.53,2.24,2.09,25.54
2020-03-02,22.15,25.82,18.11,68.33,2.08,1.83,17.5
2020-03-03,23.24,30.47,17.16,66.14,1.07,2.49,19.28
2020-03-04,23.44,30.87,17.77,62.81,2.3,2.73,20.51
2020-03-05,23.81,31.9,17.14,57.35,0.63,2.15,22.53
2020-03-06,23.85,31.77,16.93,58.65,2.14,2.07,26.08
2020-03-07,23.72,31.29,16.77,61.22,1.64,2.45,25.48
2020-03-08,23.36,31.21,17.57,69.19,6.63,2.93,22.15
2020-03-09,22.82,28.27,19.3,72.04,8.36,1.8,19.71
2020-03-10,23.38,31.52,17.32,63.35,0.09,2.56,21.07
2020-03-11,24.05,32.5,16.77,62.42,0.39,2.85,23.78
2020-03-12,23.63,30.95,18.24,62.9,1.69,3.78,22.12
2020-03-13,23.58,30.73,18.42,65.11,2.97,3.36,25.15
2020-03-14,23.4,30.52,18.12,65.42,1.66,2.58,24.27
2020-03-15,24.01,32.55,16.12,58.85,0.11,2.66,25.95
2020-03-16,24.62,32.89,17.66,59.42,0.93,2.83,25.41
2020-03-17,22.84,29.76,17.2,67.07,3.75,3.19,22.87
2020-03-18,22.71,30.69,16.36,64.7,3.24,2.87,22.44
2020-03-19,22.4,29.8,16.16,65.93,2.65,3.09,20.1
2020-03-20,22.32,29.81,16.95,68.56,3.86,3.13,23.1
2020-03-21,23.13,32.06,15.92,59.4,0.11,3.62,26.47
2020-03-22,23.23,32.12,15.4,56.61,1.86,3.23,26.57
2020-03-23,23.24,30.22,17.03,59.55,1.65,2.84,23.4
2020-03-24,23.47,31.89,16.39,61.76,12.22,2.58,25.11
2020-03-25,22.91,29.73,17.6,69.09,10.67,1.88,21.46
2020-03-26,21.42,26.55,18.54,76.89,35.75,1.7,19.54
2020-03-27,20.33,24.02,18.0,81.34,21.16,1.86,17.46
2020-03-28,21.51,27.34,17.72,72.07,3.74,1.81,13.78
2020-03-29,21.01,26.58,17.12,72.14,4.31,2.06,20.1
2020-03-30,21.96,29.86,15.9,67.58,0.59,2.6,25.5
2020-03-31,22.38,30.0,16.64,69.03,1.06,3.13,24.23
2020-04-01,22.2,30.83,16.31,70.27,1.89,3.27,23.14
2020-04-02,22.35,29.82,16.36,69.22,0.24,3.21,26.54
2020-04-03,23.0,30.99,17.13,66.84,0.24,3.45,25.88
2020-04-04,23.17,31.28,17.6,62.21,0.59,2.95,24.45
2020-04-05,22.73,30.3,16.63,64.84,0.31,3.33,23.9
2020-04-06,22.58,29.7,17.17,68.78,4.82,3.02,23.44
2020-04-07,22.41,28.82,17.87,69.83,1.28,3.22,24.79
2020-04-08,22.89,30.93,16.21,64.88,0.21,3.18,26.62
2020-04-09,23.08,30.83,16.07,63.22,0.46,3.02,21.73
2020-04-10,24.11,32.2,16.67,58.29,0.31,2.38,23.87
2020-04-11,24.28,32.08,17.46,59.33,0.32,2.13,25.05
2020-04-12,23.89,31.72,17.6,63.17,4.56,2.14,23.8
2020-04-13,21.96,27.58,19.05,75.56,5.7,2.57,17.74
2020-04-14,23.25,29.58,18.34,68.74,5.88,1.85,20.16
2020-04-15,22.37,28.9,18.47,74.16,12.61,2.07,21.38
2020-04-16,22.26,28.23,18.34,71.31,16.0,1.71,23.48
2020-04-17,21.99,27.03,17.73,73.36,7.37,1.71,20.55
2020-04-18,21.36,26.86,17.88,80.71,43.95,1.82,15.67
2020-04-19,20.2,24.25,17.81,83.71,32.63,1.62,18.21
2020-04-20,19.13,22.1,17.01,85.74,7.64,1.44,14.6
2020-04-21,20.13,25.12,15.93,80.08,12.51,1.69,14.94
2020-04-22,20.0,24.37,16.8,82.08,8.87,1.7,14.33
2020-04-23,20.32,24.61,16.63,80.37,4.86,1.2,13.09
2020-04-24,19.03,21.22,17.24,91.67,22.28,1.48,15.34
2020-04-25,19.87,24.46,16.56,82.02,5.86,1.4,18.53
2020-04-26,20.74,26.19,15.81,77.14,7.3,1.85,19.9
2020-04-27,21.4,27.09,17.09,75.93,9.54,2.14,23.13
2020-04-28,20.42,26.8,14.91,76.44,6.44,2.33,21.9
2020-04-29,20.79,26.02,15.94,77.62,6.79,1.63,21.51
2020-04-30,20.83,25.41,17.4,79.96,31.38,1.42,20.78
2020-05-01,21.46,26.49,17.69,79.04,8.65,1.31,22.03
2020-05-02,20.73,25.49,17.53,78.77,8.8,1.58,20.47
2020-05-03,20.69,26.66,15.51,76.59,4.06,1.44,21.18
2020-05-04,20.16,23.99,17.11,82.15,25.65,1.53,19.28
2020-05-05,21.23,26.04,17.76,82.65,23.38,1.17,20.55
2020-05-06,21.64,27.11,17.75,79.26,6.79,1.68,23.8
2020-05-07,20.76,25.58,16.81,77.87,3.53,1.94,21.38
2020-05-08,21.07,27.01,15.94,75.45,0.91,2.09,22.31
2020-05-09,20.92,26.24,16.19,78.08,5.81,1.85,21.93
2020-05-10,20.72,26.18,16.22,79.86,3.99,2.09,21.78
2020-05-11,21.07,26.74,16.66,77.25,3.52,2.39,23.11
2020-05-12,21.07,27.11,15.56,74.99,3.97,1.91,23.38
2020-05-13,20.9,26.13,16.64,78.6,1.91,1.94,25.11
2020-05-14,20.94,27.55,15.1,73.0,0.14,1.95,25.74
2020-05-15,21.54,27.61,15.56,72.74,5.71,1.72,22.95
2020-05-16,20.91,25.63,17.12,80.23,22.41,1.66,18.14
2020-05-17,20.8,26.36,16.54,77.2,4.73,1.64,18.92
2020-05-18,20.62,26.88,14.47,70.82,0.04,1.35,24.66
2020-05-19,20.72,26.71,14.5,72.16,0.09,1.49,24.19
2020-05-20,21.2,26.86,15.74,77.62,0.88,1.2,22.42
2020-05-21,21.76,26.73,17.75,75.97,0.98,1.32,22.69
2020-05-22,20.61,25.79,17.18,79.95,5.45,1.83,19.66
2020-05-23,19.58,23.48,16.59,81.92,4.62,1.32,22.31
2020-05-24,20.82,25.69,16.04,76.09,1.46,1.49,24.23
2020-05-25,21.26,27.57,15.88,73.38,0.16,1.99,24.78
2020-05-26,21.66,28.02,15.46,71.53,0.52,1.82,24.24
2020-05-27,21.59,27.67,15.61,73.08,0.9,1.79,24.39
2020-05-28,21.38,27.55,15.0,72.38,1.03,1.63,24.43
2020-05-29,21.6,27.52,16.18,74.5,5.56,1.66,21.81
2020-05-30,21.03,27.2,15.15,72.74,1.87,1.63,24.17
2020-05-31,20.68,27.65,13.86,69.12,0.05,2.3,23.8
2020-06-01,21.33,27.48,14.75,70.89,0.5,1.79,23.29
2020-06-02,21.54,27.59,15.9,71.18,0.21,2.14,22.48
2020-06-03,21.24,27.27,14.59,69.67,0.77,1.79,21.83
2020-06-04,20.95,26.2,17.07,75.32,0.38,1.63,21.21
2020-06-05,20.63,26.17,15.73,71.87,0.24,0.9,22.91
2020-06-06,20.76,25.1,17.28,74.94,6.9,1.22,20.35
2020-06-07,19.74,23.02,17.51,83.94,19.32,1.01,14.19
2020-06-08,19.42,22.86,17.08,85.39,22.68,0.76,10.9
2020-06-09,19.32,23.58,16.39,80.77,3.49,1.48,19.43
2020-06-10,19.47,24.6,14.0,76.23,1.05,1.64,19.13
2020-06-11,20.46,24.65,16.57,74.63,1.03,1.07,22.24
2020-06-12,20.09,24.63,16.57,80.84,11.21,1.44,19.99
2020-06-13,19.38,22.45,16.57,81.23,11.46,1.31,17.94
2020-06-14,19.83,24.44,16.26,80.65,12.69,1.31,18.95
2020-06-15,18.95,22.31,16.44,83.1,13.72,1.3,16.64
2020-06-16,18.93,22.97,15.26,83.47,6.55,1.16,19.87
2020-06-17,19.23,23.29,16.24,83.37,7.09,1.26,18.04
2020-06-18,20.01,24.56,15.79,76.03,2.07,0.99,18.67
2020-06-19,20.35,24.5,15.9,73.47,0.73,0.97,18.57
2020-06-20,20.57,24.72,17.14,75.72,5.33,0.98,19.54
2020-06-21,19.49,23.47,17.24,86.37,18.11,2.04,17.06
2020-06-22,19.52,23.98,16.15,83.51,4.4,1.74,19.24
2020-06-23,19.86,24.15,16.11,81.02,8.43,1.2,19.41
2020-06-24,20.86,25.55,16.54,72.84,3.71,1.16,21.7
2020-06-25,20.43,25.42,15.96,77.09,4.58,0.96,23.54
2020-06-26,18.55,21.22,15.99,80.24,17.74,1.41,21.3
2020-06-27,19.86,25.0,14.96,76.59,4.12,1.18,20.69
2020-06-28,19.84,25.9,13.52,72.29,0.41,1.5,22.11
2020-06-29,20.05,26.14,14.49,71.34,0.24,1.91,24.08
2020-06-30,19.86,26.5,12.5,65.68,0.0,1.75,24.09
2020-07-01,19.91,25.19,14.87,74.7,0.38,1.63,19.67
2020-07-02,19.83,24.49,16.09,81.54,1.58,1.29,17.66
2020-07-03,20.02,24.58,16.39,78.9,1.36,1.15,18.17
2020-07-04,19.66,24.17,15.62,79.17,0.66,1.38,17.56
2020-07-05,19.93,24.89,15.1,75.26,1.33,1.44,19.4
2020-07-06,20.32,24.95,15.88,73.87,1.64,0.83,17.28
2020-07-07,19.57,24.0,16.12,80.54,4.08,1.12,13.08
2020-07-08,19.94,24.77,15.33,76.27,2.28,1.19,15.63
2020-07-09,20.19,26.28,14.55,71.56,0.61,1.95,22.33
2020-07-10,20.19,26.3,14.84,71.3,0.79,1.81,20.9
2020-07-11,19.81,26.12,13.69,69.57,0.64,1.51,22.66
2020-07-12,20.7,26.18,15.08,72.46,1.5,1.0,21.9
2020-07-13,20.26,24.69,16.65,76.34,5.11,1.1,15.69
2020-07-14,19.36,23.78,16.32,80.9,6.64,1.36,16.9
2020-07-15,19.98,25.33,13.8,73.13,1.89,1.25,19.32
2020-07-16,19.47,24.03,16.15,75.91,1.57,2.11,18.0
2020-07-17,18.57,22.96,13.83,78.7,9.27,1.55,15.18
2020-07-18,17.77,21.06,15.85,84.87,6.19,1.0,11.07
2020-07-19,18.82,24.0,13.75,76.25,4.53,1.26,18.02
2020-07-20,18.95,23.35,15.62,80.77,5.14,1.11,17.45
2020-07-21,18.76,22.61,15.04,82.55,10.04,1.45,15.81
2020-07-22,19.04,23.99,15.58,82.88,9.55,1.29,13.51
2020-07-23,19.26,24.13,15.76,82.56,7.26,1.25,18.18
2020-07-24,19.41,24.24,15.67,83.56,8.76,1.48,15.29
2020-07-25,19.65,23.91,16.25,82.78,3.8,0.95,17.06
2020-07-26,18.97,23.42,15.3,81.66,2.01,1.47,17.01
2020-07-27,18.24,21.61,15.91,85.13,3.27,1.02,15.11
2020-07-28,18.76,22.93,16.03,82.55,6.51,0.99,14.2
2020-07-29,19.27,23.95,15.23,78.55,2.52,1.17,17.78
2020-07-30,20.03,25.71,14.46,73.33,0.71,1.66,21.75
2020-07-31,20.78,27.0,14.23,69.65,0.3,1.24,24.09
2020-08-01,20.72,26.45,15.57,72.96,3.47,1.08,23.65
2020-08-02,19.26,25.18,14.24,72.56,5.28,1.62,23.99
2020-08-03,18.85,24.95,12.64,69.86,0.64,2.11,23.38
2020-08-04,19.22,25.14,13.41,72.23,1.38,1.61,18.44
2020-08-05,20.14,25.65,14.77,73.94,1.18,0.75,18.88
2020-08-06,20.11,24.97,15.49,77.95,3.05,1.1,21.99
