date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2016-05-05,26.11,29.77,23.66,84.32,24.87,4.87,13.01
2016-05-06,24.47,28.62,21.61,79.93,2.27,4.56,21.45
2016-05-07,24.8,29.17,21.49,74.89,1.51,4.32,23.01
2016-05-08,24.34,27.35,22.56,80.35,1.59,4.29,20.21
2016-05-09,23.9,28.37,20.29,79.44,13.55,4.54,15.8
2016-05-10,23.14,26.23,21.57,88.91,87.95,4.02,9.34
2016-05-11,24.51,28.21,22.55,87.4,6.38,4.34,14.2
2016-05-12,24.99,29.06,22.64,83.39,1.01,4.14,16.25
2016-05-13,24.97,28.68,22.61,78.17,0.09,4.22,20.61
2016-05-14,24.45,28.65,21.49,77.68,0.05,3.74,23.26
2016-05-15,24.38,29.29,20.66,77.46,0.09,3.53,22.48
2016-05-16,25.08,30.2,20.8,78.96,0.19,3.34,22.69
2016-05-17,25.71,29.82,23.26,81.77,0.57,4.06,21.65
2016-05-18,25.61,29.08,23.17,78.21,0.25,4.54,20.65
2016-05-19,24.9,28.66,22.38,75.39,0.17,4.75,22.26
2016-05-20,24.62,28.88,20.93,72.0,0.05,4.49,22.51
2016-05-21,24.72,28.65,21.84,78.55,1.72,4.68,14.14
2016-05-22,24.22,28.09,21.98,82.76,4.99,4.95,13.13
2016-05-23,24.27,28.19,22.07,76.79,1.67,4.89,16.88
2016-05-24,24.28,28.99,21.23,72.03,1.23,4.28,21.4
2016-05-25,24.3,29.02,21.25,75.91,0.41,4.25,20.9
2016-05-26,24.6,28.88,21.87,72.65,0.02,4.42,20.43
2016-05-27,24.74,29.57,21.67,70.56,0.01,3.86,22.04
2016-05-28,24.92,30.12,20.93,69.47,0.0,3.62,21.68
2016-05-29,25.38,30.32,22.16,70.01,0.0,4.18,21.14
2016-05-30,25.46,30.43,22.44,70.58,0.01,3.96,18.7
2016-05-31,25.73,30.77,22.64,71.57,0.03,3.68,18.73
2016-06-01,25.65,30.8,21.96,72.19,0.01,3.83,20.34
2016-06-02,25.64,30.37,22.65,72.73,0.02,4.28,19.24
2016-06-03,25.75,30.81,22.41,70.9,0.03,4.01,18.54
2016-06-04,26.0,31.09,22.56,72.13,0.03,3.92,20.5
2016-06-05,25.94,30.89,22.52,75.14,0.87,4.03,18.68
2016-06-06,26.06,30.7,22.98,72.97,0.65,4.77,19.32
2016-06-07,25.77,30.11,23.13,70.68,0.43,5.07,20.07
2016-06-08,25.15,29.5,22.1,68.74,0.16,5.39,20.03
2016-06-09,24.49,29.55,20.39,69.59,0.59,4.86,18.54
2016-06-10,24.48,28.86,21.78,75.15,0.73,4.64,15.85
2016-06-11,24.67,29.36,21.71,73.54,0.81,4.17,14.48
2016-06-12,24.95,28.98,22.0,70.26,0.26,4.94,17.65
2016-06-13,24.65,29.37,20.63,64.99,0.12,4.7,21.0
2016-06-14,24.42,29.92,19.75,63.58,0.05,4.98,20.37
