date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-09-26,17.13,22.61,12.83,78.1,7.58,2.79,20.89
2019-09-27,17.79,24.0,13.41,76.05,1.3,3.25,17.79
2019-09-28,18.74,25.48,12.25,70.17,1.23,1.99,23.65
2019-09-29,18.93,25.97,11.36,64.5,0.54,2.25,23.6
2019-09-30,19.17,27.61,11.47,60.13,0.09,2.95,25.79
2019-10-01,19.49,27.75,12.35,63.45,0.19,3.02,23.09
2019-10-02,19.09,26.99,12.87,68.8,1.81,3.15,21.04
2019-10-03,18.7,27.0,12.59,67.44,0.62,4.96,25.35
2019-10-04,17.96,25.92,12.0,64.09,0.37,4.44,23.98
2019-10-05,18.0,25.76,12.11,70.66,3.0,4.09,19.56
2019-10-06,18.07,25.57,12.88,70.47,1.7,4.33,20.89
2019-10-07,17.85,25.84,11.5,61.03,0.18,4.17,23.69
2019-10-08,18.66,27.18,11.57,61.47,0.11,3.74,22.69
2019-10-09,19.13,26.47,13.93,69.24,2.15,3.69,20.43
2019-10-10,18.68,25.53,13.98,72.45,2.4,4.46,17.49
2019-10-11,18.32,25.99,12.75,71.7,1.02,4.91,21.93
2019-10-12,18.22,25.17,13.21,72.74,2.12,4.43,19.25
2019-10-13,18.68,25.81,13.03,72.77,6.25,4.07,21.91
2019-10-14,19.11,26.08,13.99,73.2,2.07,3.63,18.58
2019-10-15,18.84,26.47,13.54,65.26,0.74,3.47,22.85
2019-10-16,18.5,26.66,11.75,64.3,0.25,3.41,20.33
2019-10-17,18.89,26.07,14.07,75.82,10.03,3.16,18.35
2019-10-18,17.97,23.86,14.78,80.65,36.7,2.39,15.0
2019-10-19,17.48,22.48,14.37,83.92,32.81,2.38,17.29
2019-10-20,18.01,23.27,14.15,78.46,1.56,2.68,19.45
2019-10-21,17.69,24.39,11.46,78.25,1.56,2.55,23.22
2019-10-22,18.47,25.09,13.4,75.37,0.49,2.67,20.74
2019-10-23,17.96,24.15,12.81,75.39,0.97,3.29,18.65
2019-10-24,17.95,24.12,13.51,72.65,0.64,4.58,21.09
2019-10-25,17.72,24.76,12.35,71.6,0.77,3.93,20.99
2019-10-26,17.65,24.26,12.85,76.73,9.39,4.03,21.33
2019-10-27,17.96,24.62,12.93,74.1,1.18,3.49,20.87
2019-10-28,18.56,25.25,13.04,74.17,0.94,2.39,21.9
2019-10-29,17.58,22.49,13.94,82.33,6.58,1.66,18.11
2019-10-30,17.7,24.97,12.9,78.17,3.67,2.63,16.01
2019-10-31,17.85,24.31,12.66,76.39,1.46,2.58,19.5
2019-11-01,17.13,23.98,10.81,77.59,2.45,2.35,19.51
2019-11-02,17.83,24.81,12.4,73.37,0.61,2.65,23.04
2019-11-03,17.76,24.72,11.94,73.73,1.0,2.5,22.23
2019-11-04,18.31,25.36,12.7,69.66,0.51,3.24,21.41
2019-11-05,18.17,25.47,12.11,69.29,0.48,2.76,23.57
2019-11-06,17.78,24.15,12.1,74.25,0.97,2.45,20.5
2019-11-07,18.61,25.21,13.56,74.23,1.43,2.89,20.66
