date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-10-07,15.45,22.61,10.38,72.84,2.15,3.05,23.05
2019-10-08,16.62,23.37,11.33,75.87,11.22,3.11,23.27
2019-10-09,16.59,22.52,12.4,82.36,21.31,3.41,20.53
2019-10-10,15.72,20.88,13.03,86.46,25.81,3.89,18.8
2019-10-11,15.96,21.3,12.4,85.49,21.26,3.81,20.84
2019-10-12,16.11,21.24,12.49,85.05,28.21,3.58,18.68
2019-10-13,16.3,21.7,12.4,85.53,12.22,3.29,20.5
2019-10-14,16.79,22.28,12.9,84.28,4.85,3.23,17.9
2019-10-15,15.99,21.7,10.75,80.16,1.51,2.48,20.63
2019-10-16,16.2,22.32,10.25,80.09,0.76,2.55,20.09
2019-10-17,17.03,22.5,13.2,84.31,12.28,3.36,16.92
2019-10-18,16.59,22.0,12.53,85.3,22.28,2.79,15.8
2019-10-19,16.32,21.72,12.93,86.24,13.26,2.8,16.76
2019-10-20,16.34,21.88,12.82,84.02,4.32,2.84,17.27
2019-10-21,16.57,22.33,11.43,84.23,5.25,2.3,23.34
2019-10-22,17.17,23.04,13.11,81.21,9.11,2.55,20.89
2019-10-23,16.73,22.13,12.75,84.34,8.42,2.96,18.34
2019-10-24,16.11,21.03,13.2,85.07,7.4,3.61,20.57
2019-10-25,15.71,21.02,12.09,83.45,7.23,2.96,21.07
2019-10-26,15.92,20.92,11.83,86.41,11.78,3.0,16.22
2019-10-27,16.27,21.59,11.85,84.37,5.33,2.71,22.17
2019-10-28,16.63,22.59,11.38,81.84,8.42,2.06,22.01
2019-10-29,16.52,21.02,13.11,86.49,8.26,2.14,19.89
2019-10-30,16.17,21.14,12.07,86.58,7.93,2.62,16.61
2019-10-31,16.25,21.28,12.25,85.15,4.62,2.36,20.99
2019-11-01,15.87,21.38,11.08,83.5,4.47,1.86,17.15
2019-11-02,16.23,22.21,11.65,80.56,1.36,2.11,22.39
2019-11-03,16.28,21.89,11.9,82.31,4.13,2.22,20.3
2019-11-04,16.45,22.04,12.54,81.97,8.35,2.69,19.92
2019-11-05,16.69,22.85,12.38,78.29,3.99,2.29,21.99
2019-11-06,16.94,22.98,12.62,80.31,5.25,2.29,20.34
2019-11-07,16.86,22.34,13.3,83.96,10.47,2.98,21.52
2019-11-08,16.65,22.41,13.08,79.75,2.86,3.0,20.13
2019-11-09,16.55,22.0,12.13,83.2,3.92,2.84,21.72
2019-11-10,17.23,22.38,12.94,84.24,11.3,2.91,21.56
2019-11-11,16.98,21.73,13.6,86.71,16.91,3.38,18.2
2019-11-12,16.97,20.88,14.19,88.96,32.04,3.59,16.91
2019-11-13,16.34,21.11,13.39,89.45,11.01,1.93,16.09
2019-11-14,16.02,19.58,12.76,90.11,4.34,2.84,15.7
2019-11-15,16.79,22.4,12.01,83.63,2.37,1.93,22.25
2019-11-16,17.12,22.95,12.44,85.26,2.27,2.18,22.25
2019-11-17,15.95,20.44,11.81,87.93,5.09,2.27,20.26
2019-11-18,16.63,22.01,12.21,85.67,3.82,2.56,18.59
2019-11-19,16.17,21.08,12.36,85.63,7.65,3.17,19.48
2019-11-20,16.27,21.3,12.43,86.39,6.63,2.39,21.4
2019-11-21,17.3,23.01,13.13,82.79,3.64,1.81,20.73
2019-11-22,16.83,21.3,13.96,87.87,9.53,2.63,20.23
2019-11-23,16.15,20.75,12.61,87.66,12.02,2.37,11.84
2019-11-24,16.36,21.57,12.44,87.33,11.89,1.66,13.73
2019-11-25,15.61,18.47,12.68,88.16,35.34,0.93,13.19
2019-11-26,15.99,19.74,13.41,89.39,12.79,1.21,12.05
2019-11-27,16.21,21.21,12.21,86.39,6.21,2.32,19.59
2019-11-28,16.2,21.6,10.66,84.73,3.26,1.82,21.13
2019-11-29,16.92,22.27,12.52,85.59,10.1,1.21,16.48
2019-11-30,16.8,20.62,13.98,88.36,17.27,1.65,15.34
2019-12-01,16.65,21.14,13.64,89.38,27.41,2.63,15.56
2019-12-02,16.62,21.01,13.82,88.61,42.26,2.32,16.29
2019-12-03,17.04,21.86,13.94,89.4,24.08,2.31,11.67
2019-12-04,16.85,21.19,13.84,87.98,9.15,2.14,14.69
2019-12-05,16.9,21.45,12.77,86.8,8.64,2.31,15.78
2019-12-06,17.15,21.47,13.58,89.02,26.65,2.3,18.56
2019-12-07,17.08,21.88,13.35,87.69,4.47,1.71,15.86
2019-12-08,16.91,21.83,12.39,85.42,4.28,1.52,10.24
2019-12-09,16.65,21.06,12.07,87.56,12.39,1.93,17.11
2019-12-10,16.9,21.21,13.18,88.31,11.01,2.55,10.6
2019-12-11,15.89,20.48,12.44,86.68,0.58,2.25,19.4
2019-12-12,15.9,20.87,12.19,83.71,3.75,1.85,19.86
2019-12-13,15.8,21.36,11.15,85.18,3.43,1.98,16.92
2019-12-14,15.66,19.94,12.37,87.58,5.6,1.86,16.83
2019-12-15,15.86,21.33,10.83,85.79,15.65,1.7,16.73
2019-12-16,16.29,21.72,11.41,84.51,3.4,1.56,20.9
2019-12-17,16.65,21.62,12.08,84.42,1.11,1.37,21.68
2019-12-18,16.59,22.17,12.61,85.05,0.81,2.08,23.82
2019-12-19,14.95,21.73,9.17,78.94,0.12,2.01,26.82
2019-12-20,15.87,22.94,8.44,80.6,1.02,1.5,23.86
2019-12-21,16.08,20.09,12.84,89.54,2.69,1.67,17.22
2019-12-22,16.35,21.19,13.14,87.81,2.6,1.58,17.57
2019-12-23,16.77,21.62,12.1,86.0,6.8,1.42,16.62
2019-12-24,17.19,22.19,12.89,86.34,6.59,1.8,16.25
2019-12-25,17.29,22.12,13.16,86.99,4.91,1.57,18.34
2019-12-26,17.28,21.54,14.18,86.14,2.23,1.15,14.12
2019-12-27,17.5,22.96,13.14,83.07,0.65,1.23,20.62
2019-12-28,16.7,21.89,12.45,84.96,1.34,1.41,17.9
2019-12-29,16.11,21.53,11.9,88.15,1.25,1.58,20.87
2019-12-30,15.49,22.11,9.9,84.47,0.35,1.85,23.05
2019-12-31,15.49,22.06,9.56,84.92,1.49,1.84,23.48
2020-01-01,15.16,21.97,8.89,82.55,0.57,1.83,25.46
2020-01-02,15.59,21.7,10.11,86.38,3.45,2.29,21.13
2020-01-03,15.79,21.28,10.94,85.82,3.35,2.39,19.32
2020-01-04,15.01,19.89,11.67,88.76,0.77,2.42,22.2
2020-01-05,15.47,20.55,11.59,83.27,2.88,1.58,19.23
2020-01-06,16.48,21.91,11.89,78.61,2.84,1.6,19.42
2020-01-07,16.04,20.32,12.32,86.86,3.33,2.37,20.6
2020-01-08,15.44,20.31,11.23,87.14,5.11,2.43,15.7
2020-01-09,15.38,19.33,12.26,89.99,2.36,1.5,19.14
2020-01-10,16.03,22.4,10.88,82.44,0.73,1.34,22.97
2020-01-11,15.87,22.57,10.25,77.58,0.18,1.59,23.63
2020-01-12,15.94,22.32,10.03,78.69,1.59,1.27,18.77
2020-01-13,16.11,21.52,12.41,84.54,12.19,1.19,13.12
2020-01-14,16.05,21.75,10.9,85.31,10.52,1.73,22.05
2020-01-15,16.34,22.0,10.48,84.6,5.19,1.79,24.26
2020-01-16,16.82,22.51,10.89,82.73,2.12,1.31,19.73
2020-01-17,16.36,20.84,12.48,86.15,1.89,1.21,20.07
2020-01-18,17.17,22.43,12.99,79.11,0.33,1.17,22.16
2020-01-19,16.75,22.69,11.35,76.83,0.16,1.47,23.91
2020-01-20,16.62,23.03,11.22,75.57,0.12,1.68,25.43
2020-01-21,16.69,23.52,10.58,72.78,0.08,1.97,21.57
2020-01-22,16.97,23.25,11.1,77.52,0.13,1.79,21.04
2020-01-23,16.1,20.7,12.59,84.15,1.14,1.69,16.33
2020-01-24,16.83,20.98,13.78,84.95,1.75,1.56,12.31
2020-01-25,16.45,20.05,13.25,90.82,10.24,1.94,15.48
2020-01-26,15.41,18.82,12.4,88.71,10.78,1.87,13.05
2020-01-27,16.51,21.36,12.52,84.45,5.26,2.26,16.19
2020-01-28,15.82,20.43,11.97,88.19,5.37,2.39,16.05
2020-01-29,16.16,20.3,12.96,88.12,6.12,1.93,14.14
2020-01-30,16.23,20.58,12.72,87.38,2.26,1.93,16.3
2020-01-31,16.1,19.82,13.06,88.24,5.57,1.25,19.79
2020-02-01,16.06,19.39,13.53,88.07,27.94,0.84,16.16
2020-02-02,16.43,21.38,12.87,87.23,4.81,1.67,18.5
2020-02-03,16.82,22.29,13.18,83.99,2.86,1.65,23.74
2020-02-04,15.7,20.48,12.26,84.91,1.42,1.3,23.43
2020-02-05,15.81,21.26,10.81,84.02,1.99,1.77,23.16
2020-02-06,15.53,21.63,10.69,81.63,1.11,1.94,24.29
2020-02-07,15.53,23.14,9.12,80.37,0.27,2.07,28.27
2020-02-08,15.21,22.57,9.94,79.96,0.43,2.13,27.9
2020-02-09,15.07,22.46,9.37,81.35,0.46,1.92,28.27
2020-02-10,15.67,23.21,9.21,70.93,0.0,1.75,28.27
2020-02-11,17.16,24.59,10.6,63.78,0.0,1.1,28.09
2020-02-12,17.61,23.87,12.22,73.21,0.29,0.95,23.6
2020-02-13,16.98,22.13,13.72,85.85,4.4,2.5,21.57
2020-02-14,16.32,21.77,12.23,84.41,2.69,2.82,20.66
2020-02-15,15.98,21.89,10.88,86.82,11.54,2.71,18.54
2020-02-16,16.08,21.66,11.22,85.88,2.06,2.6,16.19
2020-02-17,16.76,22.83,12.02,84.41,0.65,2.11,24.17
2020-02-18,16.8,23.01,12.35,84.39,0.93,2.06,23.62
2020-02-19,16.92,23.15,12.15,82.93,1.34,2.02,19.61
2020-02-20,17.44,23.77,12.93,80.05,0.5,1.87,24.6
2020-02-21,17.02,23.33,11.34,80.54,0.27,1.98,22.63
