date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-09-19,19.85,28.31,12.72,57.25,0.01,2.04,28.18
2019-09-20,19.22,27.01,11.84,59.19,0.02,2.07,26.61
2019-09-21,20.09,27.26,12.56,60.25,0.22,1.47,23.96
2019-09-22,20.33,26.91,14.11,69.75,7.18,0.86,21.38
2019-09-23,18.81,23.06,15.26,77.81,5.29,1.04,21.92
2019-09-24,19.82,26.75,13.13,70.12,1.09,1.15,23.25
2019-09-25,18.9,24.86,14.3,76.73,6.25,0.91,19.96
2019-09-26,18.74,23.97,14.34,78.35,11.61,1.59,21.23
2019-09-27,18.63,25.21,14.67,78.49,2.29,1.9,18.92
2019-09-28,19.04,25.15,14.31,78.12,4.23,1.14,24.17
2019-09-29,19.75,26.98,12.86,72.53,1.76,1.04,26.04
2019-09-30,20.57,28.52,13.06,65.38,0.85,1.23,26.61
2019-10-01,21.01,28.6,13.61,64.49,0.27,1.25,25.11
2019-10-02,20.65,27.96,13.93,69.26,4.79,1.26,22.93
2019-10-03,20.41,28.1,13.9,65.05,2.7,2.82,25.25
2019-10-04,19.63,27.55,13.45,61.23,0.33,2.79,26.01
2019-10-05,19.49,27.62,12.77,69.58,3.25,2.21,18.92
2019-10-06,19.49,26.55,14.08,71.55,1.42,1.86,20.19
2019-10-07,19.46,27.45,13.29,62.61,0.28,2.24,24.3
2019-10-08,20.01,28.29,12.68,62.72,0.04,1.91,26.47
2019-10-09,20.34,27.12,14.61,70.55,1.37,1.54,23.3
2019-10-10,20.26,27.45,14.95,71.04,1.34,1.91,21.92
2019-10-11,20.02,28.05,14.01,68.54,0.45,2.75,21.67
2019-10-12,19.62,26.21,14.45,72.39,2.27,2.3,20.58
2019-10-13,20.26,27.74,14.28,72.26,5.82,1.8,20.97
2019-10-14,20.32,27.4,14.78,72.96,1.27,1.37,19.82
2019-10-15,20.66,28.33,14.88,68.57,1.1,1.59,25.41
2019-10-16,20.11,27.4,13.62,64.26,1.11,1.68,24.05
2019-10-17,20.1,27.12,15.16,75.78,11.02,1.38,19.04
2019-10-18,18.72,23.92,15.25,83.53,31.8,0.88,16.75
2019-10-19,18.87,24.17,15.7,83.44,27.14,0.94,20.78
2019-10-20,19.09,24.15,15.08,80.76,4.16,0.84,23.81
2019-10-21,19.51,26.08,13.04,75.6,1.49,0.92,26.17
2019-10-22,19.83,26.48,13.94,76.53,1.03,0.94,24.92
2019-10-23,19.29,25.78,13.93,77.18,3.99,1.29,22.36
2019-10-24,19.31,26.03,14.2,71.28,0.8,2.29,23.52
2019-10-25,19.52,26.95,13.32,69.29,1.14,1.73,22.7
2019-10-26,19.24,26.69,13.79,74.87,6.08,1.89,20.54
2019-10-27,19.34,26.15,14.37,75.73,2.96,1.55,25.37
2019-10-28,19.63,26.62,15.02,75.87,3.06,1.03,22.73
2019-10-29,17.62,21.36,15.32,88.73,34.04,0.78,18.48
2019-10-30,19.03,25.52,14.83,80.64,8.44,0.66,21.42
2019-10-31,18.91,25.33,13.95,80.21,15.86,0.71,21.56
2019-11-01,18.8,24.92,13.5,78.0,6.19,1.09,22.66
2019-11-02,19.15,25.53,14.08,75.82,2.25,1.23,26.11
2019-11-03,18.73,24.96,13.06,77.21,2.05,0.95,24.39
2019-11-04,19.42,25.8,13.78,73.56,0.91,1.52,24.56
2019-11-05,19.34,26.18,13.11,72.35,0.73,1.34,25.14
2019-11-06,18.81,24.97,13.44,77.8,1.48,1.14,24.05
2019-11-07,19.49,25.4,14.46,77.38,1.42,1.18,23.66
2019-11-08,19.65,26.01,14.43,73.41,0.13,1.24,24.6
2019-11-09,19.7,26.9,14.12,71.93,0.31,1.66,25.53
2019-11-10,20.18,27.21,14.25,73.81,0.24,1.23,22.9
2019-11-11,18.99,24.44,15.65,80.39,6.08,1.66,23.91
2019-11-12,19.92,26.16,14.7,77.89,0.66,1.37,20.28
2019-11-13,19.56,26.24,14.69,79.81,3.21,0.87,17.0
2019-11-14,17.94,24.15,14.94,83.33,23.25,1.09,16.33
2019-11-15,19.14,24.94,14.88,83.05,17.7,0.8,21.22
2019-11-16,20.22,26.25,15.61,80.92,7.21,0.93,23.61
2019-11-17,20.6,26.49,16.91,78.85,6.5,0.62,24.43
2019-11-18,19.73,25.24,16.06,82.22,10.14,0.65,20.84
2019-11-19,19.2,25.6,14.52,82.49,26.34,1.09,20.66
2019-11-20,19.52,25.85,14.38,79.25,8.17,1.09,21.52
2019-11-21,18.72,23.37,16.4,88.01,36.16,0.56,21.33
2019-11-22,18.6,23.43,15.84,88.8,42.18,0.83,22.91
2019-11-23,18.79,25.2,15.28,85.87,9.03,1.17,17.5
2019-11-24,18.35,24.07,14.37,85.73,21.07,1.31,15.6
2019-11-25,17.76,22.65,14.57,85.56,14.98,1.08,13.6
2019-11-26,18.04,23.86,13.76,83.3,15.81,0.83,18.65
2019-11-27,19.28,25.68,14.8,80.69,27.36,1.12,20.83
2019-11-28,18.89,23.81,15.11,85.05,24.28,1.01,21.26
2019-11-29,18.51,22.77,15.28,86.6,27.34,0.88,17.22
2019-11-30,18.61,24.12,14.98,84.02,22.98,0.72,16.82
2019-12-01,18.06,21.68,15.51,89.82,28.37,0.85,21.54
2019-12-02,18.51,23.53,15.33,86.09,22.73,0.79,21.11
2019-12-03,18.92,24.56,14.94,87.18,22.37,1.26,15.32
2019-12-04,16.87,19.39,14.7,91.79,9.83,0.92,18.38
2019-12-05,18.25,23.84,14.38,86.68,2.72,0.49,17.61
2019-12-06,19.12,24.49,15.55,84.64,34.45,0.8,22.06
2019-12-07,17.57,20.68,15.36,92.64,33.64,0.87,16.49
2019-12-08,17.51,20.12,15.18,90.37,26.17,0.67,13.26
2019-12-09,17.22,20.22,15.27,90.75,42.42,0.99,13.66
2019-12-10,17.3,21.45,14.64,91.3,24.17,1.05,16.1
2019-12-11,18.52,24.19,13.88,86.23,4.39,0.56,21.79
2019-12-12,18.82,24.25,14.49,84.1,4.4,0.46,21.44
2019-12-13,18.93,24.41,14.14,82.85,9.09,0.45,20.78
2019-12-14,18.86,23.9,14.6,82.13,12.64,0.63,23.1
2019-12-15,18.96,25.04,13.73,80.72,28.44,0.62,23.65
2019-12-16,18.82,22.98,15.78,85.7,30.06,0.61,21.18
2019-12-17,18.47,21.92,15.53,87.95,7.03,0.85,21.3
2019-12-18,19.61,24.58,15.28,82.08,0.56,0.78,23.45
2019-12-19,19.0,25.12,13.74,74.16,0.58,1.11,26.5
2019-12-20,18.88,25.74,11.98,76.15,0.87,0.81,25.45
2019-12-21,18.26,22.14,14.6,86.95,5.88,1.01,17.25
2019-12-22,18.14,21.83,15.49,88.35,37.43,0.53,18.19
2019-12-23,17.29,20.68,15.24,90.91,12.24,0.6,15.19
2019-12-24,18.03,22.46,15.33,86.45,14.02,0.58,21.18
2019-12-25,18.57,23.12,15.8,89.19,15.39,0.95,21.11
2019-12-26,17.8,21.7,15.25,90.47,9.15,0.89,14.68
2019-12-27,18.39,23.1,15.17,88.55,2.82,1.08,21.2
2019-12-28,18.36,22.93,15.31,89.38,9.22,0.99,17.45
2019-12-29,18.45,22.88,15.05,88.4,10.76,1.15,20.32
2019-12-30,18.94,24.58,13.47,79.83,3.39,0.92,23.9
2019-12-31,19.33,25.48,12.72,75.25,1.46,0.66,26.08
2020-01-01,19.43,24.98,14.21,75.62,1.49,0.77,25.42
2020-01-02,19.21,25.57,13.51,78.2,0.69,1.12,25.98
2020-01-03,19.1,25.89,13.29,80.9,2.56,1.14,24.16
2020-01-04,18.36,24.07,13.51,82.71,0.36,1.41,25.0
2020-01-05,19.36,25.43,12.9,75.95,1.52,0.62,23.54
2020-01-06,19.52,24.63,14.01,78.82,13.69,0.61,21.13
2020-01-07,19.49,25.07,15.03,82.41,6.36,0.84,23.15
2020-01-08,19.32,25.29,13.97,80.46,7.54,1.15,18.24
2020-01-09,19.18,25.07,14.55,82.62,8.39,0.63,23.83
2020-01-10,19.06,24.18,14.19,81.6,6.35,0.68,23.15
2020-01-11,18.87,24.21,14.85,80.83,1.12,0.82,23.56
2020-01-12,16.39,19.04,14.38,91.56,6.92,0.91,18.91
2020-01-13,17.42,22.31,13.35,89.05,50.83,0.95,17.26
2020-01-14,19.11,24.61,15.33,82.36,33.1,0.74,19.84
2020-01-15,19.81,25.02,14.74,78.44,6.75,0.82,25.08
2020-01-16,19.0,23.27,15.59,85.37,26.58,0.94,20.96
2020-01-17,18.13,22.07,15.38,88.09,9.51,0.97,21.18
2020-01-18,18.88,23.65,15.08,84.65,2.66,1.05,21.0
2020-01-19,18.35,22.69,15.65,87.93,2.36,1.12,21.66
2020-01-20,18.86,24.17,14.94,82.46,0.69,1.1,25.4
2020-01-21,18.5,24.37,13.08,79.69,0.05,1.08,23.25
2020-01-22,18.34,23.85,13.07,80.63,0.15,1.22,22.91
2020-01-23,17.96,21.28,15.11,86.13,4.99,0.98,19.25
2020-01-24,18.92,24.11,15.03,84.65,6.89,1.14,8.81
2020-01-25,19.32,24.17,15.9,85.01,20.05,0.79,19.58
2020-01-26,18.57,22.87,15.85,87.33,31.93,1.14,18.48
2020-01-27,19.6,25.17,14.99,82.58,34.52,0.6,20.78
2020-01-28,19.16,24.42,16.09,87.08,36.88,0.67,19.01
2020-01-29,17.79,21.3,15.48,91.65,36.99,0.85,16.32
2020-01-30,17.9,22.17,15.0,90.21,17.51,1.22,21.21
2020-01-31,17.6,21.99,15.06,91.85,19.93,1.17,22.04
2020-02-01,16.82,20.65,14.09,90.1,9.63,0.79,12.19
2020-02-02,17.48,22.51,12.91,87.62,25.79,1.15,19.06
2020-02-03,16.68,18.89,14.94,94.34,23.57,1.13,22.81
2020-02-04,18.46,23.94,13.77,84.16,6.19,0.85,20.26
2020-02-05,19.02,24.65,14.48,83.71,5.42,0.87,21.52
2020-02-06,18.91,23.48,15.46,85.26,25.1,0.81,21.65
2020-02-07,19.29,25.73,13.04,78.15,0.37,0.95,28.28
2020-02-08,18.61,25.45,11.98,76.29,0.01,1.11,28.0
2020-02-09,18.33,25.12,11.27,74.2,0.05,1.11,28.49
2020-02-10,19.25,25.74,11.99,66.43,0.01,0.82,28.06
2020-02-11,19.28,25.93,12.8,67.46,0.03,0.77,28.0
2020-02-12,19.31,25.92,12.38,75.27,0.26,0.87,25.86
2020-02-13,19.75,25.27,14.63,82.46,7.76,0.74,20.73
2020-02-14,19.8,25.15,16.4,82.56,12.18,0.85,24.7
2020-02-15,19.58,25.62,13.82,81.86,9.88,1.22,25.62
2020-02-16,19.51,25.84,13.78,82.05,1.71,0.98,21.07
2020-02-17,19.85,26.09,14.19,81.53,2.21,0.61,26.57
2020-02-18,20.15,26.65,14.18,78.16,0.82,0.93,26.52
2020-02-19,20.11,26.61,13.83,78.43,0.97,1.08,24.52
2020-02-20,20.22,26.7,14.39,79.34,2.71,0.85,26.24
2020-02-21,20.17,26.74,13.89,77.59,0.29,0.86,24.09
2020-02-22,19.97,26.46,14.41,81.03,24.33,0.81,25.4
2020-02-23,20.59,26.6,15.58,80.95,3.78,0.64,24.22
2020-02-24,20.42,26.22,15.74,78.45,0.91,0.77,23.46
2020-02-25,19.35,23.93,15.4,86.0,18.63,1.24,21.61
2020-02-26,19.4,23.8,16.21,87.17,15.33,0.5,18.08
2020-02-27,19.65,24.32,16.01,85.87,5.34,0.97,18.5
2020-02-28,19.67,26.28,14.25,81.35,2.04,1.08,23.1
2020-02-29,19.71,25.67,15.14,82.32,0.36,0.79,23.28
2020-03-01,18.75,21.88,15.65,89.66,24.95,0.98,16.45
2020-03-02,19.27,23.97,16.81,85.3,7.49,0.74,17.11
2020-03-03,19.03,23.07,15.81,87.51,9.17,0.57,21.86
2020-03-04,17.13,19.67,14.67,90.78,10.86,1.21,19.51
2020-03-05,19.12,25.36,13.58,76.75,2.75,0.56,25.23
2020-03-06,19.89,25.06,14.66,77.88,1.2,0.76,26.69
2020-03-07,19.86,25.25,16.12,82.42,1.7,0.69,27.39
2020-03-08,19.91,25.0,16.63,86.57,20.87,0.7,21.63
2020-03-09,19.05,24.13,16.48,86.51,19.95,1.02,16.61
2020-03-10,19.16,24.51,14.96,84.99,3.3,1.02,21.84
2020-03-11,20.07,26.16,14.51,81.96,0.33,0.73,25.28
2020-03-12,19.38,24.28,16.32,87.57,18.47,1.1,21.57
2020-03-13,19.15,24.46,15.67,87.63,16.81,0.84,19.95
2020-03-14,19.72,24.38,15.84,85.11,5.84,0.62,22.86
2020-03-15,20.17,26.1,15.87,79.59,5.6,0.65,27.17
2020-03-16,20.23,26.13,14.65,80.78,0.32,1.0,22.97
2020-03-17,19.59,24.17,16.62,86.22,6.29,0.73,20.75
2020-03-18,19.64,25.02,15.63,83.46,17.17,0.45,22.07
2020-03-19,19.43,25.15,14.3,82.76,5.68,0.8,22.78
2020-03-20,19.51,25.54,14.53,83.23,4.25,0.95,27.07
2020-03-21,18.9,25.23,14.06,82.03,0.16,1.83,26.62
2020-03-22,18.51,25.08,12.67,78.2,0.04,2.08,28.07
2020-03-23,18.47,24.34,13.15,83.17,1.22,1.05,25.21
2020-03-24,19.11,24.33,14.26,83.14,4.02,0.97,25.27
2020-03-25,19.08,24.84,16.07,87.81,35.71,1.13,22.31
2020-03-26,17.03,20.81,14.66,91.39,36.78,1.08,22.5
2020-03-27,17.22,21.82,13.42,86.86,8.21,0.88,17.09
2020-03-28,18.72,24.61,15.08,85.45,23.58,0.93,14.39
2020-03-29,18.05,22.63,14.3,89.17,21.37,0.86,16.7
2020-03-30,19.27,24.67,14.32,83.96,35.28,0.67,24.85
2020-03-31,18.73,23.17,14.86,87.04,10.6,1.26,23.09
2020-04-01,19.24,24.45,14.79,85.64,0.62,1.64,26.41
2020-04-02,19.74,25.74,14.74,81.26,3.53,1.03,25.84
2020-04-03,19.92,25.59,16.39,83.66,8.99,0.87,25.59
2020-04-04,19.54,25.52,14.6,83.56,1.04,0.78,23.98
2020-04-05,19.39,25.74,13.79,83.05,14.37,0.97,21.02
