date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-08-07,22.74,26.86,20.17,68.82,2.19,1.5,22.72
2019-08-08,22.68,26.45,20.02,73.81,14.34,1.74,16.62
2019-08-09,22.36,25.82,20.04,73.3,13.3,1.01,18.28
2019-08-10,22.13,26.26,19.28,72.34,2.87,1.64,18.81
2019-08-11,21.4,24.73,18.86,77.45,20.1,1.52,13.56
2019-08-12,21.3,23.88,19.24,78.63,10.05,2.18,23.2
2019-08-13,22.38,26.76,18.34,71.3,0.61,1.56,23.8
2019-08-14,22.3,25.06,19.51,72.15,2.5,0.92,21.32
2019-08-15,22.22,25.37,19.31,70.49,5.43,1.48,23.09
2019-08-16,22.24,25.92,18.62,67.77,3.19,1.91,15.74
2019-08-17,22.13,25.64,19.58,74.03,3.74,1.38,23.85
2019-08-18,21.39,24.86,19.05,75.7,10.77,2.42,22.66
2019-08-19,22.7,26.59,19.07,70.44,4.89,1.68,18.12
2019-08-20,21.92,25.39,19.08,75.91,7.34,1.73,19.77
2019-08-21,22.24,26.89,18.65,74.07,13.63,2.23,20.17
2019-08-22,21.72,25.62,19.14,76.59,6.55,1.87,22.76
2019-08-23,20.45,23.18,18.65,81.95,12.55,1.82,20.96
2019-08-24,22.35,26.74,18.78,70.52,2.14,1.71,25.04
2019-08-25,22.0,25.17,19.63,74.38,2.64,1.42,24.35
2019-08-26,22.73,26.36,18.94,66.74,1.15,1.61,21.18
2019-08-27,22.97,26.99,18.36,69.56,4.93,1.87,24.27
2019-08-28,22.28,25.6,19.57,78.37,4.2,2.55,23.41
2019-08-29,23.03,26.07,20.44,69.28,2.84,0.96,22.16
2019-08-30,22.1,24.62,19.94,74.37,0.89,1.29,19.76
2019-08-31,21.48,24.76,19.16,79.54,5.08,3.08,6.18
2019-09-01,21.06,25.14,17.6,76.29,3.02,2.17,19.44
2019-09-02,20.22,22.81,17.95,80.59,3.27,1.22,21.44
2019-09-03,22.5,26.01,18.67,74.27,12.59,1.44,23.79
2019-09-04,21.92,25.38,19.85,77.52,3.39,1.96,23.63
2019-09-05,21.93,25.39,19.14,76.04,5.8,1.24,20.46
2019-09-06,22.7,26.8,19.46,72.76,2.63,1.82,23.13
2019-09-07,22.79,25.78,19.37,72.43,2.41,1.8,21.64
2019-09-08,22.49,26.04,18.49,68.83,8.77,1.76,19.24
2019-09-09,22.84,27.05,19.82,70.48,10.73,1.83,20.68
2019-09-10,22.26,26.38,18.9,73.62,1.01,2.08,23.63
2019-09-11,22.86,26.83,19.25,72.49,0.86,1.61,22.11
2019-09-12,22.62,25.72,19.39,72.93,2.44,1.19,21.52
2019-09-13,23.53,27.53,20.25,65.6,0.85,1.25,25.95
2019-09-14,24.0,28.28,20.68,67.42,2.75,1.28,25.45
2019-09-15,24.16,28.35,19.83,66.33,3.74,1.62,23.91
2019-09-16,24.76,29.07,21.07,62.64,1.11,1.07,26.72
2019-09-17,24.86,29.59,19.27,56.62,0.01,1.87,26.52
2019-09-18,24.26,28.26,20.54,61.57,0.96,1.05,25.27
2019-09-19,24.97,29.1,20.88,61.11,2.06,1.18,26.05
2019-09-20,24.69,28.24,21.32,59.51,3.21,0.88,24.88
2019-09-21,24.17,28.14,20.41,62.2,1.45,1.48,23.5
2019-09-22,23.9,27.89,19.7,67.9,4.08,1.67,23.91
2019-09-23,22.45,25.12,20.62,77.04,7.16,1.74,24.85
2019-09-24,23.7,27.73,19.64,67.23,0.98,2.02,23.84
2019-09-25,23.19,26.8,20.16,70.83,3.01,1.96,21.85
2019-09-26,22.38,26.54,19.12,72.28,8.71,2.67,20.49
2019-09-27,20.48,22.17,18.65,82.84,21.04,2.51,18.48
2019-09-28,21.89,26.02,18.1,76.63,10.14,1.28,21.01
2019-09-29,22.11,25.93,19.8,81.61,31.45,1.65,23.85
2019-09-30,22.39,26.33,19.85,80.39,10.97,1.45,23.76
2019-10-01,22.85,27.2,18.83,75.93,1.78,1.34,24.13
2019-10-02,23.43,27.21,20.49,72.38,4.89,1.5,21.87
2019-10-03,23.81,28.45,19.45,70.41,6.18,1.56,24.5
2019-10-04,24.24,28.4,19.44,63.92,3.49,1.45,25.97
2019-10-05,23.22,28.18,18.2,66.62,21.81,2.04,20.06
2019-10-06,22.31,25.68,20.44,77.66,33.97,1.98,20.06
2019-10-07,23.28,27.31,20.2,71.01,17.27,1.27,23.22
2019-10-08,23.6,27.65,19.34,68.76,1.24,1.14,24.42
2019-10-09,22.71,26.62,20.39,74.83,4.13,1.26,22.62
2019-10-10,23.43,27.86,20.39,73.87,19.39,1.98,19.52
2019-10-11,23.85,28.36,18.96,68.76,4.13,1.71,21.64
2019-10-12,23.06,27.27,19.69,74.91,13.36,2.12,16.7
2019-10-13,22.29,26.32,20.16,81.32,17.53,2.71,22.58
2019-10-14,21.33,23.58,19.42,84.71,24.78,1.74,15.99
2019-10-15,22.18,26.03,19.18,81.13,15.21,1.38,25.06
2019-10-16,23.52,27.53,19.36,71.99,8.32,1.68,20.1
2019-10-17,21.35,23.67,19.24,85.87,7.0,2.93,21.88
2019-10-18,20.96,23.83,18.09,80.3,21.47,1.74,17.46
2019-10-19,21.74,25.15,18.8,81.66,9.16,1.71,19.63
2019-10-20,21.58,23.78,19.69,82.02,10.26,1.49,20.11
2019-10-21,21.13,24.3,18.83,83.55,13.6,1.53,22.21
2019-10-22,21.31,23.83,19.33,83.57,17.87,1.04,22.93
2019-10-23,22.01,25.69,19.48,83.28,68.92,2.29,20.75
2019-10-24,23.12,27.17,19.6,75.91,24.8,1.25,18.66
2019-10-25,23.3,27.53,20.17,73.89,7.15,1.41,23.27
2019-10-26,23.74,28.11,19.69,70.95,27.88,1.43,23.65
2019-10-27,22.94,26.83,19.92,77.69,9.21,1.72,23.35
2019-10-28,20.87,22.76,19.12,84.82,22.71,2.21,22.45
2019-10-29,20.02,22.92,17.85,86.14,27.12,2.23,19.31
2019-10-30,21.79,26.2,18.69,80.07,14.96,1.61,18.93
2019-10-31,21.47,24.48,19.65,83.68,40.64,1.31,18.97
2019-11-01,20.61,22.52,19.37,85.05,17.38,1.27,22.83
2019-11-02,21.91,25.82,18.79,76.61,6.57,1.46,24.94
2019-11-03,21.48,24.53,18.84,79.88,8.31,1.45,23.86
2019-11-04,21.86,25.37,19.35,79.91,12.08,1.44,23.45
2019-11-05,22.29,25.4,19.68,78.38,8.08,1.31,25.52
2019-11-06,21.57,24.7,19.66,80.42,6.57,1.54,21.74
2019-11-07,21.34,24.32,19.35,83.88,5.79,1.19,20.32
2019-11-08,21.0,23.39,19.37,85.76,7.13,1.95,20.47
2019-11-09,22.36,25.83,19.09,79.0,1.43,1.68,21.7
2019-11-10,22.24,25.67,19.97,81.11,2.1,1.51,23.9
2019-11-11,21.53,24.14,19.87,82.51,6.0,1.95,19.21
2019-11-12,21.28,23.44,19.88,88.11,17.87,1.85,18.47
2019-11-13,22.26,26.18,19.16,82.27,6.01,1.89,21.35
2019-11-14,22.17,25.78,19.25,80.41,6.21,1.74,18.98
2019-11-15,22.62,27.08,18.23,75.89,9.06,1.61,24.21
2019-11-16,23.36,27.41,19.29,75.72,3.94,1.52,25.87
2019-11-17,23.35,28.1,19.52,73.1,19.31,2.31,23.29
2019-11-18,23.02,27.56,19.28,77.55,32.49,1.85,20.3
2019-11-19,22.88,27.53,19.59,78.44,32.99,2.71,22.31
2019-11-20,21.94,25.19,18.88,83.94,14.03,1.93,21.46
2019-11-21,22.36,25.92,19.23,79.81,6.64,1.57,23.5
2019-11-22,22.03,24.25,20.38,82.55,23.89,1.92,18.39
2019-11-23,21.08,23.31,19.46,88.59,31.71,2.62,13.17
2019-11-24,21.1,23.86,19.35,87.14,13.41,3.02,15.05
2019-11-25,20.66,22.57,19.32,84.89,10.16,3.01,15.28
2019-11-26,21.69,25.87,17.88,77.11,1.13,1.82,20.07
2019-11-27,22.51,26.61,18.81,76.15,10.77,2.61,23.66
2019-11-28,22.5,27.08,18.96,75.42,6.84,2.77,20.87
2019-11-29,21.81,24.45,19.61,83.64,13.39,1.84,16.49
2019-11-30,22.35,26.11,19.87,78.87,5.78,1.66,20.96
2019-12-01,21.03,22.15,19.48,83.81,23.13,1.19,14.33
2019-12-02,22.01,25.66,19.14,81.57,5.62,1.52,20.28
2019-12-03,21.83,25.26,19.52,85.1,14.98,2.09,10.51
2019-12-04,20.02,21.73,18.79,86.27,5.07,2.24,16.17
2019-12-05,19.83,22.21,18.29,86.16,13.8,2.09,18.02
2019-12-06,20.84,24.08,18.39,85.53,25.64,1.79,21.34
2019-12-07,21.22,23.02,19.56,86.34,11.54,1.01,15.73
2019-12-08,21.93,26.07,18.52,80.88,25.9,1.66,14.21
