date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2020-01-17,14.95,18.52,12.47,88.58,6.73,1.35,20.07
2020-01-18,15.86,20.74,11.62,82.12,1.53,1.5,22.16
2020-01-19,15.91,21.08,10.97,79.06,0.45,1.88,23.91
2020-01-20,15.58,21.5,10.14,78.54,0.12,1.79,25.43
2020-01-21,15.35,21.62,9.23,77.17,0.05,1.92,21.57
2020-01-22,15.54,21.16,9.49,80.9,0.17,1.8,21.04
2020-01-23,14.99,19.28,11.26,85.02,3.67,1.84,16.33
2020-01-24,15.67,20.01,12.22,85.54,4.16,1.76,12.31
2020-01-25,15.62,19.43,12.34,89.06,6.86,1.84,15.48
2020-01-26,14.52,17.63,11.87,88.83,10.97,1.96,13.05
2020-01-27,15.6,20.76,10.9,84.94,14.05,1.75,16.19
2020-01-28,15.4,19.87,11.03,87.68,16.02,1.91,16.05
2020-01-29,15.55,19.88,12.31,87.57,29.07,1.09,14.14
2020-01-30,15.63,20.42,12.21,86.96,9.68,1.52,16.3
2020-01-31,15.33,19.51,12.31,87.85,18.92,0.94,19.79
2020-02-01,13.88,17.2,11.23,87.78,35.97,1.32,16.16
2020-02-02,14.63,19.3,10.77,88.51,8.64,1.74,18.5
2020-02-03,15.74,20.29,12.12,85.71,11.62,1.47,23.74
2020-02-04,15.18,19.99,11.52,82.83,1.27,1.39,23.43
2020-02-05,15.48,21.2,9.88,80.86,2.23,1.32,23.16
2020-02-06,15.28,20.74,10.58,82.35,1.9,1.62,24.29
2020-02-07,14.62,21.72,8.03,80.89,0.04,2.25,28.27
2020-02-08,14.06,21.42,7.57,80.07,0.05,2.36,27.9
2020-02-09,14.0,21.17,7.58,80.4,0.17,2.22,28.27
2020-02-10,14.57,21.83,7.61,69.27,0.03,1.85,28.27
2020-02-11,16.4,22.49,10.19,59.71,0.0,1.12,28.09
2020-02-12,16.49,22.1,11.08,70.62,0.4,0.99,23.6
2020-02-13,15.95,21.14,10.79,85.59,4.53,2.24,21.57
2020-02-14,15.72,21.43,11.74,83.21,1.69,3.25,20.66
2020-02-15,15.42,21.22,10.57,86.05,8.75,2.85,18.54
2020-02-16,15.49,21.41,10.19,85.6,2.5,2.62,16.19
2020-02-17,16.0,22.08,11.15,84.14,1.03,2.08,24.17
2020-02-18,15.89,22.55,10.83,83.19,0.69,2.16,23.62
2020-02-19,15.92,22.33,10.5,82.61,1.12,2.2,19.61
2020-02-20,16.28,22.46,11.62,82.06,0.54,2.03,24.6
2020-02-21,16.2,22.83,10.47,79.96,0.22,2.09,22.63
2020-02-22,16.16,22.31,11.4,85.85,2.4,2.47,21.7
2020-02-23,16.05,22.15,10.96,85.21,0.98,2.69,18.96
2020-02-24,16.05,22.58,9.55,79.15,0.11,2.03,25.38
2020-02-25,16.41,22.17,10.21,81.71,5.57,1.27,17.93
2020-02-26,16.64,21.78,11.63,84.56,11.57,1.61,18.79
2020-02-27,16.19,21.38,12.69,84.54,3.91,2.28,17.24
2020-02-28,16.54,22.63,11.38,77.21,0.24,2.09,26.7
2020-02-29,16.91,22.52,10.6,73.9,0.21,1.32,24.54
2020-03-01,16.61,20.61,13.63,83.23,8.47,1.43,22.19
2020-03-02,16.21,20.68,12.42,85.55,5.65,1.93,16.89
2020-03-03,16.86,22.0,12.79,82.78,1.22,1.9,18.3
2020-03-04,16.65,21.76,13.08,80.11,5.34,1.37,20.24
2020-03-05,16.81,22.37,12.09,74.63,3.21,1.27,23.87
2020-03-06,16.84,22.45,11.71,75.37,1.73,1.24,24.61
2020-03-07,16.84,22.79,12.31,79.75,1.45,1.37,22.67
2020-03-08,17.07,22.59,12.83,84.39,6.25,1.67,21.53
2020-03-09,16.63,21.07,14.08,87.92,16.58,0.83,17.28
2020-03-10,16.63,22.51,12.9,82.78,0.6,1.47,22.26
2020-03-11,17.05,23.02,11.84,82.19,0.28,1.59,22.76
2020-03-12,17.08,22.35,12.64,83.44,1.65,2.15,20.89
2020-03-13,17.1,22.7,12.72,85.37,2.54,2.06,24.29
2020-03-14,16.87,21.83,12.87,84.24,1.29,1.53,23.81
2020-03-15,16.66,23.38,11.01,75.82,0.05,1.75,26.61
2020-03-16,17.57,23.61,12.48,80.16,0.43,1.55,25.07
2020-03-17,16.67,21.89,12.02,83.91,2.39,2.07,20.16
2020-03-18,15.85,21.59,11.66,83.22,2.57,2.06,21.93
2020-03-19,16.08,21.84,11.7,83.95,3.43,2.23,19.33
2020-03-20,15.99,21.46,11.67,85.41,2.9,2.48,23.0
2020-03-21,16.0,21.91,11.17,80.88,0.46,3.33,26.92
2020-03-22,15.36,21.76,9.95,81.09,0.49,2.96,27.81
2020-03-23,15.49,21.16,10.74,83.49,0.48,2.22,22.25
2020-03-24,16.24,21.74,11.53,83.57,3.95,1.94,23.09
