date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-10-14,26.49,32.22,23.06,79.48,3.81,3.34,20.07
2019-10-15,27.06,33.31,22.63,74.42,0.22,3.57,23.68
2019-10-16,26.71,31.57,23.21,79.7,3.91,3.34,20.72
2019-10-17,26.47,30.92,23.73,81.17,7.26,3.19,18.85
2019-10-18,25.97,30.51,23.49,82.22,5.41,3.5,18.02
2019-10-19,26.09,30.74,23.32,80.17,3.5,3.23,15.53
2019-10-20,26.11,30.85,22.67,79.11,0.38,2.44,20.0
2019-10-21,27.3,33.12,23.27,76.23,0.67,2.97,20.53
2019-10-22,27.48,33.27,23.36,77.15,2.87,2.54,21.38
2019-10-23,27.58,33.5,23.42,76.95,2.12,2.51,21.13
2019-10-24,27.23,33.0,23.23,77.4,4.31,2.57,17.64
2019-10-25,27.11,31.92,23.5,80.84,5.26,2.47,16.82
2019-10-26,26.34,30.36,24.28,83.75,4.25,2.69,13.59
2019-10-27,26.22,30.84,22.66,82.91,3.62,2.82,18.16
2019-10-28,26.55,30.5,23.79,83.47,4.73,2.38,21.38
2019-10-29,27.36,32.9,23.23,78.68,2.0,2.24,21.46
2019-10-30,27.96,34.67,23.88,73.4,1.81,3.06,19.59
2019-10-31,27.46,34.34,22.19,75.74,1.91,2.85,20.02
2019-11-01,26.91,32.2,22.84,76.21,4.07,3.29,24.48
2019-11-02,27.0,34.43,21.65,71.68,0.23,3.41,24.38
2019-11-03,27.31,34.02,22.81,71.25,0.31,3.09,22.47
2019-11-04,28.18,35.26,23.54,69.86,0.5,3.11,22.54
2019-11-05,27.8,35.37,22.0,70.24,0.4,3.31,23.26
2019-11-06,27.97,34.86,23.05,72.83,2.22,3.46,23.23
2019-11-07,28.65,35.87,23.89,67.8,1.2,3.08,19.19
2019-11-08,28.85,36.47,23.24,66.24,0.51,2.69,19.66
2019-11-09,28.13,34.36,23.43,73.92,3.49,2.69,20.67
2019-11-10,28.72,35.39,23.86,73.2,3.74,2.96,22.29
2019-11-11,27.04,31.12,24.78,85.83,25.39,2.77,21.68
2019-11-12,26.62,29.79,24.77,87.81,19.32,2.05,15.37
2019-11-13,26.05,29.13,24.14,88.71,17.4,2.25,14.5
2019-11-14,26.67,31.36,23.15,83.83,6.68,1.81,17.92
2019-11-15,27.66,33.2,23.17,79.01,1.04,1.61,22.81
2019-11-16,27.33,31.37,24.0,82.63,6.39,1.96,21.65
2019-11-17,27.83,32.75,24.15,78.62,3.94,2.24,24.61
2019-11-18,27.05,31.43,23.67,81.81,2.57,1.81,19.18
2019-11-19,27.46,32.77,23.38,78.14,1.95,1.88,18.14
2019-11-20,27.3,32.92,23.65,76.54,2.0,2.07,21.22
2019-11-21,26.94,31.53,23.15,79.89,1.64,2.21,24.61
2019-11-22,27.04,30.98,23.92,83.04,5.71,1.64,21.42
2019-11-23,27.83,32.84,23.93,77.83,3.0,1.99,23.86
2019-11-24,25.95,28.36,24.28,88.74,24.03,1.29,9.63
2019-11-25,26.23,30.39,23.31,83.26,11.74,0.81,14.79
2019-11-26,26.22,31.27,22.39,83.14,13.72,1.7,21.53
2019-11-27,26.88,31.4,23.08,81.23,0.43,1.54,21.61
2019-11-28,26.97,31.77,23.48,81.23,0.03,1.63,23.47
2019-11-29,26.57,31.27,23.19,82.89,1.08,1.26,21.28
2019-11-30,27.18,31.94,23.84,82.15,3.4,1.59,21.1
2019-12-01,27.14,32.4,23.27,79.87,2.39,2.16,20.11
2019-12-02,27.05,32.12,23.12,80.07,1.67,1.96,20.81
2019-12-03,27.68,33.21,23.52,77.55,0.31,2.37,22.17
2019-12-04,27.99,34.15,23.09,75.3,0.41,2.19,24.1
2019-12-05,27.91,33.29,23.27,76.5,1.11,2.22,21.98
2019-12-06,27.56,32.76,24.07,79.4,3.54,2.02,21.03
2019-12-07,27.36,31.96,23.88,82.19,15.11,1.12,19.29
2019-12-08,27.37,32.34,23.74,81.75,6.41,1.19,19.94
2019-12-09,26.72,30.08,24.12,86.36,8.02,1.8,15.53
2019-12-10,27.59,33.1,22.91,79.32,1.2,1.96,22.59
2019-12-11,26.85,31.84,23.09,80.83,1.98,1.6,19.9
2019-12-12,26.61,30.52,23.61,79.76,5.02,0.87,19.41
2019-12-13,26.36,30.55,23.24,82.85,6.01,1.03,22.62
2019-12-14,26.9,31.45,23.31,81.79,4.55,1.04,24.86
2019-12-15,27.06,31.72,23.03,80.36,5.74,1.13,22.19
2019-12-16,27.25,32.04,23.33,80.39,4.77,1.48,22.47
2019-12-17,27.33,31.89,23.44,80.98,1.35,1.7,22.19
2019-12-18,27.7,32.28,24.16,78.96,1.03,1.82,22.33
2019-12-19,27.69,33.72,22.91,76.88,0.08,1.78,24.52
2019-12-20,26.76,30.18,23.7,84.27,11.53,1.81,22.25
2019-12-21,25.77,27.82,24.06,90.7,74.15,1.33,20.64
2019-12-22,26.09,29.58,23.42,86.33,9.77,1.19,19.69
2019-12-23,26.94,31.37,23.31,83.63,2.8,1.71,21.13
2019-12-24,27.16,32.14,23.03,82.29,0.82,1.67,21.84
2019-12-25,27.48,32.24,23.15,81.13,0.63,1.74,20.79
2019-12-26,27.97,33.42,24.12,78.38,0.39,2.02,21.56
2019-12-27,28.08,34.23,22.75,77.02,0.01,1.9,24.36
2019-12-28,28.35,34.6,23.81,76.08,0.04,2.09,21.12
2019-12-29,27.92,33.92,22.96,77.3,0.05,2.35,23.28
2019-12-30,28.04,33.45,23.89,80.08,2.72,2.32,21.17
2019-12-31,28.09,34.32,22.95,75.01,0.32,2.28,23.62
2020-01-01,28.45,35.33,22.69,72.98,0.32,2.15,24.22
2020-01-02,28.45,35.25,23.33,73.69,0.36,2.45,23.37
2020-01-03,28.19,34.06,23.57,75.78,0.46,2.17,20.72
