date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-08-07,22.56,30.22,16.71,67.47,1.03,2.04,15.86
2019-08-08,21.66,29.28,16.95,65.12,0.89,2.2,16.55
2019-08-09,21.66,30.21,15.07,56.04,0.02,1.84,16.71
2019-08-10,21.37,29.83,15.01,62.61,0.43,2.05,20.29
2019-08-11,20.66,27.51,15.25,68.18,0.38,2.21,15.04
2019-08-12,20.29,27.03,14.85,59.78,0.24,1.8,14.3
2019-08-13,21.3,29.43,14.85,62.54,0.22,1.82,17.82
2019-08-14,21.24,28.94,15.57,61.5,0.52,1.77,11.87
2019-08-15,20.3,27.88,14.22,56.89,0.3,2.08,15.86
2019-08-16,20.5,27.98,14.59,60.08,0.25,2.07,13.82
2019-08-17,21.38,28.83,15.17,60.17,0.37,2.04,17.32
2019-08-18,21.75,29.53,15.46,63.72,0.99,2.05,13.89
2019-08-19,21.15,28.4,16.08,63.37,1.26,2.13,11.18
2019-08-20,21.32,29.45,15.1,59.12,0.46,1.91,17.56
2019-08-21,21.62,29.14,16.28,61.39,0.45,2.16,16.86
2019-08-22,22.27,30.49,16.11,60.39,0.49,2.12,17.18
2019-08-23,22.53,29.9,16.64,58.77,0.56,2.21,20.43
2019-08-24,21.4,28.08,16.5,65.41,1.82,2.42,15.67
2019-08-25,22.2,30.38,16.24,55.01,0.05,1.99,20.53
2019-08-26,22.42,30.5,16.3,60.21,0.26,2.23,19.95
2019-08-27,22.89,30.96,16.11,57.3,0.36,1.75,20.34
2019-08-28,22.72,30.72,16.6,61.71,2.15,1.94,19.4
2019-08-29,21.99,28.5,16.75,62.58,0.92,1.76,16.94
2019-08-30,22.58,29.99,16.74,64.6,1.15,1.7,13.61
2019-08-31,21.58,27.33,16.85,67.3,2.19,1.23,15.11
2019-09-01,23.13,31.16,16.41,65.97,2.19,1.25,19.83
2019-09-02,22.02,28.51,17.66,66.63,0.65,1.55,15.02
2019-09-03,21.82,28.57,16.23,64.57,0.63,1.89,15.86
2019-09-04,22.57,30.07,16.1,59.94,0.3,2.05,18.39
2019-09-05,20.97,27.55,16.13,59.34,0.21,1.87,14.92
2019-09-06,22.0,28.69,15.35,62.74,0.31,1.79,16.94
2019-09-07,21.12,28.13,16.67,62.92,0.73,2.15,13.14
2019-09-08,21.44,28.85,16.35,59.48,0.97,2.24,12.69
2019-09-09,22.25,30.05,15.71,57.05,0.19,2.74,19.14
2019-09-10,22.1,29.72,16.93,69.77,2.66,2.66,15.89
2019-09-11,22.35,30.75,16.24,62.08,0.27,2.27,20.07
2019-09-12,22.71,31.1,16.36,59.75,0.2,2.09,24.21
2019-09-13,23.26,31.8,16.8,59.28,0.17,2.18,25.13
2019-09-14,23.56,32.59,16.74,58.02,0.27,1.99,25.05
2019-09-15,23.39,32.06,16.91,58.2,0.24,2.18,24.4
2019-09-16,23.26,31.63,16.86,59.07,0.07,2.49,25.6
2019-09-17,22.57,31.45,15.29,52.54,0.08,2.37,26.85
2019-09-18,22.89,31.93,16.35,55.54,0.08,2.11,22.94
2019-09-19,22.55,31.23,16.22,53.22,0.08,2.39,27.17
2019-09-20,22.35,31.08,15.46,51.21,0.02,2.34,23.25
2019-09-21,22.99,31.71,15.96,56.44,0.05,2.21,21.04
2019-09-22,22.65,30.25,16.09,59.01,0.63,2.08,20.76
2019-09-23,23.12,31.42,16.83,54.16,1.26,2.16,21.06
2019-09-24,23.12,31.33,16.74,60.52,0.98,1.92,13.86
2019-09-25,22.9,30.34,17.51,58.84,0.96,1.63,18.37
2019-09-26,22.76,30.21,17.45,69.16,3.87,2.96,16.61
2019-09-27,22.0,29.19,16.35,63.88,0.83,2.43,16.25
2019-09-28,23.57,32.64,16.59,53.24,0.18,1.68,23.49
2019-09-29,23.9,32.7,16.98,50.04,0.04,1.79,26.02
2019-09-30,24.33,33.11,17.24,58.32,0.91,1.97,26.04
2019-10-01,23.63,30.59,18.42,68.93,4.49,2.01,24.43
2019-10-02,23.3,30.63,18.21,67.35,3.62,2.15,20.38
2019-10-03,21.94,30.38,17.22,70.3,4.24,2.35,21.85
2019-10-04,22.13,29.41,17.23,68.33,3.99,2.17,13.45
2019-10-05,21.57,28.96,16.5,73.41,7.19,2.33,20.04
2019-10-06,21.77,28.88,16.17,66.78,1.73,2.18,16.48
2019-10-07,21.61,28.79,16.16,62.71,0.54,1.85,24.71
2019-10-08,22.6,31.01,16.11,65.94,3.57,2.05,25.31
2019-10-09,22.44,30.3,16.68,71.0,10.47,2.25,20.74
2019-10-10,21.93,28.9,17.46,73.55,10.26,2.51,18.35
2019-10-11,21.94,29.08,17.6,74.49,9.96,2.26,21.16
2019-10-12,22.29,29.84,17.12,71.7,13.71,2.24,18.4
2019-10-13,22.01,28.84,17.13,76.29,8.41,2.05,19.95
2019-10-14,22.22,29.4,17.28,74.75,6.02,2.09,15.9
2019-10-15,21.6,28.91,17.01,64.18,0.32,1.56,19.71
2019-10-16,22.28,29.63,15.42,68.49,0.68,1.86,22.87
2019-10-17,22.35,29.34,17.88,74.88,5.35,2.29,20.04
