date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-08-06,17.48,26.43,9.52,64.21,0.0,1.96,24.06
2019-08-07,18.01,24.31,12.54,72.03,0.94,2.45,22.55
2019-08-08,17.59,23.13,14.02,76.67,2.22,3.29,19.56
2019-08-09,17.66,24.16,11.53,66.96,0.08,2.87,20.35
2019-08-10,16.62,24.35,10.81,67.35,0.19,2.82,22.5
2019-08-11,16.84,23.48,12.51,75.97,0.55,2.75,18.28
2019-08-12,15.83,22.04,11.03,72.43,0.29,2.53,24.09
2019-08-13,16.91,24.52,10.99,66.61,0.26,2.76,22.2
2019-08-14,16.35,23.57,11.01,68.31,0.25,2.51,22.76
2019-08-15,15.53,22.64,9.86,66.95,0.32,3.19,22.97
2019-08-16,15.35,21.81,11.07,72.38,0.71,3.1,20.43
2019-08-17,16.73,23.74,10.57,71.31,0.97,2.38,20.83
2019-08-18,17.0,23.73,12.24,72.67,1.47,2.51,19.05
2019-08-19,17.58,24.43,12.49,71.76,1.72,2.58,20.06
2019-08-20,16.49,22.71,11.81,74.08,1.41,2.58,21.02
2019-08-21,16.58,23.18,12.3,74.2,1.46,2.95,20.3
2019-08-22,17.08,23.98,12.41,71.05,0.86,3.36,22.23
2019-08-23,17.21,23.68,11.54,68.53,0.57,2.96,23.18
2019-08-24,17.38,24.14,12.91,72.99,2.57,4.14,21.16
2019-08-25,17.68,25.0,12.07,63.16,0.2,3.94,23.75
2019-08-26,17.81,24.5,12.46,67.44,1.27,3.6,23.65
2019-08-27,18.11,24.75,12.2,70.96,1.82,2.34,23.03
2019-08-28,17.21,22.0,13.32,78.76,6.76,1.57,19.79
2019-08-29,17.78,22.76,13.74,76.27,3.89,1.64,20.32
2019-08-30,18.3,25.1,11.94,73.03,1.51,1.81,20.58
2019-08-31,16.99,20.97,14.64,83.8,7.7,1.37,17.18
2019-09-01,16.71,21.21,13.74,84.39,2.27,1.35,20.09
2019-09-02,17.82,24.05,13.5,77.27,2.04,1.58,22.34
2019-09-03,17.46,23.7,13.0,74.44,1.1,2.76,22.53
2019-09-04,18.41,25.69,12.65,72.13,0.78,2.57,24.26
2019-09-05,16.82,21.69,12.57,75.61,1.04,2.39,19.81
2019-09-06,17.72,23.55,12.07,72.63,0.69,1.91,19.49
2019-09-07,17.41,22.91,13.49,72.14,1.03,3.13,18.73
2019-09-08,16.36,21.96,12.57,71.09,0.82,3.23,20.25
2019-09-09,17.45,25.04,11.85,65.3,1.12,4.14,21.53
2019-09-10,18.05,24.88,12.63,72.74,1.73,3.64,25.02
2019-09-11,18.74,26.08,13.94,68.76,1.26,3.37,24.06
2019-09-12,18.35,25.52,12.34,66.24,0.54,3.2,24.78
2019-09-13,19.01,26.75,12.84,62.98,0.07,3.14,26.78
2019-09-14,19.32,27.73,13.15,60.92,0.39,3.2,26.03
2019-09-15,18.84,27.59,13.06,61.18,0.31,3.36,26.5
2019-09-16,18.88,26.39,12.61,61.88,0.17,3.74,27.56
2019-09-17,18.19,26.5,12.23,59.58,0.12,3.83,27.91
2019-09-18,18.29,26.41,11.52,60.41,0.16,3.18,25.61
2019-09-19,18.07,26.53,12.2,58.02,0.15,3.75,28.18
2019-09-20,17.87,25.8,10.77,60.0,0.04,3.53,26.61
2019-09-21,18.32,26.05,10.86,61.66,0.18,2.65,23.96
2019-09-22,19.02,25.98,12.25,69.01,1.84,2.08,21.38
2019-09-23,17.96,23.71,13.43,71.61,2.63,2.19,21.92
2019-09-24,18.67,25.97,13.27,69.15,1.2,2.68,23.25
2019-09-25,18.34,24.71,12.8,70.37,2.09,2.49,19.96
2019-09-26,17.62,23.21,14.13,76.76,7.7,3.34,21.23
2019-09-27,18.22,24.55,13.64,72.82,2.87,3.87,18.92
2019-09-28,19.07,25.66,13.31,68.22,1.63,2.57,24.17
2019-09-29,19.68,27.01,11.35,58.56,0.26,2.77,26.04
2019-09-30,19.57,27.71,11.81,58.57,0.23,3.21,26.61
2019-10-01,20.05,27.81,14.71,63.99,2.52,3.7,25.11
2019-10-02,19.69,26.74,14.7,67.22,4.56,4.07,22.93
2019-10-03,18.68,26.74,13.28,68.0,4.29,5.61,25.25
2019-10-04,18.08,25.75,13.17,64.42,2.65,4.85,26.01
2019-10-05,17.86,24.98,12.71,72.4,8.73,4.76,18.92
2019-10-06,17.86,24.87,13.26,71.3,3.46,5.02,20.19
2019-10-07,17.91,25.29,12.99,62.96,0.99,4.49,24.3
2019-10-08,18.88,26.81,12.89,62.74,2.03,4.5,26.47
2019-10-09,18.91,25.62,14.32,72.22,11.56,4.55,23.3
2019-10-10,18.45,25.01,14.4,75.01,10.73,5.24,21.92
2019-10-11,18.07,24.83,13.21,74.22,5.28,5.66,21.67
2019-10-12,17.9,24.32,13.37,75.0,11.33,5.18,20.58
2019-10-13,18.11,24.34,13.75,77.78,13.23,4.78,20.97
2019-10-14,18.45,24.59,14.4,77.74,3.35,4.27,19.82
2019-10-15,18.27,25.66,13.25,67.25,0.77,4.03,25.41
2019-10-16,18.0,24.64,11.37,69.31,0.41,3.7,24.05
2019-10-17,18.58,24.55,15.2,79.05,6.39,3.81,19.04
2019-10-18,17.76,23.72,14.03,79.12,14.21,3.3,16.75
2019-10-19,17.83,23.07,14.76,81.37,13.91,3.4,20.78
2019-10-20,18.26,23.87,14.57,76.87,2.85,3.41,23.81
2019-10-21,17.86,24.17,12.47,78.16,3.22,3.06,26.17
2019-10-22,18.79,25.14,14.25,74.86,2.34,3.36,24.92
2019-10-23,18.55,24.74,14.31,75.09,3.75,4.12,22.36
2019-10-24,17.88,24.34,13.22,72.89,3.39,5.27,23.52
2019-10-25,17.4,24.47,12.77,74.68,4.17,4.63,22.7
2019-10-26,17.66,23.48,13.88,78.23,16.83,4.66,20.54
2019-10-27,17.71,23.99,13.66,76.91,3.01,4.15,25.37
2019-10-28,17.97,23.67,14.12,79.12,8.41,2.76,22.73
2019-10-29,17.72,22.45,13.69,82.75,5.3,2.39,18.48
2019-10-30,17.61,22.62,13.92,82.13,31.3,3.2,21.42
2019-10-31,17.68,22.68,14.25,81.5,5.34,3.13,21.56
2019-11-01,16.67,22.3,12.26,81.0,2.2,2.64,22.66
2019-11-02,17.16,22.81,13.05,79.63,0.47,2.93,26.11
2019-11-03,17.08,22.93,12.15,80.05,2.15,2.9,24.39
2019-11-04,17.24,23.26,13.29,77.49,1.41,3.45,24.56
2019-11-05,17.3,23.82,12.65,77.14,0.76,3.03,25.14
2019-11-06,17.4,23.11,12.91,79.09,1.66,2.91,24.05
2019-11-07,18.03,23.42,14.55,80.48,4.45,3.35,23.66
2019-11-08,18.16,24.36,14.29,75.0,0.22,3.81,24.6
2019-11-09,17.86,23.87,13.69,77.88,1.32,4.08,25.53
2019-11-10,18.53,24.47,14.41,77.48,1.92,4.1,22.9
2019-11-11,18.31,23.9,14.06,80.22,3.7,4.47,23.91
2019-11-12,18.27,23.56,14.58,82.33,1.4,4.11,20.28
2019-11-13,18.13,23.62,14.62,82.77,3.59,3.22,17.0
2019-11-14,16.28,20.93,13.76,88.1,2.42,2.35,16.33
2019-11-15,18.19,23.61,13.43,80.6,2.52,2.01,21.22
2019-11-16,19.12,25.48,14.61,78.15,1.64,2.31,23.61
2019-11-17,18.94,25.4,14.26,77.51,2.32,2.96,24.43
2019-11-18,18.75,24.49,14.52,79.39,3.94,3.31,20.84
2019-11-19,18.12,23.78,14.54,80.08,6.78,4.42,20.66
2019-11-20,17.93,23.62,13.96,79.54,3.77,3.63,21.52
2019-11-21,17.95,23.12,14.68,84.0,6.74,1.92,21.33
2019-11-22,18.14,22.4,14.95,82.1,4.88,2.57,22.91
2019-11-23,17.56,23.09,14.93,86.53,4.75,3.03,17.5
2019-11-24,18.3,24.02,13.74,81.24,10.51,1.73,15.6
2019-11-25,16.74,21.69,13.29,84.44,8.12,2.17,13.6
2019-11-26,16.91,22.1,12.98,83.24,22.0,0.75,18.65
2019-11-27,18.63,24.2,14.72,80.11,5.79,1.39,20.83
2019-11-28,18.4,23.49,14.54,80.28,0.9,1.35,21.26
2019-11-29,17.86,23.12,13.86,84.71,6.76,1.25,17.22
2019-11-30,18.08,22.1,15.62,83.8,22.74,1.16,16.82
2019-12-01,17.83,22.21,14.76,87.3,28.22,2.57,21.54
2019-12-02,17.51,21.97,14.96,86.16,10.5,2.36,21.11
2019-12-03,17.69,22.68,14.17,87.73,21.74,2.2,15.32
2019-12-04,16.73,20.53,14.3,88.63,14.55,1.22,18.38
2019-12-05,17.51,22.47,13.67,85.28,2.35,1.65,17.61
2019-12-06,18.03,22.9,14.31,85.37,15.56,2.13,22.06
2019-12-07,17.73,20.91,15.4,88.31,16.31,0.65,16.49
2019-12-08,17.26,20.86,14.58,87.33,7.31,0.93,13.26
2019-12-09,16.93,21.49,14.36,87.16,12.76,1.21,13.66
2019-12-10,17.28,21.33,14.21,89.65,15.59,1.44,16.1
2019-12-11,17.27,21.69,13.71,86.48,3.85,2.72,21.79
2019-12-12,17.18,22.2,12.61,83.2,1.6,2.2,21.44
2019-12-13,16.61,21.39,12.16,85.14,3.02,2.46,20.78
2019-12-14,16.7,21.46,13.16,85.49,2.11,2.74,23.1
2019-12-15,16.9,22.02,12.81,84.62,12.12,2.61,23.65
2019-12-16,17.6,22.41,14.11,84.57,3.74,1.63,21.18
2019-12-17,17.68,22.71,12.83,84.19,1.14,1.36,21.3
2019-12-18,17.91,22.04,14.4,85.42,1.27,1.42,23.45
2019-12-19,17.69,23.56,12.86,77.34,0.02,2.11,26.5
2019-12-20,17.71,24.01,10.18,75.2,1.35,1.22,25.45
2019-12-21,17.29,21.35,14.26,85.34,8.49,0.92,17.25
2019-12-22,16.34,18.77,14.25,91.24,13.91,0.98,18.19
2019-12-23,16.85,20.98,13.82,88.89,7.01,1.1,15.19
2019-12-24,16.87,20.79,14.63,88.25,9.77,0.92,21.18
2019-12-25,17.02,20.45,14.01,90.32,9.69,0.85,21.11
2019-12-26,17.79,21.47,15.35,88.35,6.61,1.27,14.68
2019-12-27,18.15,22.45,14.81,87.6,23.56,1.37,21.2
2019-12-28,18.18,22.41,15.22,86.28,28.59,1.6,17.45
2019-12-29,17.66,22.56,13.47,88.16,20.48,1.33,20.32
2019-12-30,18.03,22.86,14.27,82.88,2.75,1.36,23.9
2019-12-31,17.5,23.46,11.67,81.39,0.48,1.63,26.08
2020-01-01,17.35,23.55,11.54,79.02,0.04,1.66,25.42
2020-01-02,17.22,23.11,11.68,83.43,0.86,2.77,25.98
2020-01-03,17.28,22.91,12.71,84.79,0.77,3.47,24.16
2020-01-04,16.46,20.59,13.1,86.44,0.23,3.8,25.0
2020-01-05,16.77,22.64,12.25,82.66,0.8,2.21,23.54
2020-01-06,17.42,22.7,12.08,80.29,4.41,1.62,21.13
2020-01-07,17.3,21.62,13.37,86.55,3.56,2.96,23.15
2020-01-08,17.13,22.39,13.38,84.79,5.87,3.63,18.24
2020-01-09,16.75,21.84,12.62,86.58,2.82,2.14,23.83
2020-01-10,17.57,22.73,13.05,83.75,2.11,1.23,23.15
2020-01-11,17.89,22.59,13.99,78.34,2.58,1.06,23.56
2020-01-12,16.69,21.48,13.8,85.94,4.21,1.18,18.91
2020-01-13,17.13,21.96,12.4,84.37,45.59,0.82,17.26
2020-01-14,17.88,22.01,15.09,86.05,68.9,0.94,19.84
2020-01-15,18.23,22.8,14.82,84.28,19.13,1.5,25.08
2020-01-16,17.82,22.11,13.89,86.58,1.95,0.83,20.96
2020-01-17,17.16,20.51,14.86,89.3,9.02,1.64,21.18
2020-01-18,17.92,22.44,13.92,87.01,8.79,1.27,21.0
2020-01-19,17.94,22.09,14.67,88.36,4.75,1.85,21.66
2020-01-20,18.07,23.57,13.29,83.55,2.61,1.67,25.4
2020-01-21,17.74,23.37,12.03,82.23,0.5,1.83,23.25
2020-01-22,17.58,23.01,11.49,82.81,0.93,1.91,22.91
2020-01-23,16.44,18.93,14.47,89.52,11.34,1.31,19.25
2020-01-24,17.56,21.72,14.72,87.28,4.03,1.48,8.81
2020-01-25,17.92,21.56,15.18,88.02,22.63,1.37,19.58
2020-01-26,17.21,21.38,14.17,87.68,29.36,2.45,18.48
2020-01-27,17.29,22.11,13.09,87.34,8.61,2.11,20.78
2020-01-28,17.22,21.27,13.69,88.86,16.48,2.69,19.01
2020-01-29,17.39,22.02,13.81,89.05,10.66,1.21,16.32
2020-01-30,17.64,21.5,14.96,87.92,3.73,1.47,21.21
2020-01-31,17.13,20.57,14.27,88.99,7.23,1.35,22.04
2020-02-01,15.93,19.17,13.86,90.64,12.18,2.14,12.19
2020-02-02,16.51,20.96,12.04,86.68,15.61,1.1,19.06
2020-02-03,16.2,18.33,14.5,91.0,20.06,1.51,22.81
2020-02-04,17.39,22.34,13.84,85.84,12.47,1.26,20.26
2020-02-05,17.5,22.72,13.28,84.33,7.47,1.37,21.52
2020-02-06,16.82,21.9,12.8,85.64,1.79,2.05,21.65
2020-02-07,17.08,23.63,11.35,81.31,0.13,2.07,28.28
2020-02-08,16.43,22.77,10.5,82.95,0.33,2.36,28.0
2020-02-09,16.41,23.24,9.99,80.62,0.19,1.96,28.49
2020-02-10,16.73,23.6,10.35,73.68,0.0,1.6,28.06
2020-02-11,18.91,24.6,12.27,57.55,0.0,0.79,28.0
2020-02-12,18.98,24.18,12.97,67.83,0.44,0.96,25.86
2020-02-13,18.06,22.46,14.17,85.98,3.4,2.36,20.73
2020-02-14,17.75,22.75,14.22,84.66,1.9,3.72,24.7
2020-02-15,17.43,22.93,12.91,86.54,4.09,3.25,25.62
2020-02-16,17.49,22.73,13.12,85.43,1.68,3.45,21.07
2020-02-17,17.93,23.25,13.63,85.3,1.23,2.74,26.57
2020-02-18,17.89,23.48,13.2,84.31,0.8,2.8,26.52
2020-02-19,17.93,23.65,13.46,83.75,1.43,2.89,24.52
2020-02-20,18.32,23.82,13.94,83.99,0.97,2.42,26.24
2020-02-21,17.87,23.2,12.57,81.53,0.22,2.53,24.09
2020-02-22,18.34,23.75,14.14,85.43,0.9,2.75,25.4
2020-02-23,18.05,23.95,12.68,84.83,0.67,2.67,24.22
2020-02-24,18.15,23.94,13.09,79.78,0.05,2.02,23.46
2020-02-25,18.35,24.06,12.26,83.11,2.05,1.27,21.61
2020-02-26,18.94,23.48,16.38,84.73,7.87,0.95,18.08
2020-02-27,18.25,22.21,15.56,87.66,6.03,1.98,18.5
2020-02-28,18.71,24.5,13.95,82.69,3.55,1.54,23.1
