date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2020-01-17,20.74,24.18,18.15,86.36,2.37,1.25,13.23
2020-01-18,21.19,26.12,17.03,81.42,1.2,1.87,14.69
2020-01-19,20.9,26.05,17.58,77.89,0.04,2.47,16.49
2020-01-20,21.29,27.75,15.55,73.77,0.08,2.09,19.24
2020-01-21,21.47,27.94,15.02,71.9,0.03,2.26,23.99
2020-01-22,21.62,27.28,15.47,68.94,0.07,2.07,21.27
2020-01-23,21.22,26.94,16.02,74.77,0.23,2.05,21.49
2020-01-24,21.59,26.92,17.0,74.59,1.28,1.83,16.92
2020-01-25,21.3,26.67,16.26,73.92,1.86,1.88,17.59
2020-01-26,20.62,25.95,16.29,83.11,2.61,2.03,9.86
2020-01-27,21.82,26.03,18.24,82.24,1.14,1.83,10.03
2020-01-28,19.79,23.2,17.44,89.39,20.08,1.81,4.44
2020-01-29,19.52,22.61,17.45,88.33,3.47,1.72,10.84
2020-01-30,20.26,24.36,16.88,83.75,4.26,1.4,17.94
2020-01-31,19.8,23.13,16.28,85.96,4.4,0.87,14.19
2020-02-01,18.8,21.38,16.71,90.34,27.59,1.48,10.88
2020-02-02,20.55,25.48,15.79,78.1,0.94,1.24,18.76
2020-02-03,21.08,25.68,16.45,80.63,2.91,1.25,15.36
2020-02-04,20.62,24.2,17.61,84.85,2.12,1.03,16.82
2020-02-05,21.39,26.12,17.65,82.15,3.53,1.36,7.06
2020-02-06,20.06,22.69,18.39,85.6,1.07,1.12,12.35
2020-02-07,21.25,26.94,16.02,79.43,0.36,1.47,25.75
2020-02-08,21.91,28.08,17.25,74.22,0.0,1.95,26.0
2020-02-09,22.09,28.19,17.29,72.12,0.01,1.77,27.8
2020-02-10,22.44,28.6,17.51,68.09,0.0,1.71,27.32
2020-02-11,22.24,28.86,15.86,68.82,0.0,1.63,25.61
2020-02-12,23.07,28.77,16.91,68.5,0.13,1.29,23.51
2020-02-13,21.09,25.95,16.48,74.74,0.39,2.26,20.81
2020-02-14,20.51,24.96,17.17,82.79,0.6,1.97,15.15
2020-02-15,20.77,24.88,17.41,83.9,0.25,1.42,19.39
2020-02-16,20.94,26.14,16.09,80.73,0.16,1.29,24.11
2020-02-17,21.44,27.89,15.95,77.67,0.21,1.52,23.54
2020-02-18,21.97,27.33,17.25,81.2,0.42,1.43,21.33
2020-02-19,22.27,26.64,18.41,79.0,2.77,1.37,22.72
2020-02-20,21.81,26.83,17.61,81.82,5.56,1.32,20.54
2020-02-21,21.75,26.53,17.76,83.97,1.69,1.31,18.45
2020-02-22,22.32,27.12,17.54,80.81,0.47,1.18,21.24
2020-02-23,22.11,26.37,18.46,82.34,1.78,1.81,19.98
2020-02-24,21.92,27.64,18.49,86.32,3.69,1.53,17.26
2020-02-25,22.52,27.04,17.83,77.76,10.18,1.28,16.43
2020-02-26,22.22,27.12,17.7,76.85,2.22,1.44,19.01
2020-02-27,21.21,24.34,18.9,86.04,12.08,1.28,19.29
2020-02-28,20.84,24.01,18.53,86.93,51.35,1.06,4.82
2020-02-29,21.67,26.47,17.22,82.96,5.89,1.21,24.39
2020-03-01,21.06,25.35,17.41,86.84,31.35,1.01,14.32
2020-03-02,20.75,24.5,17.28,84.49,7.36,1.2,16.18
2020-03-03,21.46,26.19,17.13,81.6,4.21,1.41,21.76
2020-03-04,20.93,24.11,18.16,85.16,2.28,1.26,13.23
2020-03-05,20.61,25.14,16.95,84.57,0.44,1.55,22.75
2020-03-06,21.95,27.54,16.26,79.11,0.76,1.06,19.32
2020-03-07,21.63,26.65,16.96,83.32,2.72,1.83,22.02
2020-03-08,21.84,26.93,17.29,84.37,4.11,1.27,17.23
2020-03-09,21.17,24.75,18.46,89.27,10.51,1.11,13.88
2020-03-10,22.17,27.43,17.88,81.69,1.83,1.34,18.37
2020-03-11,21.32,25.45,17.95,86.33,4.67,1.45,7.46
2020-03-12,20.83,24.66,17.85,88.55,3.43,1.2,15.31
2020-03-13,21.07,24.6,18.35,84.82,5.77,0.89,10.35
2020-03-14,21.72,26.77,17.54,82.53,1.69,1.53,20.63
2020-03-15,21.32,26.37,17.65,88.15,6.51,1.45,16.09
2020-03-16,21.5,26.66,17.63,84.48,2.9,1.51,13.6
2020-03-17,20.69,25.44,15.94,81.92,2.7,1.26,22.3
2020-03-18,20.77,25.0,17.64,82.69,12.9,1.73,12.6
2020-03-19,21.04,26.15,16.96,82.55,5.2,1.37,16.42
2020-03-20,20.43,25.24,16.44,86.8,1.36,1.59,19.58
2020-03-21,20.61,24.58,17.82,90.28,24.52,2.09,18.21
2020-03-22,21.06,25.93,17.37,86.23,29.51,2.22,17.03
2020-03-23,21.0,26.11,16.6,82.81,6.4,1.47,18.6
2020-03-24,19.2,22.14,16.61,91.6,24.66,1.77,20.09
2020-03-25,19.42,23.37,16.13,91.46,7.68,1.52,12.43
2020-03-26,21.13,26.09,16.79,84.21,9.69,1.14,14.75
2020-03-27,20.55,24.22,18.45,87.83,15.35,0.84,7.38
