date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2020-03-02,21.24,25.84,17.18,81.55,8.17,1.17,16.18
2020-03-03,21.9,26.95,16.97,78.78,6.27,1.26,21.76
2020-03-04,21.39,25.54,18.2,83.7,2.86,1.05,13.23
2020-03-05,21.27,26.42,17.4,83.02,0.22,1.59,22.75
2020-03-06,22.06,27.85,17.07,79.19,0.79,1.01,19.32
2020-03-07,21.88,27.37,16.98,82.49,3.72,1.84,22.02
2020-03-08,22.22,27.57,17.45,83.68,7.98,1.22,17.23
2020-03-09,21.32,25.07,18.54,89.31,16.21,1.07,13.88
2020-03-10,22.24,27.3,17.64,82.58,3.52,1.18,18.37
2020-03-11,21.58,25.97,18.56,86.67,6.14,1.26,7.46
2020-03-12,20.82,24.39,17.77,87.54,5.45,0.93,15.31
2020-03-13,21.52,25.85,17.64,81.59,5.41,0.73,10.35
2020-03-14,22.29,28.06,17.12,80.84,1.43,1.55,20.63
2020-03-15,21.87,26.75,18.36,86.96,3.29,1.45,16.09
2020-03-16,21.51,26.82,17.65,83.5,4.11,1.14,13.6
2020-03-17,20.6,26.28,15.83,83.48,2.64,1.25,22.3
2020-03-18,21.31,26.53,17.76,79.89,7.4,1.24,12.6
2020-03-19,21.36,26.66,17.27,82.07,6.59,1.18,16.42
2020-03-20,20.46,24.76,17.09,87.61,1.1,1.29,19.58
2020-03-21,20.94,24.87,18.13,89.97,24.78,1.51,18.21
2020-03-22,21.08,25.8,17.59,88.29,28.83,1.39,17.03
2020-03-23,21.07,25.97,16.4,83.2,23.12,1.04,18.6
2020-03-24,19.69,23.23,16.29,90.37,23.49,1.58,20.09
2020-03-25,20.1,25.41,15.66,88.54,3.68,1.29,12.43
2020-03-26,21.27,26.04,17.54,85.2,7.97,1.2,14.75
2020-03-27,20.82,25.14,18.18,87.67,11.42,0.86,7.38
2020-03-28,20.46,24.02,17.7,86.26,2.37,1.39,16.75
2020-03-29,20.32,24.68,15.9,84.23,4.26,1.33,16.81
2020-03-30,20.77,26.53,16.51,84.06,2.72,1.56,20.29
2020-03-31,21.46,26.41,17.01,84.19,1.16,1.65,21.45
2020-04-01,21.58,26.79,17.95,86.58,2.53,1.69,23.23
2020-04-02,21.49,26.31,17.77,86.61,1.33,1.3,24.88
2020-04-03,21.6,27.18,17.11,85.69,2.45,1.66,20.28
2020-04-04,21.14,25.39,18.13,88.54,20.22,1.87,21.47
2020-04-05,21.45,27.23,16.94,84.67,2.3,1.37,17.07
2020-04-06,21.15,27.08,16.62,83.84,2.2,1.47,20.49
2020-04-07,21.59,27.58,16.01,81.53,1.72,1.06,20.75
2020-04-08,21.55,26.54,17.63,85.06,0.45,2.02,23.22
2020-04-09,20.28,23.8,17.49,91.66,2.02,1.99,21.13
2020-04-10,19.81,22.82,16.95,92.51,4.34,1.99,12.24
2020-04-11,20.54,25.55,16.66,88.36,2.36,2.5,16.27
2020-04-12,20.8,25.21,16.75,87.87,1.79,2.11,18.63
2020-04-13,20.41,25.24,16.4,88.95,7.81,1.18,12.67
2020-04-14,21.37,26.26,16.9,85.37,1.21,0.94,12.13
2020-04-15,21.55,25.24,18.15,86.12,1.33,1.03,13.96
2020-04-16,21.01,24.76,17.62,88.34,1.15,1.33,21.03
2020-04-17,20.86,25.07,17.94,88.77,3.28,1.32,17.03
2020-04-18,20.57,23.33,17.64,90.41,10.22,0.86,5.88
2020-04-19,19.68,22.86,17.41,90.89,5.9,1.38,17.05
2020-04-20,20.11,24.21,16.91,87.88,1.98,1.28,8.97
2020-04-21,20.49,25.21,16.95,86.62,5.14,1.28,16.89
2020-04-22,19.89,24.29,16.09,85.8,9.8,0.97,12.95
2020-04-23,20.59,25.09,17.09,85.95,7.06,0.87,12.1
2020-04-24,20.45,24.06,17.11,87.17,3.44,1.03,19.32
2020-04-25,20.33,24.41,17.49,87.18,3.5,0.98,16.59
2020-04-26,20.73,25.58,16.85,86.97,2.4,1.62,19.18
2020-04-27,19.3,21.75,17.34,94.18,31.36,1.76,13.91
2020-04-28,19.49,23.35,16.57,89.55,26.48,1.56,17.81
2020-04-29,19.32,23.76,15.54,90.8,2.82,1.45,13.75
2020-04-30,19.1,23.23,16.07,91.48,3.54,1.87,19.49
2020-05-01,19.71,24.98,15.89,91.61,3.58,1.91,19.89
2020-05-02,20.26,25.02,16.67,88.05,5.54,2.19,5.38
2020-05-03,19.95,24.23,16.91,89.41,9.29,1.55,15.35
2020-05-04,20.6,25.87,16.13,86.77,0.17,1.6,22.63
2020-05-05,21.11,26.3,16.69,87.88,3.17,1.61,15.87
2020-05-06,20.39,25.03,17.89,91.63,11.05,2.33,21.03
2020-05-07,20.3,24.81,17.1,88.9,14.12,2.53,16.79
2020-05-08,20.15,24.12,16.99,89.6,7.73,2.8,12.01
2020-05-09,20.04,24.24,17.44,90.6,16.13,2.32,14.99
2020-05-10,18.85,21.43,16.78,93.46,20.26,2.33,12.42
2020-05-11,18.92,22.3,16.75,93.08,10.11,2.01,16.32
2020-05-12,18.63,21.55,16.07,93.79,5.26,1.92,12.04
2020-05-13,19.8,24.83,15.47,89.19,1.11,1.5,21.95
2020-05-14,19.84,23.69,16.88,92.29,0.95,1.29,18.52
2020-05-15,20.83,25.7,16.18,86.43,2.15,0.99,15.76
2020-05-16,20.37,24.59,16.55,89.66,2.5,1.82,11.03
2020-05-17,20.25,24.93,16.6,89.12,2.82,2.11,20.14
2020-05-18,19.66,24.65,15.87,89.2,3.16,2.37,16.2
2020-05-19,19.86,25.11,15.63,86.64,1.01,2.11,21.27
2020-05-20,19.82,25.19,15.71,86.45,2.75,2.08,22.21
2020-05-21,20.12,24.6,16.43,87.33,0.04,2.78,19.97
2020-05-22,19.5,24.28,15.68,87.4,0.01,2.38,17.88
