date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2019-08-16,18.93,26.21,13.44,64.59,0.62,1.87,13.82
2019-08-17,19.84,27.13,13.94,66.08,1.27,1.6,17.32
2019-08-18,20.06,27.41,14.29,69.25,2.87,1.72,13.89
2019-08-19,19.75,26.66,15.02,69.3,2.29,1.68,11.18
2019-08-20,20.23,28.3,13.71,62.91,0.65,1.56,17.56
2019-08-21,20.17,27.5,14.94,66.2,0.99,1.86,16.86
2019-08-22,20.55,28.28,14.84,65.76,1.12,1.87,17.18
2019-08-23,20.63,28.2,15.04,64.91,1.06,1.89,20.43
2019-08-24,19.93,27.08,15.19,70.36,3.27,2.28,15.67
2019-08-25,20.33,28.47,14.69,60.64,0.45,1.95,20.53
2019-08-26,20.59,28.4,15.16,64.95,1.06,2.0,19.95
2019-08-27,21.11,29.07,14.69,64.25,1.7,1.37,20.34
2019-08-28,21.13,28.75,15.16,67.4,5.6,1.33,19.4
2019-08-29,20.3,26.64,15.49,69.31,1.63,1.51,16.94
2019-08-30,20.55,26.89,15.73,71.94,5.74,1.31,13.61
2019-08-31,19.87,24.84,15.88,75.01,5.26,1.12,15.11
2019-09-01,20.89,27.99,15.16,74.83,13.37,0.96,19.83
2019-09-02,19.71,24.74,16.41,78.25,1.76,0.91,15.02
2019-09-03,19.78,26.04,14.87,72.31,1.79,1.73,15.86
2019-09-04,20.84,28.65,15.11,67.64,0.73,1.66,18.39
2019-09-05,19.65,26.16,14.77,65.86,0.74,1.66,14.92
2019-09-06,19.62,24.89,13.91,71.18,1.56,1.39,16.94
2019-09-07,19.54,25.48,15.26,70.16,1.24,1.7,13.14
2019-09-08,19.39,26.3,14.95,67.97,2.57,1.87,12.69
2019-09-09,20.37,28.18,14.1,63.23,0.65,2.35,19.14
2019-09-10,20.6,27.88,15.59,73.94,3.85,2.55,15.89
2019-09-11,20.62,28.75,15.24,68.09,0.61,1.98,20.07
2019-09-12,20.79,29.13,14.79,64.9,0.28,1.8,24.21
2019-09-13,21.43,29.91,15.46,64.06,0.31,1.9,25.13
2019-09-14,21.73,30.56,15.46,63.74,0.47,1.81,25.05
2019-09-15,21.54,30.23,15.44,63.16,0.38,1.91,24.4
2019-09-16,21.56,29.88,15.22,63.18,0.25,2.05,25.6
2019-09-17,20.82,29.78,14.58,57.16,0.15,2.01,26.85
2019-09-18,21.24,30.38,14.91,59.7,0.15,1.77,22.94
2019-09-19,20.73,29.45,14.85,58.5,0.12,2.0,27.17
2019-09-20,20.47,29.3,14.42,57.47,0.07,1.95,23.25
2019-09-21,21.19,29.43,14.58,60.81,0.3,1.81,21.04
2019-09-22,20.76,27.65,15.32,65.88,1.56,1.6,20.76
2019-09-23,21.52,29.16,15.25,61.69,2.72,1.75,21.06
2019-09-24,21.56,29.47,15.44,66.28,2.13,1.58,13.86
2019-09-25,21.42,28.71,16.26,64.18,2.7,1.55,18.37
2019-09-26,21.35,28.67,16.45,73.06,8.68,2.82,16.61
2019-09-27,20.33,27.57,14.97,69.88,2.49,2.31,16.25
2019-09-28,21.64,30.33,15.22,60.61,0.67,1.51,23.49
2019-09-29,21.87,30.23,15.34,57.16,0.47,1.63,26.02
2019-09-30,22.57,31.3,15.64,62.23,1.93,1.82,26.04
2019-10-01,22.01,28.99,16.95,72.52,6.9,1.93,24.43
2019-10-02,21.59,28.63,16.84,72.97,7.17,2.18,20.38
2019-10-03,20.63,29.0,15.62,72.75,7.13,2.37,21.85
2019-10-04,20.31,27.25,15.88,74.62,9.28,2.33,13.45
2019-10-05,20.18,27.26,15.35,77.12,11.73,2.43,20.04
2019-10-06,20.22,27.48,15.09,72.56,5.56,2.32,16.48
2019-10-07,20.1,27.76,14.91,67.66,1.29,1.84,24.71
2019-10-08,21.01,29.18,14.77,70.12,7.06,2.1,25.31
2019-10-09,20.83,27.86,15.83,75.54,15.07,2.34,20.74
2019-10-10,19.95,26.23,16.62,80.29,17.24,2.53,18.35
2019-10-11,20.37,26.91,16.2,78.51,14.69,2.38,21.16
2019-10-12,20.53,27.18,15.93,78.49,19.29,2.31,18.4
2019-10-13,20.44,26.93,15.79,80.83,8.63,2.12,19.95
2019-10-14,20.82,27.61,16.22,78.81,3.67,2.18,15.9
2019-10-15,20.5,27.56,16.03,71.34,1.07,1.57,19.71
2019-10-16,20.91,28.1,14.6,71.03,0.58,1.87,22.87
2019-10-17,20.97,27.54,16.9,79.17,10.04,2.4,20.04
2019-10-18,20.48,27.07,16.35,80.63,17.6,2.14,19.64
2019-10-19,19.67,25.64,15.97,83.26,9.68,2.02,16.52
2019-10-20,20.33,26.99,16.33,77.81,2.86,1.86,18.69
2019-10-21,20.77,27.62,16.0,78.51,3.61,1.59,22.33
2019-10-22,21.3,28.55,16.28,75.45,6.55,1.64,20.89
2019-10-23,21.06,27.19,16.9,79.09,6.92,1.92,19.34
2019-10-24,20.38,26.62,16.91,80.68,6.23,2.09,23.35
2019-10-25,20.07,26.45,15.86,78.3,6.65,1.63,20.68
2019-10-26,20.04,25.9,16.3,82.22,8.64,1.71,15.85
2019-10-27,20.51,27.0,15.64,79.48,4.0,1.69,22.69
2019-10-28,20.5,27.05,15.77,78.87,6.9,1.34,22.15
2019-10-29,20.17,25.38,16.7,83.77,7.02,1.47,21.17
2019-10-30,20.0,25.04,16.62,85.51,7.91,1.72,19.74
2019-10-31,20.26,26.38,15.87,80.21,3.28,1.4,22.0
2019-11-01,20.32,26.75,15.78,78.34,2.95,1.22,22.48
2019-11-02,20.41,27.76,15.55,75.69,0.8,1.35,22.56
2019-11-03,20.4,27.59,15.56,76.66,2.63,1.48,22.08
2019-11-04,20.69,27.85,16.0,76.59,4.9,1.68,23.3
2019-11-05,20.85,28.06,15.8,75.19,2.17,1.46,22.28
2019-11-06,21.16,28.37,15.82,74.43,3.28,1.59,21.96
2019-11-07,20.88,27.44,16.33,79.13,7.77,1.93,21.3
2019-11-08,20.8,27.82,16.27,74.67,1.72,1.73,18.99
2019-11-09,21.17,28.08,15.93,75.86,2.59,1.61,22.44
2019-11-10,21.45,28.09,16.75,78.73,8.26,1.86,19.63
2019-11-11,21.12,26.91,17.15,82.83,21.22,2.02,17.73
2019-11-12,20.25,24.33,17.64,89.36,31.06,2.44,15.6
2019-11-13,19.5,23.12,17.22,91.46,11.2,1.36,18.05
2019-11-14,19.7,23.97,16.78,88.8,5.38,2.19,16.98
2019-11-15,20.56,26.65,15.97,81.53,2.72,1.63,21.37
2019-11-16,20.14,25.89,16.59,86.13,2.0,1.83,22.19
2019-11-17,19.6,24.11,16.17,86.51,4.88,1.85,20.59
2019-11-18,20.0,25.55,15.73,85.37,3.82,1.98,19.32
2019-11-19,19.86,25.45,15.85,82.77,6.89,2.04,19.1
2019-11-20,20.21,25.95,16.33,82.25,6.89,1.42,21.47
2019-11-21,20.75,27.35,16.12,79.91,3.19,1.33,20.56
2019-11-22,20.28,25.52,17.08,85.64,8.2,1.74,20.95
2019-11-23,19.32,24.03,16.16,86.75,10.72,1.72,12.4
2019-11-24,19.79,25.3,15.45,85.6,13.86,1.43,15.44
2019-11-25,19.27,23.93,16.12,85.57,47.02,1.04,15.42
2019-11-26,19.91,24.72,16.42,84.28,12.9,1.1,14.04
2019-11-27,19.8,24.46,16.63,85.1,5.31,1.64,20.51
2019-11-28,19.76,25.56,15.14,82.36,2.88,1.55,20.91
2019-11-29,19.48,25.09,15.45,86.33,7.17,1.18,20.11
2019-11-30,19.44,23.46,16.53,89.77,17.29,1.43,15.73
2019-12-01,19.81,24.82,16.45,89.69,27.24,1.91,16.34
2019-12-02,19.93,24.59,16.66,86.12,39.77,1.49,16.52
2019-12-03,20.24,25.39,16.72,87.5,18.43,1.71,13.57
2019-12-04,20.53,25.86,16.77,84.29,5.7,1.35,18.66
2019-12-05,20.66,26.32,16.08,83.11,5.4,1.44,19.65
2019-12-06,20.48,25.07,17.23,88.24,26.14,1.53,19.58
2019-12-07,20.57,25.67,17.27,85.67,6.01,1.45,16.18
2019-12-08,20.73,26.09,16.74,81.88,3.93,1.29,14.63
2019-12-09,19.94,23.66,16.31,88.92,12.4,1.56,15.24
2019-12-10,20.12,24.93,16.92,88.62,10.31,1.76,13.56
2019-12-11,19.42,24.01,15.7,87.33,1.22,1.47,20.29
2019-12-12,18.99,24.35,15.48,84.39,4.72,1.23,19.95
2019-12-13,19.45,25.11,14.56,84.38,3.23,1.38,20.04
2019-12-14,19.24,24.02,16.07,89.04,6.47,1.24,18.52
2019-12-15,19.07,24.22,15.06,86.8,15.85,1.36,17.76
2019-12-16,19.62,25.07,15.21,84.53,3.28,1.26,22.03
